volume,pair,tollgate_id,direction,time_window,start_time,date,time,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,last_40min,last_60min,last_80min,last_100min,last_120min,wind_direction2,wind_speed2,precipitation2,SSD,SSD_level,is_workday,datemap
88,2-0,2,0,"[2016-09-19 10:20:00,2016-09-19 10:40:00)",2016-09-19 10:20:00,2016-09-19,10:20:00,0,32,1008,351.0,5.3,23.8,72.0,0.1,71.0,59.0,78.0,89.0,98.0,122.0,8,3,1,63.77636914716982,0,1,1
65,2-0,2,0,"[2016-09-19 10:40:00,2016-09-19 11:00:00)",2016-09-19 10:40:00,2016-09-19,10:40:00,0,33,1008,351.0,5.3,23.8,72.0,0.1,88.0,71.0,59.0,78.0,89.0,98.0,8,3,1,63.77636914716982,0,1,1
50,2-0,2,0,"[2016-09-19 11:00:00,2016-09-19 11:20:00)",2016-09-19 11:00:00,2016-09-19,11:00:00,0,34,1008,351.0,5.3,23.8,72.0,0.1,65.0,88.0,71.0,59.0,78.0,89.0,8,3,1,63.77636914716982,0,1,1
61,2-0,2,0,"[2016-09-19 11:20:00,2016-09-19 11:40:00)",2016-09-19 11:20:00,2016-09-19,11:20:00,0,35,1008,351.0,5.3,23.8,72.0,0.1,50.0,65.0,88.0,71.0,59.0,78.0,8,3,1,63.77636914716982,0,1,1
46,2-0,2,0,"[2016-09-19 11:40:00,2016-09-19 12:00:00)",2016-09-19 11:40:00,2016-09-19,11:40:00,0,36,1008,351.0,5.3,23.8,72.0,0.1,61.0,50.0,65.0,88.0,71.0,59.0,8,3,1,63.77636914716982,0,1,1
87,2-0,2,0,"[2016-09-19 12:00:00,2016-09-19 12:20:00)",2016-09-19 12:00:00,2016-09-19,12:00:00,0,37,1010,302.0,2.3,20.8,92.0,1.1,46.0,61.0,50.0,65.0,88.0,71.0,7,2,1,69.95523168264462,0,1,1
66,2-0,2,0,"[2016-09-19 12:20:00,2016-09-19 12:40:00)",2016-09-19 12:20:00,2016-09-19,12:20:00,0,38,1010,302.0,2.3,20.8,92.0,1.1,87.0,46.0,61.0,50.0,65.0,88.0,7,2,1,69.95523168264462,0,1,1
69,2-0,2,0,"[2016-09-19 12:40:00,2016-09-19 13:00:00)",2016-09-19 12:40:00,2016-09-19,12:40:00,0,39,1010,302.0,2.3,20.8,92.0,1.1,66.0,87.0,46.0,61.0,50.0,65.0,7,2,1,69.95523168264462,0,1,1
81,2-0,2,0,"[2016-09-19 13:00:00,2016-09-19 13:20:00)",2016-09-19 13:00:00,2016-09-19,13:00:00,0,40,1010,302.0,2.3,20.8,92.0,1.1,69.0,66.0,87.0,46.0,61.0,50.0,7,2,1,69.95523168264462,0,1,1
95,2-0,2,0,"[2016-09-19 13:20:00,2016-09-19 13:40:00)",2016-09-19 13:20:00,2016-09-19,13:20:00,0,41,1010,302.0,2.3,20.8,92.0,1.1,81.0,69.0,66.0,87.0,46.0,61.0,7,2,1,69.95523168264462,0,1,1
67,2-0,2,0,"[2016-09-19 13:40:00,2016-09-19 14:00:00)",2016-09-19 13:40:00,2016-09-19,13:40:00,0,42,1010,302.0,2.3,20.8,92.0,1.1,95.0,81.0,69.0,66.0,87.0,46.0,7,2,1,69.95523168264462,0,1,1
66,2-0,2,0,"[2016-09-19 14:00:00,2016-09-19 14:20:00)",2016-09-19 14:00:00,2016-09-19,14:00:00,0,43,1010,302.0,2.3,20.8,92.0,1.1,67.0,95.0,81.0,69.0,66.0,87.0,7,2,1,69.95523168264462,0,1,1
62,2-0,2,0,"[2016-09-19 14:20:00,2016-09-19 14:40:00)",2016-09-19 14:20:00,2016-09-19,14:20:00,0,44,1010,302.0,2.3,20.8,92.0,1.1,66.0,67.0,95.0,81.0,69.0,66.0,7,2,1,69.95523168264462,0,1,1
79,2-0,2,0,"[2016-09-19 14:40:00,2016-09-19 15:00:00)",2016-09-19 14:40:00,2016-09-19,14:40:00,0,45,1010,302.0,2.3,20.8,92.0,1.1,62.0,66.0,67.0,95.0,81.0,69.0,7,2,1,69.95523168264462,0,1,1
77,2-0,2,0,"[2016-09-19 15:00:00,2016-09-19 15:20:00)",2016-09-19 15:00:00,2016-09-19,15:00:00,0,46,1011,18.0,2.6,21.4,80.0,0.0,79.0,62.0,66.0,67.0,95.0,81.0,8,2,0,68.79945545762712,0,1,1
67,2-0,2,0,"[2016-09-19 15:20:00,2016-09-19 15:40:00)",2016-09-19 15:20:00,2016-09-19,15:20:00,0,47,1011,18.0,2.6,21.4,80.0,0.0,77.0,79.0,62.0,66.0,67.0,95.0,8,2,0,68.79945545762712,0,1,1
74,2-0,2,0,"[2016-09-19 15:40:00,2016-09-19 16:00:00)",2016-09-19 15:40:00,2016-09-19,15:40:00,0,48,1011,18.0,2.6,21.4,80.0,0.0,67.0,77.0,79.0,62.0,66.0,67.0,8,2,0,68.79945545762712,0,1,1
76,2-0,2,0,"[2016-09-19 16:00:00,2016-09-19 16:20:00)",2016-09-19 16:00:00,2016-09-19,16:00:00,0,49,1011,18.0,2.6,21.4,80.0,0.0,74.0,67.0,77.0,79.0,62.0,66.0,8,2,0,68.79945545762712,0,1,1
86,2-0,2,0,"[2016-09-19 16:20:00,2016-09-19 16:40:00)",2016-09-19 16:20:00,2016-09-19,16:20:00,0,50,1011,18.0,2.6,21.4,80.0,0.0,76.0,74.0,67.0,77.0,79.0,62.0,8,2,0,68.79945545762712,0,1,1
99,2-0,2,0,"[2016-09-19 16:40:00,2016-09-19 17:00:00)",2016-09-19 16:40:00,2016-09-19,16:40:00,0,51,1011,18.0,2.6,21.4,80.0,0.0,86.0,76.0,74.0,67.0,77.0,79.0,8,2,0,68.79945545762712,0,1,1
85,2-0,2,0,"[2016-09-19 17:00:00,2016-09-19 17:20:00)",2016-09-19 17:00:00,2016-09-19,17:00:00,0,52,1011,18.0,2.6,21.4,80.0,0.0,99.0,86.0,76.0,74.0,67.0,77.0,8,2,0,68.79945545762712,0,1,1
72,2-0,2,0,"[2016-09-19 17:20:00,2016-09-19 17:40:00)",2016-09-19 17:20:00,2016-09-19,17:20:00,0,53,1011,18.0,2.6,21.4,80.0,0.0,85.0,99.0,86.0,76.0,74.0,67.0,8,2,0,68.79945545762712,0,1,1
53,2-0,2,0,"[2016-09-19 17:40:00,2016-09-19 18:00:00)",2016-09-19 17:40:00,2016-09-19,17:40:00,0,54,1011,18.0,2.6,21.4,80.0,0.0,72.0,85.0,99.0,86.0,76.0,74.0,8,2,0,68.79945545762712,0,1,1
55,2-0,2,0,"[2016-09-19 18:00:00,2016-09-19 18:20:00)",2016-09-19 18:00:00,2016-09-19,18:00:00,0,55,1011,333.0,2.4,20.2,75.0,0.0,53.0,72.0,85.0,99.0,86.0,76.0,7,2,0,66.5949015483871,0,1,1
50,2-0,2,0,"[2016-09-19 18:20:00,2016-09-19 18:40:00)",2016-09-19 18:20:00,2016-09-19,18:20:00,0,56,1011,333.0,2.4,20.2,75.0,0.0,55.0,53.0,72.0,85.0,99.0,86.0,7,2,0,66.5949015483871,0,1,1
49,2-0,2,0,"[2016-09-19 18:40:00,2016-09-19 19:00:00)",2016-09-19 18:40:00,2016-09-19,18:40:00,0,57,1011,333.0,2.4,20.2,75.0,0.0,50.0,55.0,53.0,72.0,85.0,99.0,7,2,0,66.5949015483871,0,1,1
44,2-0,2,0,"[2016-09-19 19:00:00,2016-09-19 19:20:00)",2016-09-19 19:00:00,2016-09-19,19:00:00,0,58,1011,333.0,2.4,20.2,75.0,0.0,49.0,50.0,55.0,53.0,72.0,85.0,7,2,0,66.5949015483871,0,1,1
49,2-0,2,0,"[2016-09-19 19:20:00,2016-09-19 19:40:00)",2016-09-19 19:20:00,2016-09-19,19:20:00,0,59,1011,333.0,2.4,20.2,75.0,0.0,44.0,49.0,50.0,55.0,53.0,72.0,7,2,0,66.5949015483871,0,1,1
41,2-0,2,0,"[2016-09-19 19:40:00,2016-09-19 20:00:00)",2016-09-19 19:40:00,2016-09-19,19:40:00,0,60,1011,333.0,2.4,20.2,75.0,0.0,49.0,44.0,49.0,50.0,55.0,53.0,7,2,0,66.5949015483871,0,1,1
56,2-0,2,0,"[2016-09-19 20:00:00,2016-09-19 20:20:00)",2016-09-19 20:00:00,2016-09-19,20:00:00,0,61,1011,333.0,2.4,20.2,75.0,0.0,41.0,49.0,44.0,49.0,50.0,55.0,7,2,0,66.5949015483871,0,1,1
21,2-0,2,0,"[2016-09-19 20:20:00,2016-09-19 20:40:00)",2016-09-19 20:20:00,2016-09-19,20:20:00,0,62,1011,333.0,2.4,20.2,75.0,0.0,56.0,41.0,49.0,44.0,49.0,50.0,7,2,0,66.5949015483871,0,1,1
35,2-0,2,0,"[2016-09-19 20:40:00,2016-09-19 21:00:00)",2016-09-19 20:40:00,2016-09-19,20:40:00,0,63,1011,333.0,2.4,20.2,75.0,0.0,21.0,56.0,41.0,49.0,44.0,49.0,7,2,0,66.5949015483871,0,1,1
29,2-0,2,0,"[2016-09-19 21:00:00,2016-09-19 21:20:00)",2016-09-19 21:00:00,2016-09-19,21:00:00,0,64,1012,319.0,2.7,19.1,75.0,0.0,35.0,21.0,56.0,41.0,49.0,44.0,7,2,0,63.55284450193051,0,1,1
20,2-0,2,0,"[2016-09-19 21:20:00,2016-09-19 21:40:00)",2016-09-19 21:20:00,2016-09-19,21:20:00,0,65,1012,319.0,2.7,19.1,75.0,0.0,29.0,35.0,21.0,56.0,41.0,49.0,7,2,0,63.55284450193051,0,1,1
24,2-0,2,0,"[2016-09-19 21:40:00,2016-09-19 22:00:00)",2016-09-19 21:40:00,2016-09-19,21:40:00,0,66,1012,319.0,2.7,19.1,75.0,0.0,20.0,29.0,35.0,21.0,56.0,41.0,7,2,0,63.55284450193051,0,1,1
21,2-0,2,0,"[2016-09-19 22:00:00,2016-09-19 22:20:00)",2016-09-19 22:00:00,2016-09-19,22:00:00,0,67,1012,319.0,2.7,19.1,75.0,0.0,24.0,20.0,29.0,35.0,21.0,56.0,7,2,0,63.55284450193051,0,1,1
12,2-0,2,0,"[2016-09-19 22:20:00,2016-09-19 22:40:00)",2016-09-19 22:20:00,2016-09-19,22:20:00,0,68,1012,319.0,2.7,19.1,75.0,0.0,21.0,24.0,20.0,29.0,35.0,21.0,7,2,0,63.55284450193051,0,1,1
24,2-0,2,0,"[2016-09-19 22:40:00,2016-09-19 23:00:00)",2016-09-19 22:40:00,2016-09-19,22:40:00,0,69,1012,319.0,2.7,19.1,75.0,0.0,12.0,21.0,24.0,20.0,29.0,35.0,7,2,0,63.55284450193051,0,1,1
16,2-0,2,0,"[2016-09-19 23:00:00,2016-09-19 23:20:00)",2016-09-19 23:00:00,2016-09-19,23:00:00,0,70,1012,319.0,2.7,19.1,75.0,0.0,24.0,12.0,21.0,24.0,20.0,29.0,7,2,0,63.55284450193051,0,1,1
6,2-0,2,0,"[2016-09-19 23:20:00,2016-09-19 23:40:00)",2016-09-19 23:20:00,2016-09-19,23:20:00,0,71,1012,319.0,2.7,19.1,75.0,0.0,16.0,24.0,12.0,21.0,24.0,20.0,7,2,0,63.55284450193051,0,1,1
12,2-0,2,0,"[2016-09-19 23:40:00,2016-09-20 00:00:00)",2016-09-19 23:40:00,2016-09-19,23:40:00,0,72,1012,319.0,2.7,19.1,75.0,0.0,6.0,16.0,24.0,12.0,21.0,24.0,7,2,0,63.55284450193051,0,1,1
2,2-0,2,0,"[2016-09-20 00:20:00,2016-09-20 00:40:00)",2016-09-20 00:20:00,2016-09-20,00:20:00,1,2,1013,341.0,3.5,21.1,68.0,0.0,6.0,12.0,6.0,16.0,24.0,12.0,8,3,0,63.98836985439331,0,1,2
2,2-0,2,0,"[2016-09-20 00:40:00,2016-09-20 01:00:00)",2016-09-20 00:40:00,2016-09-20,00:40:00,1,3,1013,341.0,3.5,21.1,68.0,0.0,2.0,12.0,12.0,6.0,16.0,24.0,8,3,0,63.98836985439331,0,1,2
1,2-0,2,0,"[2016-09-20 01:20:00,2016-09-20 01:40:00)",2016-09-20 01:20:00,2016-09-20,01:20:00,1,5,1013,341.0,3.5,21.1,68.0,0.0,2.0,2.0,2.0,6.0,12.0,6.0,8,3,0,63.98836985439331,0,1,2
5,2-0,2,0,"[2016-09-20 05:00:00,2016-09-20 05:20:00)",2016-09-20 05:00:00,2016-09-20,05:00:00,1,16,1014,354.0,2.6,23.9,58.0,0.0,2.0,2.0,2.0,6.0,12.0,6.0,8,2,0,70.87979294407583,0,1,2
18,2-0,2,0,"[2016-09-20 05:20:00,2016-09-20 05:40:00)",2016-09-20 05:20:00,2016-09-20,05:20:00,1,17,1014,354.0,2.6,23.9,58.0,0.0,5.0,2.0,2.0,6.0,12.0,6.0,8,2,0,70.87979294407583,0,1,2
21,2-0,2,0,"[2016-09-20 05:40:00,2016-09-20 06:00:00)",2016-09-20 05:40:00,2016-09-20,05:40:00,1,18,1014,354.0,2.6,23.9,58.0,0.0,18.0,5.0,2.0,6.0,12.0,6.0,8,2,0,70.87979294407583,0,1,2
33,2-0,2,0,"[2016-09-20 06:00:00,2016-09-20 06:20:00)",2016-09-20 06:00:00,2016-09-20,06:00:00,1,19,1012,7.0,4.6,26.9,43.0,0.0,21.0,18.0,5.0,6.0,12.0,6.0,8,3,0,68.00156924419889,0,1,2
31,2-0,2,0,"[2016-09-20 06:20:00,2016-09-20 06:40:00)",2016-09-20 06:20:00,2016-09-20,06:20:00,1,20,1012,7.0,4.6,26.9,43.0,0.0,33.0,21.0,18.0,5.0,12.0,6.0,8,3,0,68.00156924419889,0,1,2
54,2-0,2,0,"[2016-09-20 06:40:00,2016-09-20 07:00:00)",2016-09-20 06:40:00,2016-09-20,06:40:00,1,21,1012,7.0,4.6,26.9,43.0,0.0,31.0,33.0,21.0,18.0,5.0,6.0,8,3,0,68.00156924419889,0,1,2
79,2-0,2,0,"[2016-09-20 07:00:00,2016-09-20 07:20:00)",2016-09-20 07:00:00,2016-09-20,07:00:00,1,22,1012,7.0,4.6,26.9,43.0,0.0,54.0,31.0,33.0,21.0,18.0,5.0,8,3,0,68.00156924419889,0,1,2
86,2-0,2,0,"[2016-09-20 07:20:00,2016-09-20 07:40:00)",2016-09-20 07:20:00,2016-09-20,07:20:00,1,23,1012,7.0,4.6,26.9,43.0,0.0,79.0,54.0,31.0,33.0,21.0,18.0,8,3,0,68.00156924419889,0,1,2
93,2-0,2,0,"[2016-09-20 07:40:00,2016-09-20 08:00:00)",2016-09-20 07:40:00,2016-09-20,07:40:00,1,24,1012,7.0,4.6,26.9,43.0,0.0,86.0,79.0,54.0,31.0,33.0,21.0,8,3,0,68.00156924419889,0,1,2
112,2-0,2,0,"[2016-09-20 08:00:00,2016-09-20 08:20:00)",2016-09-20 08:00:00,2016-09-20,08:00:00,1,25,1012,7.0,4.6,26.9,43.0,0.0,93.0,86.0,79.0,54.0,31.0,33.0,8,3,0,68.00156924419889,0,1,2
111,2-0,2,0,"[2016-09-20 08:20:00,2016-09-20 08:40:00)",2016-09-20 08:20:00,2016-09-20,08:20:00,1,26,1012,7.0,4.6,26.9,43.0,0.0,112.0,93.0,86.0,79.0,54.0,31.0,8,3,0,68.00156924419889,0,1,2
112,2-0,2,0,"[2016-09-20 08:40:00,2016-09-20 09:00:00)",2016-09-20 08:40:00,2016-09-20,08:40:00,1,27,1012,7.0,4.6,26.9,43.0,0.0,111.0,112.0,93.0,86.0,79.0,54.0,8,3,0,68.00156924419889,0,1,2
105,2-0,2,0,"[2016-09-20 09:00:00,2016-09-20 09:20:00)",2016-09-20 09:00:00,2016-09-20,09:00:00,1,28,1013,11.0,4.5,25.4,42.0,0.0,112.0,111.0,112.0,93.0,86.0,79.0,8,3,0,65.50360610612245,0,1,2
99,2-0,2,0,"[2016-09-20 09:20:00,2016-09-20 09:40:00)",2016-09-20 09:20:00,2016-09-20,09:20:00,1,29,1013,11.0,4.5,25.4,42.0,0.0,105.0,112.0,111.0,112.0,93.0,86.0,8,3,0,65.50360610612245,0,1,2
87,2-0,2,0,"[2016-09-20 09:40:00,2016-09-20 10:00:00)",2016-09-20 09:40:00,2016-09-20,09:40:00,1,30,1013,11.0,4.5,25.4,42.0,0.0,99.0,105.0,112.0,111.0,112.0,93.0,8,3,0,65.50360610612245,0,1,2
85,2-0,2,0,"[2016-09-20 10:00:00,2016-09-20 10:20:00)",2016-09-20 10:00:00,2016-09-20,10:00:00,1,31,1013,11.0,4.5,25.4,42.0,0.0,87.0,99.0,105.0,112.0,111.0,112.0,8,3,0,65.50360610612245,0,1,2
76,2-0,2,0,"[2016-09-20 10:20:00,2016-09-20 10:40:00)",2016-09-20 10:20:00,2016-09-20,10:20:00,1,32,1013,11.0,4.5,25.4,42.0,0.0,85.0,87.0,99.0,105.0,112.0,111.0,8,3,0,65.50360610612245,0,1,2
80,2-0,2,0,"[2016-09-20 10:40:00,2016-09-20 11:00:00)",2016-09-20 10:40:00,2016-09-20,10:40:00,1,33,1013,11.0,4.5,25.4,42.0,0.0,76.0,85.0,87.0,99.0,105.0,112.0,8,3,0,65.50360610612245,0,1,2
63,2-0,2,0,"[2016-09-20 11:00:00,2016-09-20 11:20:00)",2016-09-20 11:00:00,2016-09-20,11:00:00,1,34,1013,11.0,4.5,25.4,42.0,0.0,80.0,76.0,85.0,87.0,99.0,105.0,8,3,0,65.50360610612245,0,1,2
46,2-0,2,0,"[2016-09-20 11:20:00,2016-09-20 11:40:00)",2016-09-20 11:20:00,2016-09-20,11:20:00,1,35,1013,11.0,4.5,25.4,42.0,0.0,63.0,80.0,76.0,85.0,87.0,99.0,8,3,0,65.50360610612245,0,1,2
55,2-0,2,0,"[2016-09-20 11:40:00,2016-09-20 12:00:00)",2016-09-20 11:40:00,2016-09-20,11:40:00,1,36,1013,11.0,4.5,25.4,42.0,0.0,46.0,63.0,80.0,76.0,85.0,87.0,8,3,0,65.50360610612245,0,1,2
73,2-0,2,0,"[2016-09-20 12:00:00,2016-09-20 12:20:00)",2016-09-20 12:00:00,2016-09-20,12:00:00,1,37,1014,25.0,1.7,22.1,53.0,0.0,55.0,46.0,63.0,80.0,76.0,85.0,1,2,0,69.86847638951966,0,1,2
88,2-0,2,0,"[2016-09-20 12:20:00,2016-09-20 12:40:00)",2016-09-20 12:20:00,2016-09-20,12:20:00,1,38,1014,25.0,1.7,22.1,53.0,0.0,73.0,55.0,46.0,63.0,80.0,76.0,1,2,0,69.86847638951966,0,1,2
80,2-0,2,0,"[2016-09-20 12:40:00,2016-09-20 13:00:00)",2016-09-20 12:40:00,2016-09-20,12:40:00,1,39,1014,25.0,1.7,22.1,53.0,0.0,88.0,73.0,55.0,46.0,63.0,80.0,1,2,0,69.86847638951966,0,1,2
75,2-0,2,0,"[2016-09-20 13:00:00,2016-09-20 13:20:00)",2016-09-20 13:00:00,2016-09-20,13:00:00,1,40,1014,25.0,1.7,22.1,53.0,0.0,80.0,88.0,73.0,55.0,46.0,63.0,1,2,0,69.86847638951966,0,1,2
96,2-0,2,0,"[2016-09-20 13:20:00,2016-09-20 13:40:00)",2016-09-20 13:20:00,2016-09-20,13:20:00,1,41,1014,25.0,1.7,22.1,53.0,0.0,75.0,80.0,88.0,73.0,55.0,46.0,1,2,0,69.86847638951966,0,1,2
69,2-0,2,0,"[2016-09-20 13:40:00,2016-09-20 14:00:00)",2016-09-20 13:40:00,2016-09-20,13:40:00,1,42,1014,25.0,1.7,22.1,53.0,0.0,96.0,75.0,80.0,88.0,73.0,55.0,1,2,0,69.86847638951966,0,1,2
81,2-0,2,0,"[2016-09-20 14:00:00,2016-09-20 14:20:00)",2016-09-20 14:00:00,2016-09-20,14:00:00,1,43,1014,25.0,1.7,22.1,53.0,0.0,69.0,96.0,75.0,80.0,88.0,73.0,1,2,0,69.86847638951966,0,1,2
72,2-0,2,0,"[2016-09-20 14:20:00,2016-09-20 14:40:00)",2016-09-20 14:20:00,2016-09-20,14:20:00,1,44,1014,25.0,1.7,22.1,53.0,0.0,81.0,69.0,96.0,75.0,80.0,88.0,1,2,0,69.86847638951966,0,1,2
70,2-0,2,0,"[2016-09-20 14:40:00,2016-09-20 15:00:00)",2016-09-20 14:40:00,2016-09-20,14:40:00,1,45,1014,25.0,1.7,22.1,53.0,0.0,72.0,81.0,69.0,96.0,75.0,80.0,1,2,0,69.86847638951966,0,1,2
62,2-0,2,0,"[2016-09-20 15:00:00,2016-09-20 15:20:00)",2016-09-20 15:00:00,2016-09-20,15:00:00,1,46,1014,326.0,2.2,20.5,65.0,0.0,70.0,72.0,81.0,69.0,96.0,75.0,7,2,0,66.69410224489796,0,1,2
69,2-0,2,0,"[2016-09-20 15:20:00,2016-09-20 15:40:00)",2016-09-20 15:20:00,2016-09-20,15:20:00,1,47,1014,326.0,2.2,20.5,65.0,0.0,62.0,70.0,72.0,81.0,69.0,96.0,7,2,0,66.69410224489796,0,1,2
69,2-0,2,0,"[2016-09-20 15:40:00,2016-09-20 16:00:00)",2016-09-20 15:40:00,2016-09-20,15:40:00,1,48,1014,326.0,2.2,20.5,65.0,0.0,69.0,62.0,70.0,72.0,81.0,69.0,7,2,0,66.69410224489796,0,1,2
82,2-0,2,0,"[2016-09-20 16:00:00,2016-09-20 16:20:00)",2016-09-20 16:00:00,2016-09-20,16:00:00,1,49,1014,326.0,2.2,20.5,65.0,0.0,69.0,69.0,62.0,70.0,72.0,81.0,7,2,0,66.69410224489796,0,1,2
76,2-0,2,0,"[2016-09-20 16:20:00,2016-09-20 16:40:00)",2016-09-20 16:20:00,2016-09-20,16:20:00,1,50,1014,326.0,2.2,20.5,65.0,0.0,82.0,69.0,69.0,62.0,70.0,72.0,7,2,0,66.69410224489796,0,1,2
64,2-0,2,0,"[2016-09-20 16:40:00,2016-09-20 17:00:00)",2016-09-20 16:40:00,2016-09-20,16:40:00,1,51,1014,326.0,2.2,20.5,65.0,0.0,76.0,82.0,69.0,69.0,62.0,70.0,7,2,0,66.69410224489796,0,1,2
82,2-0,2,0,"[2016-09-20 17:00:00,2016-09-20 17:20:00)",2016-09-20 17:00:00,2016-09-20,17:00:00,1,52,1014,326.0,2.2,20.5,65.0,0.0,64.0,76.0,82.0,69.0,69.0,62.0,7,2,0,66.69410224489796,0,1,2
