avg_travel_time,route,intersection_id,tollgate_id,time_window,start_time,date,time,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,last_40min,last_60min,last_80min,last_100min,last_120min,wind_direction2,wind_speed2,precipitation2,SSD,SSD_level,is_workday,datemap
59.41,A-2,A,2,"[2016-07-19 10:20:00,2016-07-19 10:40:00)",2016-07-19 10:20:00,2016-07-19,10:20:00,1,32,999,218.0,2.0,31.5,69.0,0.0,78.31,69.66,69.04,78.05,63.45,80.21,5,2,0,88.56800896296296,4,1,1
75.49,A-2,A,2,"[2016-07-19 10:40:00,2016-07-19 11:00:00)",2016-07-19 10:40:00,2016-07-19,10:40:00,1,33,999,218.0,2.0,31.5,69.0,0.0,59.41,78.31,69.66,69.04,78.05,63.45,5,2,0,88.56800896296296,4,1,1
72.44,A-2,A,2,"[2016-07-19 11:00:00,2016-07-19 11:20:00)",2016-07-19 11:00:00,2016-07-19,11:00:00,1,34,999,218.0,2.0,31.5,69.0,0.0,75.49,59.41,78.31,69.66,69.04,78.05,5,2,0,88.56800896296296,4,1,1
45.94,A-2,A,2,"[2016-07-19 11:20:00,2016-07-19 11:40:00)",2016-07-19 11:20:00,2016-07-19,11:20:00,1,35,999,218.0,2.0,31.5,69.0,0.0,72.44,75.49,59.41,78.31,69.66,69.04,5,2,0,88.56800896296296,4,1,1
47.98,A-2,A,2,"[2016-07-19 11:40:00,2016-07-19 12:00:00)",2016-07-19 11:40:00,2016-07-19,11:40:00,1,36,999,218.0,2.0,31.5,69.0,0.0,45.94,72.44,75.49,59.41,78.31,69.66,5,2,0,88.56800896296296,4,1,1
60.17,A-2,A,2,"[2016-07-19 12:00:00,2016-07-19 12:20:00)",2016-07-19 12:00:00,2016-07-19,12:00:00,1,37,1000,215.0,0.7,30.0,77.0,0.0,47.98,45.94,72.44,75.49,59.41,78.31,5,1,0,91.01914666666667,4,1,1
49.53,A-2,A,2,"[2016-07-19 12:20:00,2016-07-19 12:40:00)",2016-07-19 12:20:00,2016-07-19,12:20:00,1,38,1000,215.0,0.7,30.0,77.0,0.0,60.17,47.98,45.94,72.44,75.49,59.41,5,1,0,91.01914666666667,4,1,1
52.17,A-2,A,2,"[2016-07-19 12:40:00,2016-07-19 13:00:00)",2016-07-19 12:40:00,2016-07-19,12:40:00,1,39,1000,215.0,0.7,30.0,77.0,0.0,49.53,60.17,47.98,45.94,72.44,75.49,5,1,0,91.01914666666667,4,1,1
57.83,A-2,A,2,"[2016-07-19 13:00:00,2016-07-19 13:20:00)",2016-07-19 13:00:00,2016-07-19,13:00:00,1,40,1000,215.0,0.7,30.0,77.0,0.0,52.17,49.53,60.17,47.98,45.94,72.44,5,1,0,91.01914666666667,4,1,1
57.09,A-2,A,2,"[2016-07-19 13:20:00,2016-07-19 13:40:00)",2016-07-19 13:20:00,2016-07-19,13:20:00,1,41,1000,215.0,0.7,30.0,77.0,0.0,57.83,52.17,49.53,60.17,47.98,45.94,5,1,0,91.01914666666667,4,1,1
61.13,A-2,A,2,"[2016-07-19 13:40:00,2016-07-19 14:00:00)",2016-07-19 13:40:00,2016-07-19,13:40:00,1,42,1000,215.0,0.7,30.0,77.0,0.0,57.09,57.83,52.17,49.53,60.17,47.98,5,1,0,91.01914666666667,4,1,1
65.11,A-2,A,2,"[2016-07-19 14:00:00,2016-07-19 14:20:00)",2016-07-19 14:00:00,2016-07-19,14:00:00,1,43,1000,215.0,0.7,30.0,77.0,0.0,61.13,57.09,57.83,52.17,49.53,60.17,5,1,0,91.01914666666667,4,1,1
74.71,A-2,A,2,"[2016-07-19 14:20:00,2016-07-19 14:40:00)",2016-07-19 14:20:00,2016-07-19,14:20:00,1,44,1000,215.0,0.7,30.0,77.0,0.0,65.11,61.13,57.09,57.83,52.17,49.53,5,1,0,91.01914666666667,4,1,1
63.83,A-2,A,2,"[2016-07-19 14:40:00,2016-07-19 15:00:00)",2016-07-19 14:40:00,2016-07-19,14:40:00,1,45,1000,215.0,0.7,30.0,77.0,0.0,74.71,65.11,61.13,57.09,57.83,52.17,5,1,0,91.01914666666667,4,1,1
79.42,A-2,A,2,"[2016-07-19 15:00:00,2016-07-19 15:20:00)",2016-07-19 15:00:00,2016-07-19,15:00:00,1,46,1001,202.0,1.5,29.0,80.0,0.0,63.83,74.71,65.11,61.13,57.09,57.83,4,1,0,86.95058,4,1,1
72.31,A-2,A,2,"[2016-07-19 15:20:00,2016-07-19 15:40:00)",2016-07-19 15:20:00,2016-07-19,15:20:00,1,47,1001,202.0,1.5,29.0,80.0,0.0,79.42,63.83,74.71,65.11,61.13,57.09,4,1,0,86.95058,4,1,1
58.74,A-2,A,2,"[2016-07-19 15:40:00,2016-07-19 16:00:00)",2016-07-19 15:40:00,2016-07-19,15:40:00,1,48,1001,202.0,1.5,29.0,80.0,0.0,72.31,79.42,63.83,74.71,65.11,61.13,4,1,0,86.95058,4,1,1
59.64,A-2,A,2,"[2016-07-19 16:00:00,2016-07-19 16:20:00)",2016-07-19 16:00:00,2016-07-19,16:00:00,1,49,1001,202.0,1.5,29.0,80.0,0.0,58.74,72.31,79.42,63.83,74.71,65.11,4,1,0,86.95058,4,1,1
51.97,A-2,A,2,"[2016-07-19 16:20:00,2016-07-19 16:40:00)",2016-07-19 16:20:00,2016-07-19,16:20:00,1,50,1001,202.0,1.5,29.0,80.0,0.0,59.64,58.74,72.31,79.42,63.83,74.71,4,1,0,86.95058,4,1,1
61.6,A-2,A,2,"[2016-07-19 16:40:00,2016-07-19 17:00:00)",2016-07-19 16:40:00,2016-07-19,16:40:00,1,51,1001,202.0,1.5,29.0,80.0,0.0,51.97,59.64,58.74,72.31,79.42,63.83,4,1,0,86.95058,4,1,1
105.39,A-2,A,2,"[2016-07-19 17:00:00,2016-07-19 17:20:00)",2016-07-19 17:00:00,2016-07-19,17:00:00,1,52,1001,202.0,1.5,29.0,80.0,0.0,61.6,51.97,59.64,58.74,72.31,79.42,4,1,0,86.95058,4,1,1
83.83,A-2,A,2,"[2016-07-19 17:20:00,2016-07-19 17:40:00)",2016-07-19 17:20:00,2016-07-19,17:20:00,1,53,1001,202.0,1.5,29.0,80.0,0.0,105.39,61.6,51.97,59.64,58.74,72.31,4,1,0,86.95058,4,1,1
65.67,A-2,A,2,"[2016-07-19 17:40:00,2016-07-19 18:00:00)",2016-07-19 17:40:00,2016-07-19,17:40:00,1,54,1001,202.0,1.5,29.0,80.0,0.0,83.83,105.39,61.6,51.97,59.64,58.74,4,1,0,86.95058,4,1,1
85.11,A-2,A,2,"[2016-07-19 18:00:00,2016-07-19 18:20:00)",2016-07-19 18:00:00,2016-07-19,18:00:00,1,55,1000,198.0,2.1,27.7,88.0,0.0,65.67,83.83,105.39,61.6,51.97,59.64,4,2,0,83.60820668670522,3,1,1
50.57,A-2,A,2,"[2016-07-19 18:20:00,2016-07-19 18:40:00)",2016-07-19 18:20:00,2016-07-19,18:20:00,1,56,1000,198.0,2.1,27.7,88.0,0.0,85.11,65.67,83.83,105.39,61.6,51.97,4,2,0,83.60820668670522,3,1,1
65.07,A-2,A,2,"[2016-07-19 18:40:00,2016-07-19 19:00:00)",2016-07-19 18:40:00,2016-07-19,18:40:00,1,57,1000,198.0,2.1,27.7,88.0,0.0,50.57,85.11,65.67,83.83,105.39,61.6,4,2,0,83.60820668670522,3,1,1
67.33,A-2,A,2,"[2016-07-19 19:00:00,2016-07-19 19:20:00)",2016-07-19 19:00:00,2016-07-19,19:00:00,1,58,1000,198.0,2.1,27.7,88.0,0.0,65.07,50.57,85.11,65.67,83.83,105.39,4,2,0,83.60820668670522,3,1,1
79.85,A-2,A,2,"[2016-07-19 19:20:00,2016-07-19 19:40:00)",2016-07-19 19:20:00,2016-07-19,19:20:00,1,59,1000,198.0,2.1,27.7,88.0,0.0,67.33,65.07,50.57,85.11,65.67,83.83,4,2,0,83.60820668670522,3,1,1
89.64,A-2,A,2,"[2016-07-19 19:40:00,2016-07-19 20:00:00)",2016-07-19 19:40:00,2016-07-19,19:40:00,1,60,1000,198.0,2.1,27.7,88.0,0.0,79.85,67.33,65.07,50.57,85.11,65.67,4,2,0,83.60820668670522,3,1,1
87.94,A-2,A,2,"[2016-07-19 20:00:00,2016-07-19 20:20:00)",2016-07-19 20:00:00,2016-07-19,20:00:00,1,61,1000,198.0,2.1,27.7,88.0,0.0,89.64,79.85,67.33,65.07,50.57,85.11,4,2,0,83.60820668670522,3,1,1
44.09,A-2,A,2,"[2016-07-19 20:20:00,2016-07-19 20:40:00)",2016-07-19 20:20:00,2016-07-19,20:20:00,1,62,1000,198.0,2.1,27.7,88.0,0.0,87.94,89.64,79.85,67.33,65.07,50.57,4,2,0,83.60820668670522,3,1,1
64.16,A-2,A,2,"[2016-07-19 20:40:00,2016-07-19 21:00:00)",2016-07-19 20:40:00,2016-07-19,20:40:00,1,63,1000,198.0,2.1,27.7,88.0,0.0,44.09,87.94,89.64,79.85,67.33,65.07,4,2,0,83.60820668670522,3,1,1
68.48,A-2,A,2,"[2016-07-19 21:00:00,2016-07-19 21:20:00)",2016-07-19 21:00:00,2016-07-19,21:00:00,1,64,999,208.0,2.0,26.5,93.0,0.0,64.16,44.09,87.94,89.64,79.85,67.33,5,2,0,82.23926470270271,3,1,1
59.09,A-2,A,2,"[2016-07-19 21:20:00,2016-07-19 21:40:00)",2016-07-19 21:20:00,2016-07-19,21:20:00,1,65,999,208.0,2.0,26.5,93.0,0.0,68.48,64.16,44.09,87.94,89.64,79.85,5,2,0,82.23926470270271,3,1,1
51.18,A-2,A,2,"[2016-07-19 21:40:00,2016-07-19 22:00:00)",2016-07-19 21:40:00,2016-07-19,21:40:00,1,66,999,208.0,2.0,26.5,93.0,0.0,59.09,68.48,64.16,44.09,87.94,89.64,5,2,0,82.23926470270271,3,1,1
46.09,A-2,A,2,"[2016-07-19 22:00:00,2016-07-19 22:20:00)",2016-07-19 22:00:00,2016-07-19,22:00:00,1,67,999,208.0,2.0,26.5,93.0,0.0,51.18,59.09,68.48,64.16,44.09,87.94,5,2,0,82.23926470270271,3,1,1
91.85,A-2,A,2,"[2016-07-19 22:20:00,2016-07-19 22:40:00)",2016-07-19 22:20:00,2016-07-19,22:20:00,1,68,999,208.0,2.0,26.5,93.0,0.0,46.09,51.18,59.09,68.48,64.16,44.09,5,2,0,82.23926470270271,3,1,1
47.02,A-2,A,2,"[2016-07-19 22:40:00,2016-07-19 23:00:00)",2016-07-19 22:40:00,2016-07-19,22:40:00,1,69,999,208.0,2.0,26.5,93.0,0.0,91.85,46.09,51.18,59.09,68.48,64.16,5,2,0,82.23926470270271,3,1,1
54.59,A-2,A,2,"[2016-07-19 23:00:00,2016-07-19 23:20:00)",2016-07-19 23:00:00,2016-07-19,23:00:00,1,70,999,208.0,2.0,26.5,93.0,0.0,47.02,91.85,46.09,51.18,59.09,68.48,5,2,0,82.23926470270271,3,1,1
84.37,A-2,A,2,"[2016-07-19 23:20:00,2016-07-19 23:40:00)",2016-07-19 23:20:00,2016-07-19,23:20:00,1,71,999,208.0,2.0,26.5,93.0,0.0,54.59,47.02,91.85,46.09,51.18,59.09,5,2,0,82.23926470270271,3,1,1
67.96,A-2,A,2,"[2016-07-19 23:40:00,2016-07-20 00:00:00)",2016-07-19 23:40:00,2016-07-19,23:40:00,1,72,999,208.0,2.0,26.5,93.0,0.0,84.37,54.59,47.02,91.85,46.09,51.18,5,2,0,82.23926470270271,3,1,1
18.68,A-2,A,2,"[2016-07-20 02:20:00,2016-07-20 02:40:00)",2016-07-20 02:20:00,2016-07-20,02:20:00,2,8,1000,200.0,2.9,30.3,72.0,0.0,49.12,40.75,58.62,57.64,83.66,37.89,4,2,0,83.82812334149659,3,1,2
33.89,A-2,A,2,"[2016-07-20 02:40:00,2016-07-20 03:00:00)",2016-07-20 02:40:00,2016-07-20,02:40:00,2,9,1000,200.0,2.9,30.3,72.0,0.0,18.68,49.12,40.75,58.62,57.64,83.66,4,2,0,83.82812334149659,3,1,2
60.67,A-2,A,2,"[2016-07-20 03:00:00,2016-07-20 03:20:00)",2016-07-20 03:00:00,2016-07-20,03:00:00,2,10,1000,207.0,5.4,34.8,48.0,0.0,33.89,18.68,49.12,40.75,58.62,57.64,5,3,0,80.68619620392157,3,1,2
18.59,A-2,A,2,"[2016-07-20 03:20:00,2016-07-20 03:40:00)",2016-07-20 03:20:00,2016-07-20,03:20:00,2,11,1000,207.0,5.4,34.8,48.0,0.0,60.67,33.89,18.68,49.12,40.75,58.62,5,3,0,80.68619620392157,3,1,2
100.71,A-2,A,2,"[2016-07-20 03:40:00,2016-07-20 04:00:00)",2016-07-20 03:40:00,2016-07-20,03:40:00,2,12,1000,207.0,5.4,34.8,48.0,0.0,18.59,60.67,33.89,18.68,49.12,40.75,5,3,0,80.68619620392157,3,1,2
105.65,A-2,A,2,"[2016-07-20 04:00:00,2016-07-20 04:20:00)",2016-07-20 04:00:00,2016-07-20,04:00:00,2,13,1000,207.0,5.4,34.8,48.0,0.0,100.71,18.59,60.67,33.89,18.68,49.12,5,3,0,80.68619620392157,3,1,2
64.32,A-2,A,2,"[2016-07-20 04:20:00,2016-07-20 04:40:00)",2016-07-20 04:20:00,2016-07-20,04:20:00,2,14,1000,207.0,5.4,34.8,48.0,0.0,105.65,100.71,18.59,60.67,33.89,18.68,5,3,0,80.68619620392157,3,1,2
49.4,A-2,A,2,"[2016-07-20 04:40:00,2016-07-20 05:00:00)",2016-07-20 04:40:00,2016-07-20,04:40:00,2,15,1000,207.0,5.4,34.8,48.0,0.0,64.32,105.65,100.71,18.59,60.67,33.89,5,3,0,80.68619620392157,3,1,2
49.76,A-2,A,2,"[2016-07-20 05:00:00,2016-07-20 05:20:00)",2016-07-20 05:00:00,2016-07-20,05:00:00,2,16,1000,207.0,5.4,34.8,48.0,0.0,49.4,64.32,105.65,100.71,18.59,60.67,5,3,0,80.68619620392157,3,1,2
57.67,A-2,A,2,"[2016-07-20 05:20:00,2016-07-20 05:40:00)",2016-07-20 05:20:00,2016-07-20,05:20:00,2,17,1000,207.0,5.4,34.8,48.0,0.0,49.76,49.4,64.32,105.65,100.71,18.59,5,3,0,80.68619620392157,3,1,2
46.2,A-2,A,2,"[2016-07-20 05:40:00,2016-07-20 06:00:00)",2016-07-20 05:40:00,2016-07-20,05:40:00,2,18,1000,207.0,5.4,34.8,48.0,0.0,57.67,49.76,49.4,64.32,105.65,100.71,5,3,0,80.68619620392157,3,1,2
44.1,A-2,A,2,"[2016-07-20 06:00:00,2016-07-20 06:20:00)",2016-07-20 06:00:00,2016-07-20,06:00:00,2,19,999,199.0,4.7,37.1,41.0,0.0,46.2,57.67,49.76,49.4,64.32,105.65,4,3,0,86.17951322025317,4,1,2
59.87,A-2,A,2,"[2016-07-20 06:20:00,2016-07-20 06:40:00)",2016-07-20 06:20:00,2016-07-20,06:20:00,2,20,999,199.0,4.7,37.1,41.0,0.0,44.1,46.2,57.67,49.76,49.4,64.32,4,3,0,86.17951322025317,4,1,2
88.81,A-2,A,2,"[2016-07-20 06:40:00,2016-07-20 07:00:00)",2016-07-20 06:40:00,2016-07-20,06:40:00,2,21,999,199.0,4.7,37.1,41.0,0.0,59.87,44.1,46.2,57.67,49.76,49.4,4,3,0,86.17951322025317,4,1,2
77.85,A-2,A,2,"[2016-07-20 07:00:00,2016-07-20 07:20:00)",2016-07-20 07:00:00,2016-07-20,07:00:00,2,22,999,199.0,4.7,37.1,41.0,0.0,88.81,59.87,44.1,46.2,57.67,49.76,4,3,0,86.17951322025317,4,1,2
94.92,A-2,A,2,"[2016-07-20 07:20:00,2016-07-20 07:40:00)",2016-07-20 07:20:00,2016-07-20,07:20:00,2,23,999,199.0,4.7,37.1,41.0,0.0,77.85,88.81,59.87,44.1,46.2,57.67,4,3,0,86.17951322025317,4,1,2
73.68,A-2,A,2,"[2016-07-20 07:40:00,2016-07-20 08:00:00)",2016-07-20 07:40:00,2016-07-20,07:40:00,2,24,999,199.0,4.7,37.1,41.0,0.0,94.92,77.85,88.81,59.87,44.1,46.2,4,3,0,86.17951322025317,4,1,2
61.01,A-2,A,2,"[2016-07-20 08:00:00,2016-07-20 08:20:00)",2016-07-20 08:00:00,2016-07-20,08:00:00,2,25,999,199.0,4.7,37.1,41.0,0.0,73.68,94.92,77.85,88.81,59.87,44.1,4,3,0,86.17951322025317,4,1,2
50.99,A-2,A,2,"[2016-07-20 08:40:00,2016-07-20 09:00:00)",2016-07-20 08:40:00,2016-07-20,08:40:00,2,27,999,199.0,4.7,37.1,41.0,0.0,185.94,61.01,73.68,94.92,77.85,88.81,4,3,0,86.17951322025317,4,1,2
44.94,A-2,A,2,"[2016-07-20 09:00:00,2016-07-20 09:20:00)",2016-07-20 09:00:00,2016-07-20,09:00:00,2,28,999,217.0,3.4,37.0,40.0,0.0,50.99,185.94,61.01,73.68,94.92,77.85,5,2,0,89.97316000000001,4,1,2
60.48,A-2,A,2,"[2016-07-20 11:40:00,2016-07-20 12:00:00)",2016-07-20 11:40:00,2016-07-20,11:40:00,2,36,999,217.0,3.4,37.0,40.0,0.0,46.64,49.45,90.17,70.14,341.79,23.3,5,2,0,89.97316000000001,4,1,2
53.99,A-2,A,2,"[2016-07-20 12:00:00,2016-07-20 12:20:00)",2016-07-20 12:00:00,2016-07-20,12:00:00,2,37,1000,224.0,2.5,33.0,53.0,0.0,60.48,46.64,49.45,90.17,70.14,341.79,5,2,0,87.36289733333334,4,1,2
49.55,A-2,A,2,"[2016-07-20 12:20:00,2016-07-20 12:40:00)",2016-07-20 12:20:00,2016-07-20,12:20:00,2,38,1000,224.0,2.5,33.0,53.0,0.0,53.99,60.48,46.64,49.45,90.17,70.14,5,2,0,87.36289733333334,4,1,2
55.28,A-2,A,2,"[2016-07-20 12:40:00,2016-07-20 13:00:00)",2016-07-20 12:40:00,2016-07-20,12:40:00,2,39,1000,224.0,2.5,33.0,53.0,0.0,49.55,53.99,60.48,46.64,49.45,90.17,5,2,0,87.36289733333334,4,1,2
81.49,A-2,A,2,"[2016-07-20 13:00:00,2016-07-20 13:20:00)",2016-07-20 13:00:00,2016-07-20,13:00:00,2,40,1000,224.0,2.5,33.0,53.0,0.0,55.28,49.55,53.99,60.48,46.64,49.45,5,2,0,87.36289733333334,4,1,2
50.82,A-2,A,2,"[2016-07-20 13:20:00,2016-07-20 13:40:00)",2016-07-20 13:20:00,2016-07-20,13:20:00,2,41,1000,224.0,2.5,33.0,53.0,0.0,81.49,55.28,49.55,53.99,60.48,46.64,5,2,0,87.36289733333334,4,1,2
73.5,A-2,A,2,"[2016-07-20 13:40:00,2016-07-20 14:00:00)",2016-07-20 13:40:00,2016-07-20,13:40:00,2,42,1000,224.0,2.5,33.0,53.0,0.0,50.82,81.49,55.28,49.55,53.99,60.48,5,2,0,87.36289733333334,4,1,2
66.64,A-2,A,2,"[2016-07-20 14:00:00,2016-07-20 14:20:00)",2016-07-20 14:00:00,2016-07-20,14:00:00,2,43,1000,224.0,2.5,33.0,53.0,0.0,73.5,50.82,81.49,55.28,49.55,53.99,5,2,0,87.36289733333334,4,1,2
57.33,A-2,A,2,"[2016-07-20 14:20:00,2016-07-20 14:40:00)",2016-07-20 14:20:00,2016-07-20,14:20:00,2,44,1000,224.0,2.5,33.0,53.0,0.0,66.64,73.5,50.82,81.49,55.28,49.55,5,2,0,87.36289733333334,4,1,2
53.57,A-2,A,2,"[2016-07-20 14:40:00,2016-07-20 15:00:00)",2016-07-20 14:40:00,2016-07-20,14:40:00,2,45,1000,224.0,2.5,33.0,53.0,0.0,57.33,66.64,73.5,50.82,81.49,55.28,5,2,0,87.36289733333334,4,1,2
62.18,A-2,A,2,"[2016-07-20 15:00:00,2016-07-20 15:20:00)",2016-07-20 15:00:00,2016-07-20,15:00:00,2,46,1001,208.0,2.1,30.6,63.0,0.0,53.57,57.33,66.64,73.5,50.82,81.49,5,2,0,85.63644257777777,3,1,2
64.33,A-2,A,2,"[2016-07-20 15:20:00,2016-07-20 15:40:00)",2016-07-20 15:20:00,2016-07-20,15:20:00,2,47,1001,208.0,2.1,30.6,63.0,0.0,62.18,53.57,57.33,66.64,73.5,50.82,5,2,0,85.63644257777777,3,1,2
70.33,A-2,A,2,"[2016-07-20 15:40:00,2016-07-20 16:00:00)",2016-07-20 15:40:00,2016-07-20,15:40:00,2,48,1001,208.0,2.1,30.6,63.0,0.0,64.33,62.18,53.57,57.33,66.64,73.5,5,2,0,85.63644257777777,3,1,2
67.11,A-2,A,2,"[2016-07-20 16:00:00,2016-07-20 16:20:00)",2016-07-20 16:00:00,2016-07-20,16:00:00,2,49,1001,208.0,2.1,30.6,63.0,0.0,70.33,64.33,62.18,53.57,57.33,66.64,5,2,0,85.63644257777777,3,1,2
82.79,A-2,A,2,"[2016-07-20 16:20:00,2016-07-20 16:40:00)",2016-07-20 16:20:00,2016-07-20,16:20:00,2,50,1001,208.0,2.1,30.6,63.0,0.0,67.11,70.33,64.33,62.18,53.57,57.33,5,2,0,85.63644257777777,3,1,2
52.87,A-2,A,2,"[2016-07-20 16:40:00,2016-07-20 17:00:00)",2016-07-20 16:40:00,2016-07-20,16:40:00,2,51,1001,208.0,2.1,30.6,63.0,0.0,82.79,67.11,70.33,64.33,62.18,53.57,5,2,0,85.63644257777777,3,1,2
50.16,A-2,A,2,"[2016-07-20 17:00:00,2016-07-20 17:20:00)",2016-07-20 17:00:00,2016-07-20,17:00:00,2,52,1001,208.0,2.1,30.6,63.0,0.0,52.87,82.79,67.11,70.33,64.33,62.18,5,2,0,85.63644257777777,3,1,2
81.35,A-2,A,2,"[2016-07-20 17:20:00,2016-07-20 17:40:00)",2016-07-20 17:20:00,2016-07-20,17:20:00,2,53,1001,208.0,2.1,30.6,63.0,0.0,50.16,52.87,82.79,67.11,70.33,64.33,5,2,0,85.63644257777777,3,1,2
75.48,A-2,A,2,"[2016-07-20 17:40:00,2016-07-20 18:00:00)",2016-07-20 17:40:00,2016-07-20,17:40:00,2,54,1001,208.0,2.1,30.6,63.0,0.0,81.35,50.16,52.87,82.79,67.11,70.33,5,2,0,85.63644257777777,3,1,2
67.89,A-2,A,2,"[2016-07-20 18:00:00,2016-07-20 18:20:00)",2016-07-20 18:00:00,2016-07-20,18:00:00,2,55,1001,210.0,2.5,29.0,69.0,0.0,75.48,81.35,50.16,52.87,82.79,67.11,5,2,0,82.190736,3,1,2
85.1,A-2,A,2,"[2016-07-20 18:20:00,2016-07-20 18:40:00)",2016-07-20 18:20:00,2016-07-20,18:20:00,2,56,1001,210.0,2.5,29.0,69.0,0.0,67.89,75.48,81.35,50.16,52.87,82.79,5,2,0,82.190736,3,1,2
78.33,A-2,A,2,"[2016-07-20 18:40:00,2016-07-20 19:00:00)",2016-07-20 18:40:00,2016-07-20,18:40:00,2,57,1001,210.0,2.5,29.0,69.0,0.0,85.1,67.89,75.48,81.35,50.16,52.87,5,2,0,82.190736,3,1,2
93.49,A-2,A,2,"[2016-07-20 19:00:00,2016-07-20 19:20:00)",2016-07-20 19:00:00,2016-07-20,19:00:00,2,58,1001,210.0,2.5,29.0,69.0,0.0,78.33,85.1,67.89,75.48,81.35,50.16,5,2,0,82.190736,3,1,2
