"tollgate_id","time_window","direction"
"3","[2016-09-19 05:40:00,2016-09-19 06:00:00)","1"
"1","[2016-09-19 06:00:00,2016-09-19 06:20:00)","0"
"1","[2016-09-19 06:00:00,2016-09-19 06:20:00)","1"
"2","[2016-09-19 06:00:00,2016-09-19 06:20:00)","0"
"3","[2016-09-19 06:00:00,2016-09-19 06:20:00)","0"
"3","[2016-09-19 06:00:00,2016-09-19 06:20:00)","1"
"1","[2016-09-19 06:20:00,2016-09-19 06:40:00)","0"
"1","[2016-09-19 06:20:00,2016-09-19 06:40:00)","1"
"2","[2016-09-19 06:20:00,2016-09-19 06:40:00)","0"
"3","[2016-09-19 06:20:00,2016-09-19 06:40:00)","0"
"3","[2016-09-19 06:20:00,2016-09-19 06:40:00)","1"
"1","[2016-09-19 06:40:00,2016-09-19 07:00:00)","0"
"1","[2016-09-19 06:40:00,2016-09-19 07:00:00)","1"
"2","[2016-09-19 06:40:00,2016-09-19 07:00:00)","0"
"3","[2016-09-19 06:40:00,2016-09-19 07:00:00)","0"
"3","[2016-09-19 06:40:00,2016-09-19 07:00:00)","1"
"1","[2016-09-19 07:00:00,2016-09-19 07:20:00)","0"
"1","[2016-09-19 07:00:00,2016-09-19 07:20:00)","1"
"2","[2016-09-19 07:00:00,2016-09-19 07:20:00)","0"
"3","[2016-09-19 07:00:00,2016-09-19 07:20:00)","0"
"3","[2016-09-19 07:00:00,2016-09-19 07:20:00)","1"
"1","[2016-09-19 07:20:00,2016-09-19 07:40:00)","0"
"1","[2016-09-19 07:20:00,2016-09-19 07:40:00)","1"
"2","[2016-09-19 07:20:00,2016-09-19 07:40:00)","0"
"3","[2016-09-19 07:20:00,2016-09-19 07:40:00)","0"
"3","[2016-09-19 07:20:00,2016-09-19 07:40:00)","1"
"1","[2016-09-19 07:40:00,2016-09-19 08:00:00)","0"
"1","[2016-09-19 07:40:00,2016-09-19 08:00:00)","1"
"2","[2016-09-19 07:40:00,2016-09-19 08:00:00)","0"
"3","[2016-09-19 07:40:00,2016-09-19 08:00:00)","0"
"3","[2016-09-19 07:40:00,2016-09-19 08:00:00)","1"
"1","[2016-09-19 08:00:00,2016-09-19 08:20:00)","0"
"1","[2016-09-19 08:00:00,2016-09-19 08:20:00)","1"
"2","[2016-09-19 08:00:00,2016-09-19 08:20:00)","0"
"3","[2016-09-19 08:00:00,2016-09-19 08:20:00)","0"
"3","[2016-09-19 08:00:00,2016-09-19 08:20:00)","1"
"1","[2016-09-19 08:20:00,2016-09-19 08:40:00)","0"
"1","[2016-09-19 08:20:00,2016-09-19 08:40:00)","1"
"2","[2016-09-19 08:20:00,2016-09-19 08:40:00)","0"
"3","[2016-09-19 08:20:00,2016-09-19 08:40:00)","0"
"3","[2016-09-19 08:20:00,2016-09-19 08:40:00)","1"
"1","[2016-09-19 08:40:00,2016-09-19 09:00:00)","0"
"1","[2016-09-19 08:40:00,2016-09-19 09:00:00)","1"
"2","[2016-09-19 08:40:00,2016-09-19 09:00:00)","0"
"3","[2016-09-19 08:40:00,2016-09-19 09:00:00)","0"
"3","[2016-09-19 08:40:00,2016-09-19 09:00:00)","1"
"1","[2016-09-19 09:00:00,2016-09-19 09:20:00)","0"
"1","[2016-09-19 09:00:00,2016-09-19 09:20:00)","1"
"2","[2016-09-19 09:00:00,2016-09-19 09:20:00)","0"
"3","[2016-09-19 09:00:00,2016-09-19 09:20:00)","0"
"3","[2016-09-19 09:00:00,2016-09-19 09:20:00)","1"
"1","[2016-09-19 09:20:00,2016-09-19 09:40:00)","0"
"1","[2016-09-19 09:20:00,2016-09-19 09:40:00)","1"
"2","[2016-09-19 09:20:00,2016-09-19 09:40:00)","0"
"3","[2016-09-19 09:20:00,2016-09-19 09:40:00)","0"
"3","[2016-09-19 09:20:00,2016-09-19 09:40:00)","1"
"1","[2016-09-19 09:40:00,2016-09-19 10:00:00)","0"
"1","[2016-09-19 09:40:00,2016-09-19 10:00:00)","1"
"2","[2016-09-19 09:40:00,2016-09-19 10:00:00)","0"
"3","[2016-09-19 09:40:00,2016-09-19 10:00:00)","0"
"3","[2016-09-19 09:40:00,2016-09-19 10:00:00)","1"
"1","[2016-09-19 10:00:00,2016-09-19 10:20:00)","0"
"1","[2016-09-19 10:00:00,2016-09-19 10:20:00)","1"
"2","[2016-09-19 10:00:00,2016-09-19 10:20:00)","0"
"3","[2016-09-19 10:00:00,2016-09-19 10:20:00)","0"
"3","[2016-09-19 10:00:00,2016-09-19 10:20:00)","1"
"1","[2016-09-19 10:20:00,2016-09-19 10:40:00)","0"
"1","[2016-09-19 10:20:00,2016-09-19 10:40:00)","1"
"2","[2016-09-19 10:20:00,2016-09-19 10:40:00)","0"
"3","[2016-09-19 10:20:00,2016-09-19 10:40:00)","0"
"3","[2016-09-19 10:20:00,2016-09-19 10:40:00)","1"
"1","[2016-09-19 10:40:00,2016-09-19 11:00:00)","0"
"1","[2016-09-19 10:40:00,2016-09-19 11:00:00)","1"
"2","[2016-09-19 10:40:00,2016-09-19 11:00:00)","0"
"3","[2016-09-19 10:40:00,2016-09-19 11:00:00)","0"
"3","[2016-09-19 10:40:00,2016-09-19 11:00:00)","1"
"1","[2016-09-19 11:00:00,2016-09-19 11:20:00)","0"
"1","[2016-09-19 11:00:00,2016-09-19 11:20:00)","1"
"2","[2016-09-19 11:00:00,2016-09-19 11:20:00)","0"
"3","[2016-09-19 11:00:00,2016-09-19 11:20:00)","0"
"3","[2016-09-19 11:00:00,2016-09-19 11:20:00)","1"
"1","[2016-09-19 11:20:00,2016-09-19 11:40:00)","0"
"1","[2016-09-19 11:20:00,2016-09-19 11:40:00)","1"
"2","[2016-09-19 11:20:00,2016-09-19 11:40:00)","0"
"3","[2016-09-19 11:20:00,2016-09-19 11:40:00)","0"
"3","[2016-09-19 11:20:00,2016-09-19 11:40:00)","1"
"1","[2016-09-19 11:40:00,2016-09-19 12:00:00)","0"
"1","[2016-09-19 11:40:00,2016-09-19 12:00:00)","1"
"2","[2016-09-19 11:40:00,2016-09-19 12:00:00)","0"
"3","[2016-09-19 11:40:00,2016-09-19 12:00:00)","0"
"3","[2016-09-19 11:40:00,2016-09-19 12:00:00)","1"
"1","[2016-09-19 12:00:00,2016-09-19 12:20:00)","0"
"1","[2016-09-19 12:00:00,2016-09-19 12:20:00)","1"
"2","[2016-09-19 12:00:00,2016-09-19 12:20:00)","0"
"3","[2016-09-19 12:00:00,2016-09-19 12:20:00)","0"
"3","[2016-09-19 12:00:00,2016-09-19 12:20:00)","1"
"1","[2016-09-19 12:20:00,2016-09-19 12:40:00)","0"
"1","[2016-09-19 12:20:00,2016-09-19 12:40:00)","1"
"2","[2016-09-19 12:20:00,2016-09-19 12:40:00)","0"
"3","[2016-09-19 12:20:00,2016-09-19 12:40:00)","0"
"3","[2016-09-19 12:20:00,2016-09-19 12:40:00)","1"
"1","[2016-09-19 12:40:00,2016-09-19 13:00:00)","0"
"1","[2016-09-19 12:40:00,2016-09-19 13:00:00)","1"
"2","[2016-09-19 12:40:00,2016-09-19 13:00:00)","0"
"3","[2016-09-19 12:40:00,2016-09-19 13:00:00)","0"
"3","[2016-09-19 12:40:00,2016-09-19 13:00:00)","1"
"1","[2016-09-19 13:00:00,2016-09-19 13:20:00)","0"
"1","[2016-09-19 13:00:00,2016-09-19 13:20:00)","1"
"2","[2016-09-19 13:00:00,2016-09-19 13:20:00)","0"
"3","[2016-09-19 13:00:00,2016-09-19 13:20:00)","0"
"3","[2016-09-19 13:00:00,2016-09-19 13:20:00)","1"
"1","[2016-09-19 13:20:00,2016-09-19 13:40:00)","0"
"1","[2016-09-19 13:20:00,2016-09-19 13:40:00)","1"
"2","[2016-09-19 13:20:00,2016-09-19 13:40:00)","0"
"3","[2016-09-19 13:20:00,2016-09-19 13:40:00)","0"
"3","[2016-09-19 13:20:00,2016-09-19 13:40:00)","1"
"1","[2016-09-19 13:40:00,2016-09-19 14:00:00)","0"
"1","[2016-09-19 13:40:00,2016-09-19 14:00:00)","1"
"2","[2016-09-19 13:40:00,2016-09-19 14:00:00)","0"
"3","[2016-09-19 13:40:00,2016-09-19 14:00:00)","0"
"3","[2016-09-19 13:40:00,2016-09-19 14:00:00)","1"
"1","[2016-09-19 14:00:00,2016-09-19 14:20:00)","0"
"1","[2016-09-19 14:00:00,2016-09-19 14:20:00)","1"
"2","[2016-09-19 14:00:00,2016-09-19 14:20:00)","0"
"3","[2016-09-19 14:00:00,2016-09-19 14:20:00)","0"
"3","[2016-09-19 14:00:00,2016-09-19 14:20:00)","1"
"1","[2016-09-19 14:20:00,2016-09-19 14:40:00)","0"
"1","[2016-09-19 14:20:00,2016-09-19 14:40:00)","1"
"2","[2016-09-19 14:20:00,2016-09-19 14:40:00)","0"
"3","[2016-09-19 14:20:00,2016-09-19 14:40:00)","0"
"3","[2016-09-19 14:20:00,2016-09-19 14:40:00)","1"
"1","[2016-09-19 14:40:00,2016-09-19 15:00:00)","0"
"1","[2016-09-19 14:40:00,2016-09-19 15:00:00)","1"
"2","[2016-09-19 14:40:00,2016-09-19 15:00:00)","0"
"3","[2016-09-19 14:40:00,2016-09-19 15:00:00)","0"
"3","[2016-09-19 14:40:00,2016-09-19 15:00:00)","1"
"1","[2016-09-19 15:00:00,2016-09-19 15:20:00)","0"
"1","[2016-09-19 15:00:00,2016-09-19 15:20:00)","1"
"2","[2016-09-19 15:00:00,2016-09-19 15:20:00)","0"
"3","[2016-09-19 15:00:00,2016-09-19 15:20:00)","0"
"3","[2016-09-19 15:00:00,2016-09-19 15:20:00)","1"
"1","[2016-09-19 15:20:00,2016-09-19 15:40:00)","0"
"1","[2016-09-19 15:20:00,2016-09-19 15:40:00)","1"
"2","[2016-09-19 15:20:00,2016-09-19 15:40:00)","0"
"3","[2016-09-19 15:20:00,2016-09-19 15:40:00)","0"
"3","[2016-09-19 15:20:00,2016-09-19 15:40:00)","1"
"1","[2016-09-19 15:40:00,2016-09-19 16:00:00)","0"
"1","[2016-09-19 15:40:00,2016-09-19 16:00:00)","1"
"2","[2016-09-19 15:40:00,2016-09-19 16:00:00)","0"
"3","[2016-09-19 15:40:00,2016-09-19 16:00:00)","0"
"3","[2016-09-19 15:40:00,2016-09-19 16:00:00)","1"
"1","[2016-09-19 16:00:00,2016-09-19 16:20:00)","0"
"1","[2016-09-19 16:00:00,2016-09-19 16:20:00)","1"
"2","[2016-09-19 16:00:00,2016-09-19 16:20:00)","0"
"3","[2016-09-19 16:00:00,2016-09-19 16:20:00)","0"
"3","[2016-09-19 16:00:00,2016-09-19 16:20:00)","1"
"1","[2016-09-19 16:20:00,2016-09-19 16:40:00)","0"
"1","[2016-09-19 16:20:00,2016-09-19 16:40:00)","1"
"2","[2016-09-19 16:20:00,2016-09-19 16:40:00)","0"
"3","[2016-09-19 16:20:00,2016-09-19 16:40:00)","0"
"3","[2016-09-19 16:20:00,2016-09-19 16:40:00)","1"
"1","[2016-09-19 16:40:00,2016-09-19 17:00:00)","0"
"1","[2016-09-19 16:40:00,2016-09-19 17:00:00)","1"
"2","[2016-09-19 16:40:00,2016-09-19 17:00:00)","0"
"3","[2016-09-19 16:40:00,2016-09-19 17:00:00)","0"
"3","[2016-09-19 16:40:00,2016-09-19 17:00:00)","1"
"1","[2016-09-19 17:00:00,2016-09-19 17:20:00)","0"
"1","[2016-09-19 17:00:00,2016-09-19 17:20:00)","1"
"2","[2016-09-19 17:00:00,2016-09-19 17:20:00)","0"
"3","[2016-09-19 17:00:00,2016-09-19 17:20:00)","0"
"3","[2016-09-19 17:00:00,2016-09-19 17:20:00)","1"
"1","[2016-09-19 17:20:00,2016-09-19 17:40:00)","0"
"1","[2016-09-19 17:20:00,2016-09-19 17:40:00)","1"
"2","[2016-09-19 17:20:00,2016-09-19 17:40:00)","0"
"3","[2016-09-19 17:20:00,2016-09-19 17:40:00)","0"
"3","[2016-09-19 17:20:00,2016-09-19 17:40:00)","1"
"1","[2016-09-19 17:40:00,2016-09-19 18:00:00)","0"
"1","[2016-09-19 17:40:00,2016-09-19 18:00:00)","1"
"2","[2016-09-19 17:40:00,2016-09-19 18:00:00)","0"
"3","[2016-09-19 17:40:00,2016-09-19 18:00:00)","0"
"3","[2016-09-19 17:40:00,2016-09-19 18:00:00)","1"
"1","[2016-09-19 18:00:00,2016-09-19 18:20:00)","0"
"1","[2016-09-19 18:00:00,2016-09-19 18:20:00)","1"
"2","[2016-09-19 18:00:00,2016-09-19 18:20:00)","0"
"3","[2016-09-19 18:00:00,2016-09-19 18:20:00)","0"
"3","[2016-09-19 18:00:00,2016-09-19 18:20:00)","1"
"1","[2016-09-19 18:20:00,2016-09-19 18:40:00)","0"
"1","[2016-09-19 18:20:00,2016-09-19 18:40:00)","1"
"2","[2016-09-19 18:20:00,2016-09-19 18:40:00)","0"
"3","[2016-09-19 18:20:00,2016-09-19 18:40:00)","0"
"3","[2016-09-19 18:20:00,2016-09-19 18:40:00)","1"
"1","[2016-09-19 18:40:00,2016-09-19 19:00:00)","0"
"1","[2016-09-19 18:40:00,2016-09-19 19:00:00)","1"
"2","[2016-09-19 18:40:00,2016-09-19 19:00:00)","0"
"3","[2016-09-19 18:40:00,2016-09-19 19:00:00)","0"
"3","[2016-09-19 18:40:00,2016-09-19 19:00:00)","1"
"1","[2016-09-19 19:00:00,2016-09-19 19:20:00)","0"
"1","[2016-09-19 19:00:00,2016-09-19 19:20:00)","1"
"2","[2016-09-19 19:00:00,2016-09-19 19:20:00)","0"
"3","[2016-09-19 19:00:00,2016-09-19 19:20:00)","0"
"3","[2016-09-19 19:00:00,2016-09-19 19:20:00)","1"
"1","[2016-09-19 19:20:00,2016-09-19 19:40:00)","0"
"1","[2016-09-19 19:20:00,2016-09-19 19:40:00)","1"
"2","[2016-09-19 19:20:00,2016-09-19 19:40:00)","0"
"3","[2016-09-19 19:20:00,2016-09-19 19:40:00)","0"
"3","[2016-09-19 19:20:00,2016-09-19 19:40:00)","1"
"1","[2016-09-19 19:40:00,2016-09-19 20:00:00)","0"
"1","[2016-09-19 19:40:00,2016-09-19 20:00:00)","1"
"2","[2016-09-19 19:40:00,2016-09-19 20:00:00)","0"
"3","[2016-09-19 19:40:00,2016-09-19 20:00:00)","0"
"3","[2016-09-19 19:40:00,2016-09-19 20:00:00)","1"
"1","[2016-09-19 20:00:00,2016-09-19 20:20:00)","0"
"1","[2016-09-19 20:00:00,2016-09-19 20:20:00)","1"
"2","[2016-09-19 20:00:00,2016-09-19 20:20:00)","0"
"3","[2016-09-19 20:00:00,2016-09-19 20:20:00)","0"
"3","[2016-09-19 20:00:00,2016-09-19 20:20:00)","1"
"1","[2016-09-19 20:20:00,2016-09-19 20:40:00)","0"
"1","[2016-09-19 20:20:00,2016-09-19 20:40:00)","1"
"2","[2016-09-19 20:20:00,2016-09-19 20:40:00)","0"
"3","[2016-09-19 20:20:00,2016-09-19 20:40:00)","0"
"3","[2016-09-19 20:20:00,2016-09-19 20:40:00)","1"
"1","[2016-09-19 20:40:00,2016-09-19 21:00:00)","0"
"1","[2016-09-19 20:40:00,2016-09-19 21:00:00)","1"
"2","[2016-09-19 20:40:00,2016-09-19 21:00:00)","0"
"3","[2016-09-19 20:40:00,2016-09-19 21:00:00)","0"
"3","[2016-09-19 20:40:00,2016-09-19 21:00:00)","1"
"1","[2016-09-19 21:00:00,2016-09-19 21:20:00)","0"
"1","[2016-09-19 21:00:00,2016-09-19 21:20:00)","1"
"2","[2016-09-19 21:00:00,2016-09-19 21:20:00)","0"
"3","[2016-09-19 21:00:00,2016-09-19 21:20:00)","0"
"3","[2016-09-19 21:00:00,2016-09-19 21:20:00)","1"
"1","[2016-09-19 21:20:00,2016-09-19 21:40:00)","0"
"1","[2016-09-19 21:20:00,2016-09-19 21:40:00)","1"
"2","[2016-09-19 21:20:00,2016-09-19 21:40:00)","0"
"3","[2016-09-19 21:20:00,2016-09-19 21:40:00)","0"
"3","[2016-09-19 21:20:00,2016-09-19 21:40:00)","1"
"1","[2016-09-19 21:40:00,2016-09-19 22:00:00)","0"
"1","[2016-09-19 21:40:00,2016-09-19 22:00:00)","1"
"2","[2016-09-19 21:40:00,2016-09-19 22:00:00)","0"
"3","[2016-09-19 21:40:00,2016-09-19 22:00:00)","0"
"3","[2016-09-19 21:40:00,2016-09-19 22:00:00)","1"
"1","[2016-09-19 22:00:00,2016-09-19 22:20:00)","0"
"1","[2016-09-19 22:00:00,2016-09-19 22:20:00)","1"
"2","[2016-09-19 22:00:00,2016-09-19 22:20:00)","0"
"3","[2016-09-19 22:00:00,2016-09-19 22:20:00)","0"
"3","[2016-09-19 22:00:00,2016-09-19 22:20:00)","1"
"1","[2016-09-19 22:20:00,2016-09-19 22:40:00)","0"
"1","[2016-09-19 22:20:00,2016-09-19 22:40:00)","1"
"2","[2016-09-19 22:20:00,2016-09-19 22:40:00)","0"
"3","[2016-09-19 22:20:00,2016-09-19 22:40:00)","0"
"3","[2016-09-19 22:20:00,2016-09-19 22:40:00)","1"
"1","[2016-09-19 22:40:00,2016-09-19 23:00:00)","0"
"1","[2016-09-19 22:40:00,2016-09-19 23:00:00)","1"
"2","[2016-09-19 22:40:00,2016-09-19 23:00:00)","0"
"3","[2016-09-19 22:40:00,2016-09-19 23:00:00)","0"
"3","[2016-09-19 22:40:00,2016-09-19 23:00:00)","1"
"1","[2016-09-19 23:00:00,2016-09-19 23:20:00)","0"
"1","[2016-09-19 23:00:00,2016-09-19 23:20:00)","1"
"2","[2016-09-19 23:00:00,2016-09-19 23:20:00)","0"
"3","[2016-09-19 23:00:00,2016-09-19 23:20:00)","0"
"3","[2016-09-19 23:00:00,2016-09-19 23:20:00)","1"
"1","[2016-09-19 23:20:00,2016-09-19 23:40:00)","0"
"1","[2016-09-19 23:20:00,2016-09-19 23:40:00)","1"
"2","[2016-09-19 23:20:00,2016-09-19 23:40:00)","0"
"3","[2016-09-19 23:20:00,2016-09-19 23:40:00)","0"
"3","[2016-09-19 23:20:00,2016-09-19 23:40:00)","1"
"1","[2016-09-19 23:40:00,2016-09-20 00:00:00)","0"
"1","[2016-09-19 23:40:00,2016-09-20 00:00:00)","1"
"2","[2016-09-19 23:40:00,2016-09-20 00:00:00)","0"
"3","[2016-09-19 23:40:00,2016-09-20 00:00:00)","0"
"3","[2016-09-19 23:40:00,2016-09-20 00:00:00)","1"
"1","[2016-09-20 00:00:00,2016-09-20 00:20:00)","0"
"1","[2016-09-20 00:00:00,2016-09-20 00:20:00)","1"
"2","[2016-09-20 00:00:00,2016-09-20 00:20:00)","0"
"3","[2016-09-20 00:00:00,2016-09-20 00:20:00)","0"
"3","[2016-09-20 00:00:00,2016-09-20 00:20:00)","1"
"1","[2016-09-20 00:20:00,2016-09-20 00:40:00)","0"
"1","[2016-09-20 00:20:00,2016-09-20 00:40:00)","1"
"2","[2016-09-20 00:20:00,2016-09-20 00:40:00)","0"
"3","[2016-09-20 00:20:00,2016-09-20 00:40:00)","0"
"3","[2016-09-20 00:20:00,2016-09-20 00:40:00)","1"
"1","[2016-09-20 00:40:00,2016-09-20 01:00:00)","0"
"1","[2016-09-20 00:40:00,2016-09-20 01:00:00)","1"
"2","[2016-09-20 00:40:00,2016-09-20 01:00:00)","0"
"3","[2016-09-20 00:40:00,2016-09-20 01:00:00)","0"
"3","[2016-09-20 00:40:00,2016-09-20 01:00:00)","1"
"1","[2016-09-20 01:00:00,2016-09-20 01:20:00)","0"
"1","[2016-09-20 01:00:00,2016-09-20 01:20:00)","1"
"2","[2016-09-20 01:00:00,2016-09-20 01:20:00)","0"
"3","[2016-09-20 01:00:00,2016-09-20 01:20:00)","0"
"3","[2016-09-20 01:00:00,2016-09-20 01:20:00)","1"
"1","[2016-09-20 01:20:00,2016-09-20 01:40:00)","0"
"1","[2016-09-20 01:20:00,2016-09-20 01:40:00)","1"
"2","[2016-09-20 01:20:00,2016-09-20 01:40:00)","0"
"3","[2016-09-20 01:20:00,2016-09-20 01:40:00)","0"
"3","[2016-09-20 01:20:00,2016-09-20 01:40:00)","1"
"1","[2016-09-20 01:40:00,2016-09-20 02:00:00)","0"
"1","[2016-09-20 01:40:00,2016-09-20 02:00:00)","1"
"2","[2016-09-20 01:40:00,2016-09-20 02:00:00)","0"
"3","[2016-09-20 01:40:00,2016-09-20 02:00:00)","0"
"3","[2016-09-20 01:40:00,2016-09-20 02:00:00)","1"
"1","[2016-09-20 02:00:00,2016-09-20 02:20:00)","0"
"1","[2016-09-20 02:00:00,2016-09-20 02:20:00)","1"
"2","[2016-09-20 02:00:00,2016-09-20 02:20:00)","0"
"3","[2016-09-20 02:00:00,2016-09-20 02:20:00)","0"
"3","[2016-09-20 02:00:00,2016-09-20 02:20:00)","1"
"1","[2016-09-20 02:20:00,2016-09-20 02:40:00)","0"
"1","[2016-09-20 02:20:00,2016-09-20 02:40:00)","1"
"2","[2016-09-20 02:20:00,2016-09-20 02:40:00)","0"
"3","[2016-09-20 02:20:00,2016-09-20 02:40:00)","0"
"3","[2016-09-20 02:20:00,2016-09-20 02:40:00)","1"
"1","[2016-09-20 02:40:00,2016-09-20 03:00:00)","0"
"1","[2016-09-20 02:40:00,2016-09-20 03:00:00)","1"
"2","[2016-09-20 02:40:00,2016-09-20 03:00:00)","0"
"3","[2016-09-20 02:40:00,2016-09-20 03:00:00)","0"
"3","[2016-09-20 02:40:00,2016-09-20 03:00:00)","1"
"1","[2016-09-20 03:00:00,2016-09-20 03:20:00)","0"
"1","[2016-09-20 03:00:00,2016-09-20 03:20:00)","1"
"2","[2016-09-20 03:00:00,2016-09-20 03:20:00)","0"
"3","[2016-09-20 03:00:00,2016-09-20 03:20:00)","0"
"3","[2016-09-20 03:00:00,2016-09-20 03:20:00)","1"
