"intersection_id","tollgate_id","time_window","avg_travel_time"
"B","3","[2016-10-21 07:00:00,2016-10-21 07:20:00)","110.43"
"B","3","[2016-10-21 07:20:00,2016-10-21 07:40:00)","104.05"
"B","3","[2016-10-21 07:40:00,2016-10-21 08:00:00)","105.44"
"B","3","[2016-10-21 15:00:00,2016-10-21 15:20:00)","106.94"
"B","3","[2016-10-21 15:20:00,2016-10-21 15:40:00)","123.97"
"B","3","[2016-10-21 15:40:00,2016-10-21 16:00:00)","117.08"
"B","3","[2016-10-21 16:00:00,2016-10-21 16:20:00)","117.69"
"B","3","[2016-10-21 16:20:00,2016-10-21 16:40:00)","123.77"
"B","3","[2016-10-21 16:40:00,2016-10-21 17:00:00)","117.77"
"B","3","[2016-10-22 06:00:00,2016-10-22 06:20:00)","87.02"
"B","3","[2016-10-22 06:20:00,2016-10-22 06:40:00)","95.88"
"B","3","[2016-10-22 06:40:00,2016-10-22 07:00:00)","130.36"
"B","3","[2016-10-22 07:00:00,2016-10-22 07:20:00)","98.88"
"B","3","[2016-10-22 07:20:00,2016-10-22 07:40:00)","96.53"
"B","3","[2016-10-22 07:40:00,2016-10-22 08:00:00)","100.03"
"B","3","[2016-10-22 15:00:00,2016-10-22 15:20:00)","137.22"
"B","3","[2016-10-22 15:20:00,2016-10-22 15:40:00)","146.71"
"B","3","[2016-10-22 15:40:00,2016-10-22 16:00:00)","134.93"
"B","3","[2016-10-22 16:00:00,2016-10-22 16:20:00)","119.27"
"B","3","[2016-10-22 16:20:00,2016-10-22 16:40:00)","121.98"
"B","3","[2016-10-22 16:40:00,2016-10-22 17:00:00)","129.29"
"B","3","[2016-10-23 06:00:00,2016-10-23 06:20:00)","99.77"
"B","3","[2016-10-23 06:20:00,2016-10-23 06:40:00)","87.01"
"B","3","[2016-10-23 06:40:00,2016-10-23 07:00:00)","99.86"
"B","3","[2016-10-23 07:00:00,2016-10-23 07:20:00)","108.21"
"B","3","[2016-10-23 07:20:00,2016-10-23 07:40:00)","90.07"
"B","3","[2016-10-23 07:40:00,2016-10-23 08:00:00)","104.16"
"B","3","[2016-10-23 15:00:00,2016-10-23 15:20:00)","117.38"
"B","3","[2016-10-23 15:20:00,2016-10-23 15:40:00)","110.48"
"B","3","[2016-10-23 15:40:00,2016-10-23 16:00:00)","113.46"
"B","3","[2016-10-23 16:00:00,2016-10-23 16:20:00)","131.02"
"B","3","[2016-10-23 16:20:00,2016-10-23 16:40:00)","114.53"
"B","3","[2016-10-23 16:40:00,2016-10-23 17:00:00)","121.63"
"B","3","[2016-10-24 06:00:00,2016-10-24 06:20:00)","85.6"
"B","3","[2016-10-24 06:20:00,2016-10-24 06:40:00)","107.36"
"B","3","[2016-10-24 06:40:00,2016-10-24 07:00:00)","99.79"
"B","3","[2016-10-24 07:00:00,2016-10-24 07:20:00)","127.24"
"B","3","[2016-10-24 07:20:00,2016-10-24 07:40:00)","107.59"
"B","3","[2016-10-24 07:40:00,2016-10-24 08:00:00)","146.43"
"B","3","[2016-10-24 15:00:00,2016-10-24 15:20:00)","106.79"
"B","3","[2016-10-24 15:20:00,2016-10-24 15:40:00)","114.15"
"B","3","[2016-10-24 15:40:00,2016-10-24 16:00:00)","122.34"
"B","3","[2016-10-24 16:00:00,2016-10-24 16:20:00)","116.91"
"B","3","[2016-10-24 16:20:00,2016-10-24 16:40:00)","106.52"
"B","3","[2016-10-24 16:40:00,2016-10-24 17:00:00)","102.59"
"B","1","[2016-10-18 06:00:00,2016-10-18 06:20:00)","123.66"
"B","1","[2016-10-18 06:20:00,2016-10-18 06:40:00)","101.28"
"B","1","[2016-10-18 06:40:00,2016-10-18 07:00:00)","118.69"
"B","1","[2016-10-18 07:00:00,2016-10-18 07:20:00)","127.28"
"B","1","[2016-10-18 07:20:00,2016-10-18 07:40:00)","114.1"
"B","1","[2016-10-18 07:40:00,2016-10-18 08:00:00)","122.87"
"B","1","[2016-10-18 15:00:00,2016-10-18 15:20:00)","116.1"
"B","1","[2016-10-18 15:20:00,2016-10-18 15:40:00)","131.5"
"B","1","[2016-10-18 15:40:00,2016-10-18 16:00:00)","124.6"
"B","1","[2016-10-18 16:00:00,2016-10-18 16:20:00)","133.16"
"B","1","[2016-10-18 16:20:00,2016-10-18 16:40:00)","125.49"
"B","1","[2016-10-18 16:40:00,2016-10-18 17:00:00)","124.86"
"B","1","[2016-10-19 06:00:00,2016-10-19 06:20:00)","149.44"
"B","1","[2016-10-19 06:20:00,2016-10-19 06:40:00)","301.18"
"B","1","[2016-10-19 06:40:00,2016-10-19 07:00:00)","154.85"
"B","1","[2016-10-19 07:00:00,2016-10-19 07:20:00)","121.42"
"B","1","[2016-10-19 07:20:00,2016-10-19 07:40:00)","103.86"
"B","1","[2016-10-19 07:40:00,2016-10-19 08:00:00)","107.21"
"B","1","[2016-10-19 15:00:00,2016-10-19 15:20:00)","119.94"
"B","1","[2016-10-19 15:20:00,2016-10-19 15:40:00)","132.58"
"B","1","[2016-10-19 15:40:00,2016-10-19 16:00:00)","122.71"
"B","1","[2016-10-19 16:00:00,2016-10-19 16:20:00)","134.13"
"B","1","[2016-10-19 16:20:00,2016-10-19 16:40:00)","122.71"
"B","1","[2016-10-19 16:40:00,2016-10-19 17:00:00)","118.65"
"B","1","[2016-10-20 06:00:00,2016-10-20 06:20:00)","127.35"
"B","1","[2016-10-20 06:20:00,2016-10-20 06:40:00)","120.98"
"B","1","[2016-10-20 06:40:00,2016-10-20 07:00:00)","133.92"
"B","1","[2016-10-20 07:00:00,2016-10-20 07:20:00)","114.35"
"B","1","[2016-10-20 07:20:00,2016-10-20 07:40:00)","122.14"
"B","1","[2016-10-20 07:40:00,2016-10-20 08:00:00)","106.1"
"B","1","[2016-10-20 15:00:00,2016-10-20 15:20:00)","123.81"
"B","1","[2016-10-20 15:20:00,2016-10-20 15:40:00)","124.5"
"B","1","[2016-10-20 15:40:00,2016-10-20 16:00:00)","118.57"
"B","1","[2016-10-20 16:00:00,2016-10-20 16:20:00)","141.7"
"B","1","[2016-10-20 16:20:00,2016-10-20 16:40:00)","113.35"
"B","1","[2016-10-20 16:40:00,2016-10-20 17:00:00)","128.21"
"B","1","[2016-10-21 06:00:00,2016-10-21 06:20:00)","102.6"
"B","1","[2016-10-21 06:20:00,2016-10-21 06:40:00)","115.08"
"B","1","[2016-10-21 06:40:00,2016-10-21 07:00:00)","131.57"
"B","1","[2016-10-21 07:00:00,2016-10-21 07:20:00)","113.01"
"B","1","[2016-10-21 07:20:00,2016-10-21 07:40:00)","133.78"
"B","1","[2016-10-21 07:40:00,2016-10-21 08:00:00)","109.07"
"B","1","[2016-10-21 15:00:00,2016-10-21 15:20:00)","139.67"
"B","1","[2016-10-21 15:20:00,2016-10-21 15:40:00)","125.39"
"B","1","[2016-10-21 15:40:00,2016-10-21 16:00:00)","139.11"
"B","1","[2016-10-21 16:00:00,2016-10-21 16:20:00)","126.79"
"B","1","[2016-10-21 16:20:00,2016-10-21 16:40:00)","160.94"
"B","1","[2016-10-21 16:40:00,2016-10-21 17:00:00)","154.82"
"B","1","[2016-10-22 06:00:00,2016-10-22 06:20:00)","99.03"
"B","1","[2016-10-22 06:20:00,2016-10-22 06:40:00)","107.45"
"B","1","[2016-10-22 06:40:00,2016-10-22 07:00:00)","130.31"
"B","1","[2016-10-22 07:00:00,2016-10-22 07:20:00)","132.54"
"B","1","[2016-10-22 07:20:00,2016-10-22 07:40:00)","110.58"
"B","1","[2016-10-22 07:40:00,2016-10-22 08:00:00)","114.77"
"B","1","[2016-10-22 15:00:00,2016-10-22 15:20:00)","143.93"
"B","1","[2016-10-22 15:20:00,2016-10-22 15:40:00)","147.31"
"B","1","[2016-10-22 15:40:00,2016-10-22 16:00:00)","128.49"
"B","1","[2016-10-22 16:00:00,2016-10-22 16:20:00)","134.14"
"B","1","[2016-10-22 16:20:00,2016-10-22 16:40:00)","141.72"
"B","1","[2016-10-22 16:40:00,2016-10-22 17:00:00)","186.74"
"B","1","[2016-10-23 06:00:00,2016-10-23 06:20:00)","107.58"
"B","1","[2016-10-23 06:20:00,2016-10-23 06:40:00)","127.13"
"B","1","[2016-10-23 06:40:00,2016-10-23 07:00:00)","148.83"
"B","1","[2016-10-23 07:00:00,2016-10-23 07:20:00)","113.33"
"B","1","[2016-10-23 07:20:00,2016-10-23 07:40:00)","112.12"
"B","1","[2016-10-23 07:40:00,2016-10-23 08:00:00)","104.41"
"B","1","[2016-10-23 15:00:00,2016-10-23 15:20:00)","139.4"
"B","1","[2016-10-23 15:20:00,2016-10-23 15:40:00)","165.58"
"B","1","[2016-10-23 15:40:00,2016-10-23 16:00:00)","147.05"
"B","1","[2016-10-23 16:00:00,2016-10-23 16:20:00)","155.35"
"B","1","[2016-10-23 16:20:00,2016-10-23 16:40:00)","133.79"
"B","1","[2016-10-23 16:40:00,2016-10-23 17:00:00)","138.78"
"B","1","[2016-10-24 06:00:00,2016-10-24 06:20:00)","108.63"
"B","1","[2016-10-24 06:20:00,2016-10-24 06:40:00)","103.32"
"B","1","[2016-10-24 06:40:00,2016-10-24 07:00:00)","147.09"
"B","1","[2016-10-24 07:00:00,2016-10-24 07:20:00)","104.51"
"B","1","[2016-10-24 07:20:00,2016-10-24 07:40:00)","107.79"
"B","1","[2016-10-24 07:40:00,2016-10-24 08:00:00)","118.2"
"B","1","[2016-10-24 15:00:00,2016-10-24 15:20:00)","102.88"
"B","1","[2016-10-24 15:20:00,2016-10-24 15:40:00)","120.81"
"B","1","[2016-10-24 15:40:00,2016-10-24 16:00:00)","118.64"
"B","1","[2016-10-24 16:00:00,2016-10-24 16:20:00)","119.96"
"B","1","[2016-10-24 16:20:00,2016-10-24 16:40:00)","120.96"
"B","1","[2016-10-24 16:40:00,2016-10-24 17:00:00)","108.49"
"A","2","[2016-10-18 06:00:00,2016-10-18 06:20:00)","54.14"
"A","2","[2016-10-18 06:20:00,2016-10-18 06:40:00)","57.95"
"A","2","[2016-10-18 06:40:00,2016-10-18 07:00:00)","56.56"
"A","2","[2016-10-18 07:00:00,2016-10-18 07:20:00)","66.41"
"A","2","[2016-10-18 07:20:00,2016-10-18 07:40:00)","69.36"
"A","2","[2016-10-18 07:40:00,2016-10-18 08:00:00)","70.85"
"A","2","[2016-10-18 15:00:00,2016-10-18 15:20:00)","67.03"
"A","2","[2016-10-18 15:20:00,2016-10-18 15:40:00)","64.87"
"A","2","[2016-10-18 15:40:00,2016-10-18 16:00:00)","65.1"
"A","2","[2016-10-18 16:00:00,2016-10-18 16:20:00)","69.08"
"A","2","[2016-10-18 16:20:00,2016-10-18 16:40:00)","75.03"
"A","2","[2016-10-18 16:40:00,2016-10-18 17:00:00)","84.44"
"A","2","[2016-10-19 06:00:00,2016-10-19 06:20:00)","49.01"
"A","2","[2016-10-19 06:20:00,2016-10-19 06:40:00)","58.25"
"A","2","[2016-10-19 06:40:00,2016-10-19 07:00:00)","64.43"
"A","2","[2016-10-19 07:00:00,2016-10-19 07:20:00)","62.25"
"A","2","[2016-10-19 07:20:00,2016-10-19 07:40:00)","68.66"
"A","2","[2016-10-19 07:40:00,2016-10-19 08:00:00)","74.69"
"A","2","[2016-10-19 15:00:00,2016-10-19 15:20:00)","67.56"
"A","2","[2016-10-19 15:20:00,2016-10-19 15:40:00)","77.42"
"A","2","[2016-10-19 15:40:00,2016-10-19 16:00:00)","65.79"
"A","2","[2016-10-19 16:00:00,2016-10-19 16:20:00)","72.81"
"A","2","[2016-10-19 16:20:00,2016-10-19 16:40:00)","71.94"
"A","2","[2016-10-19 16:40:00,2016-10-19 17:00:00)","71.75"
"A","2","[2016-10-20 06:00:00,2016-10-20 06:20:00)","53.4"
"A","2","[2016-10-20 06:20:00,2016-10-20 06:40:00)","59.17"
"A","2","[2016-10-20 06:40:00,2016-10-20 07:00:00)","55.68"
"A","2","[2016-10-20 07:00:00,2016-10-20 07:20:00)","61.22"
"A","2","[2016-10-20 07:20:00,2016-10-20 07:40:00)","74.97"
"A","2","[2016-10-20 07:40:00,2016-10-20 08:00:00)","81.26"
"A","2","[2016-10-20 15:00:00,2016-10-20 15:20:00)","69.12"
"A","2","[2016-10-20 15:20:00,2016-10-20 15:40:00)","74.05"
"A","2","[2016-10-20 15:40:00,2016-10-20 16:00:00)","67.57"
"A","2","[2016-10-20 16:00:00,2016-10-20 16:20:00)","64.35"
"A","2","[2016-10-20 16:20:00,2016-10-20 16:40:00)","71.82"
"A","2","[2016-10-20 16:40:00,2016-10-20 17:00:00)","70.33"
"A","2","[2016-10-21 06:00:00,2016-10-21 06:20:00)","53.65"
"A","2","[2016-10-21 06:20:00,2016-10-21 06:40:00)","53.53"
"A","2","[2016-10-21 06:40:00,2016-10-21 07:00:00)","53.91"
"A","2","[2016-10-21 07:00:00,2016-10-21 07:20:00)","65.65"
"A","2","[2016-10-21 07:20:00,2016-10-21 07:40:00)","69.99"
"A","2","[2016-10-21 07:40:00,2016-10-21 08:00:00)","70.32"
"A","2","[2016-10-21 15:00:00,2016-10-21 15:20:00)","71.58"
"A","2","[2016-10-21 15:20:00,2016-10-21 15:40:00)","75.05"
"A","2","[2016-10-21 15:40:00,2016-10-21 16:00:00)","75.22"
"A","2","[2016-10-21 16:00:00,2016-10-21 16:20:00)","69.8"
"A","2","[2016-10-21 16:20:00,2016-10-21 16:40:00)","89.87"
"A","2","[2016-10-21 16:40:00,2016-10-21 17:00:00)","78.32"
"A","2","[2016-10-22 06:00:00,2016-10-22 06:20:00)","96.71"
"A","2","[2016-10-22 06:20:00,2016-10-22 06:40:00)","58.78"
"A","2","[2016-10-22 06:40:00,2016-10-22 07:00:00)","67.51"
"A","2","[2016-10-22 07:00:00,2016-10-22 07:20:00)","71.71"
"A","2","[2016-10-22 07:20:00,2016-10-22 07:40:00)","65.91"
"A","2","[2016-10-22 07:40:00,2016-10-22 08:00:00)","67.98"
"A","2","[2016-10-22 15:00:00,2016-10-22 15:20:00)","90.65"
"A","2","[2016-10-22 15:20:00,2016-10-22 15:40:00)","79.37"
"A","2","[2016-10-22 15:40:00,2016-10-22 16:00:00)","66.68"
"A","2","[2016-10-22 16:00:00,2016-10-22 16:20:00)","70.38"
"A","2","[2016-10-22 16:20:00,2016-10-22 16:40:00)","71.91"
"A","2","[2016-10-22 16:40:00,2016-10-22 17:00:00)","71.72"
"A","2","[2016-10-23 06:00:00,2016-10-23 06:20:00)","47.03"
"A","2","[2016-10-23 06:20:00,2016-10-23 06:40:00)","74.6"
"A","2","[2016-10-23 06:40:00,2016-10-23 07:00:00)","56.15"
"A","2","[2016-10-23 07:00:00,2016-10-23 07:20:00)","60.74"
"A","2","[2016-10-23 07:20:00,2016-10-23 07:40:00)","58.72"
"A","2","[2016-10-23 07:40:00,2016-10-23 08:00:00)","64.63"
"A","2","[2016-10-23 15:00:00,2016-10-23 15:20:00)","78.79"
"A","2","[2016-10-23 15:20:00,2016-10-23 15:40:00)","71.1"
"A","2","[2016-10-23 15:40:00,2016-10-23 16:00:00)","64.76"
"A","2","[2016-10-23 16:00:00,2016-10-23 16:20:00)","71.37"
"A","2","[2016-10-23 16:20:00,2016-10-23 16:40:00)","65.73"
"A","2","[2016-10-23 16:40:00,2016-10-23 17:00:00)","67.72"
"A","2","[2016-10-24 06:00:00,2016-10-24 06:20:00)","46.32"
"A","2","[2016-10-24 06:20:00,2016-10-24 06:40:00)","57.51"
"A","2","[2016-10-24 06:40:00,2016-10-24 07:00:00)","56.21"
"A","2","[2016-10-24 07:00:00,2016-10-24 07:20:00)","69.72"
"A","2","[2016-10-24 07:20:00,2016-10-24 07:40:00)","71.19"
"A","2","[2016-10-24 07:40:00,2016-10-24 08:00:00)","80.55"
"A","2","[2016-10-24 15:00:00,2016-10-24 15:20:00)","65.87"
"A","2","[2016-10-24 15:20:00,2016-10-24 15:40:00)","72.07"
"A","2","[2016-10-24 15:40:00,2016-10-24 16:00:00)","66.1"
"A","2","[2016-10-24 16:00:00,2016-10-24 16:20:00)","69.91"
"A","2","[2016-10-24 16:20:00,2016-10-24 16:40:00)","66.68"
"A","2","[2016-10-24 16:40:00,2016-10-24 17:00:00)","67.86"
"C","3","[2016-10-18 06:20:00,2016-10-18 06:40:00)","182.3"
"C","3","[2016-10-18 06:40:00,2016-10-18 07:00:00)","217.42"
"C","3","[2016-10-18 07:00:00,2016-10-18 07:20:00)","155.22"
"C","3","[2016-10-18 07:20:00,2016-10-18 07:40:00)","209.93"
"C","3","[2016-10-18 07:40:00,2016-10-18 08:00:00)","173.12"
"C","3","[2016-10-18 15:00:00,2016-10-18 15:20:00)","161.52"
"C","3","[2016-10-18 15:20:00,2016-10-18 15:40:00)","168.47"
"C","3","[2016-10-18 15:40:00,2016-10-18 16:00:00)","163.29"
"C","3","[2016-10-18 16:00:00,2016-10-18 16:20:00)","188.27"
"C","3","[2016-10-18 16:20:00,2016-10-18 16:40:00)","209.29"
"C","3","[2016-10-18 16:40:00,2016-10-18 17:00:00)","202.2"
"C","3","[2016-10-19 06:00:00,2016-10-19 06:20:00)","232.0"
"C","3","[2016-10-19 06:20:00,2016-10-19 06:40:00)","169.65"
"C","3","[2016-10-19 06:40:00,2016-10-19 07:00:00)","148.26"
"C","3","[2016-10-19 07:00:00,2016-10-19 07:20:00)","154.52"
"C","3","[2016-10-19 07:20:00,2016-10-19 07:40:00)","212.62"
"C","3","[2016-10-19 07:40:00,2016-10-19 08:00:00)","168.36"
"C","3","[2016-10-19 15:00:00,2016-10-19 15:20:00)","184.28"
"C","3","[2016-10-19 15:20:00,2016-10-19 15:40:00)","201.68"
"C","3","[2016-10-19 15:40:00,2016-10-19 16:00:00)","164.59"
"C","3","[2016-10-19 16:00:00,2016-10-19 16:20:00)","171.47"
"C","3","[2016-10-19 16:20:00,2016-10-19 16:40:00)","171.5"
"C","3","[2016-10-19 16:40:00,2016-10-19 17:00:00)","209.54"
"C","3","[2016-10-20 06:00:00,2016-10-20 06:20:00)","272.85"
"C","3","[2016-10-20 06:20:00,2016-10-20 06:40:00)","181.13"
"C","3","[2016-10-20 06:40:00,2016-10-20 07:00:00)","145.76"
"C","3","[2016-10-20 07:00:00,2016-10-20 07:20:00)","207.14"
"C","3","[2016-10-20 07:20:00,2016-10-20 07:40:00)","131.69"
"C","3","[2016-10-20 07:40:00,2016-10-20 08:00:00)","194.47"
"C","3","[2016-10-20 15:00:00,2016-10-20 15:20:00)","169.77"
"C","3","[2016-10-20 15:20:00,2016-10-20 15:40:00)","179.86"
"C","3","[2016-10-20 15:40:00,2016-10-20 16:00:00)","187.53"
"C","3","[2016-10-20 16:00:00,2016-10-20 16:20:00)","195.69"
"C","3","[2016-10-20 16:20:00,2016-10-20 16:40:00)","184.4"
"C","3","[2016-10-20 16:40:00,2016-10-20 17:00:00)","186.82"
"C","3","[2016-10-21 06:00:00,2016-10-21 06:20:00)","174.21"
"C","3","[2016-10-21 06:20:00,2016-10-21 06:40:00)","193.06"
"C","3","[2016-10-21 06:40:00,2016-10-21 07:00:00)","156.21"
"C","3","[2016-10-21 07:00:00,2016-10-21 07:20:00)","190.4"
"C","3","[2016-10-21 07:20:00,2016-10-21 07:40:00)","175.08"
"C","3","[2016-10-21 07:40:00,2016-10-21 08:00:00)","192.24"
"C","3","[2016-10-21 15:00:00,2016-10-21 15:20:00)","189.26"
"C","3","[2016-10-21 15:20:00,2016-10-21 15:40:00)","203.0"
"C","3","[2016-10-21 15:40:00,2016-10-21 16:00:00)","189.28"
"C","3","[2016-10-21 16:00:00,2016-10-21 16:20:00)","194.73"
"C","3","[2016-10-21 16:20:00,2016-10-21 16:40:00)","189.07"
"C","3","[2016-10-21 16:40:00,2016-10-21 17:00:00)","246.08"
"C","3","[2016-10-22 06:00:00,2016-10-22 06:20:00)","162.93"
"C","3","[2016-10-22 06:20:00,2016-10-22 06:40:00)","233.98"
"C","3","[2016-10-22 06:40:00,2016-10-22 07:00:00)","177.04"
"C","3","[2016-10-22 07:00:00,2016-10-22 07:20:00)","159.53"
"C","3","[2016-10-22 07:20:00,2016-10-22 07:40:00)","208.36"
"C","3","[2016-10-22 07:40:00,2016-10-22 08:00:00)","145.2"
"C","3","[2016-10-22 15:00:00,2016-10-22 15:20:00)","203.96"
"C","3","[2016-10-22 15:20:00,2016-10-22 15:40:00)","200.24"
"C","3","[2016-10-22 15:40:00,2016-10-22 16:00:00)","231.26"
"C","3","[2016-10-22 16:00:00,2016-10-22 16:20:00)","210.97"
"C","3","[2016-10-22 16:20:00,2016-10-22 16:40:00)","197.03"
"C","3","[2016-10-22 16:40:00,2016-10-22 17:00:00)","179.99"
"C","3","[2016-10-23 06:00:00,2016-10-23 06:20:00)","163.2"
"C","3","[2016-10-23 06:20:00,2016-10-23 06:40:00)","139.85"
"C","3","[2016-10-23 06:40:00,2016-10-23 07:00:00)","121.24"
"C","3","[2016-10-23 07:00:00,2016-10-23 07:20:00)","140.36"
"C","3","[2016-10-23 07:20:00,2016-10-23 07:40:00)","157.19"
"C","3","[2016-10-23 07:40:00,2016-10-23 08:00:00)","162.31"
"C","3","[2016-10-23 15:00:00,2016-10-23 15:20:00)","222.05"
"C","3","[2016-10-23 15:20:00,2016-10-23 15:40:00)","191.67"
"C","3","[2016-10-23 15:40:00,2016-10-23 16:00:00)","209.49"
"C","3","[2016-10-23 16:00:00,2016-10-23 16:20:00)","175.11"
"C","3","[2016-10-23 16:20:00,2016-10-23 16:40:00)","207.24"
"C","3","[2016-10-23 16:40:00,2016-10-23 17:00:00)","159.78"
"C","3","[2016-10-24 06:00:00,2016-10-24 06:20:00)","418.96"
"C","3","[2016-10-24 06:20:00,2016-10-24 06:40:00)","250.93"
"C","3","[2016-10-24 06:40:00,2016-10-24 07:00:00)","167.62"
"C","3","[2016-10-24 07:00:00,2016-10-24 07:20:00)","216.94"
"C","3","[2016-10-24 07:20:00,2016-10-24 07:40:00)","141.28"
"C","3","[2016-10-24 07:40:00,2016-10-24 08:00:00)","145.1"
"C","3","[2016-10-24 15:00:00,2016-10-24 15:20:00)","153.09"
"C","3","[2016-10-24 15:20:00,2016-10-24 15:40:00)","188.96"
"C","3","[2016-10-24 15:40:00,2016-10-24 16:00:00)","146.36"
"C","3","[2016-10-24 16:00:00,2016-10-24 16:20:00)","175.59"
"C","3","[2016-10-24 16:20:00,2016-10-24 16:40:00)","186.29"
"C","3","[2016-10-24 16:40:00,2016-10-24 17:00:00)","183.1"
"A","3","[2016-10-18 06:00:00,2016-10-18 06:20:00)","96.03"
"A","3","[2016-10-18 06:20:00,2016-10-18 06:40:00)","108.39"
"A","3","[2016-10-18 06:40:00,2016-10-18 07:00:00)","122.95"
"A","3","[2016-10-18 07:00:00,2016-10-18 07:20:00)","130.69"
"A","3","[2016-10-18 07:20:00,2016-10-18 07:40:00)","156.22"
"A","3","[2016-10-18 07:40:00,2016-10-18 08:00:00)","125.03"
"A","3","[2016-10-18 15:00:00,2016-10-18 15:20:00)","99.5"
"A","3","[2016-10-18 15:20:00,2016-10-18 15:40:00)","114.26"
"A","3","[2016-10-18 15:40:00,2016-10-18 16:00:00)","110.54"
"A","3","[2016-10-18 16:00:00,2016-10-18 16:20:00)","114.19"
"A","3","[2016-10-18 16:20:00,2016-10-18 16:40:00)","109.43"
"A","3","[2016-10-18 16:40:00,2016-10-18 17:00:00)","118.61"
"A","3","[2016-10-19 06:00:00,2016-10-19 06:20:00)","105.34"
"A","3","[2016-10-19 06:20:00,2016-10-19 06:40:00)","125.29"
"A","3","[2016-10-19 06:40:00,2016-10-19 07:00:00)","115.16"
"A","3","[2016-10-19 07:00:00,2016-10-19 07:20:00)","117.26"
"A","3","[2016-10-19 07:20:00,2016-10-19 07:40:00)","134.55"
"A","3","[2016-10-19 07:40:00,2016-10-19 08:00:00)","167.93"
"A","3","[2016-10-19 15:00:00,2016-10-19 15:20:00)","120.1"
"A","3","[2016-10-19 15:20:00,2016-10-19 15:40:00)","110.83"
"A","3","[2016-10-19 15:40:00,2016-10-19 16:00:00)","123.02"
"A","3","[2016-10-19 16:00:00,2016-10-19 16:20:00)","112.99"
"A","3","[2016-10-19 16:20:00,2016-10-19 16:40:00)","117.93"
"A","3","[2016-10-19 16:40:00,2016-10-19 17:00:00)","131.84"
"A","3","[2016-10-20 06:00:00,2016-10-20 06:20:00)","109.65"
"A","3","[2016-10-20 06:20:00,2016-10-20 06:40:00)","108.9"
"A","3","[2016-10-20 06:40:00,2016-10-20 07:00:00)","109.7"
"A","3","[2016-10-20 07:00:00,2016-10-20 07:20:00)","126.41"
"A","3","[2016-10-20 07:20:00,2016-10-20 07:40:00)","129.78"
"A","3","[2016-10-20 07:40:00,2016-10-20 08:00:00)","130.07"
"A","3","[2016-10-20 15:00:00,2016-10-20 15:20:00)","156.13"
"A","3","[2016-10-20 15:20:00,2016-10-20 15:40:00)","119.58"
