"intersection_id","tollgate_id","weekday","time_window(%H:%M:%S)","date","aveTravelTime of six green window(weather:travel_time)"
"A","2","1","[15:00:00 17:00:00)","2016-09-12","96.0000 0.4000 23.4000 81.0000 0.0000:76.32;96.0000 0.4000 23.4000 81.0000 0.0000:70.69;96.0000 0.4000 23.4000 81.0000 0.0000:64.75;96.0000 0.4000 23.4000 81.0000 0.0000:91.73;96.0000 0.4000 23.4000 81.0000 0.0000:75.51;96.0000 0.4000 23.4000 81.0000 0.0000:59.61"
"A","2","1","[15:00:00 17:00:00)","2016-09-19","18.0000 2.6000 21.4000 80.0000 0.0000:67.13;18.0000 2.6000 21.4000 80.0000 0.0000:74.2;18.0000 2.6000 21.4000 80.0000 0.0000:69.52;18.0000 2.6000 21.4000 80.0000 0.0000:73.91;18.0000 2.6000 21.4000 80.0000 0.0000:97.09;18.0000 2.6000 21.4000 80.0000 0.0000:84.96"
"A","2","1","[15:00:00 17:00:00)","2016-09-26","315.0000 0.8000 25.4000 86.0000 0.0000:63.7;315.0000 0.8000 25.4000 86.0000 0.0000:58.88;315.0000 0.8000 25.4000 86.0000 0.0000:54.33;315.0000 0.8000 25.4000 86.0000 0.0000:65.47;315.0000 0.8000 25.4000 86.0000 0.0000:60.94;315.0000 0.8000 25.4000 86.0000 0.0000:67.63"
"A","2","1","[15:00:00 17:00:00)","2016-10-03","62.0000 3.1000 23.1000 76.0000 0.0000:49.34;62.0000 3.1000 23.1000 76.0000 0.0000:43.21;62.0000 3.1000 23.1000 76.0000 0.0000:60.53;62.0000 3.1000 23.1000 76.0000 0.0000:81.76;62.0000 3.1000 23.1000 76.0000 0.0000:60.56;62.0000 3.1000 23.1000 76.0000 0.0000:51.46"
"A","2","1","[15:00:00 17:00:00)","2016-10-10",""
"A","2","1","[15:00:00 17:00:00)","2016-10-17","222.0000 0.9000 18.9000 92.0000 0.0000:63.73;222.0000 0.9000 18.9000 92.0000 0.0000:90.64;222.0000 0.9000 18.9000 92.0000 0.0000:71.7;222.0000 0.9000 18.9000 92.0000 0.0000:53.86;222.0000 0.9000 18.9000 92.0000 0.0000:69.77;222.0000 0.9000 18.9000 92.0000 0.0000:61.9"
"A","2","2","[06:00:00 08:00:00)","2016-07-19","239.0000 1.9000 31.8000 64.0000 0.0000:46.36;239.0000 1.9000 31.8000 64.0000 0.0000:48.59;239.0000 1.9000 31.8000 64.0000 0.0000:66.64;239.0000 1.9000 31.8000 64.0000 0.0000:64.68;239.0000 1.9000 31.8000 64.0000 0.0000:85.68;239.0000 1.9000 31.8000 64.0000 0.0000:58.97"
"A","2","2","[06:00:00 08:00:00)","2016-07-26","254.0000 2.2000 38.4000 43.0000 0.0000:29.64;254.0000 2.2000 38.4000 43.0000 0.0000:83.02;254.0000 2.2000 38.4000 43.0000 0.0000:55.28;254.0000 2.2000 38.4000 43.0000 0.0000:64.6;254.0000 2.2000 38.4000 43.0000 0.0000:97.3;254.0000 2.2000 38.4000 43.0000 0.0000:98.64"
"A","2","2","[06:00:00 08:00:00)","2016-08-02","216.0000 2.8000 37.3000 44.0000 0.0000:49.42;216.0000 2.8000 37.3000 44.0000 0.0000:48.3;216.0000 2.8000 37.3000 44.0000 0.0000:45.85;216.0000 2.8000 37.3000 44.0000 0.0000:82.62;216.0000 2.8000 37.3000 44.0000 0.0000:64.38;216.0000 2.8000 37.3000 44.0000 0.0000:156.36"
"A","2","2","[06:00:00 08:00:00)","2016-08-09","59.0000 2.0000 31.7000 70.0000 0.0000:74.51;59.0000 2.0000 31.7000 70.0000 0.0000:52.18;59.0000 2.0000 31.7000 70.0000 0.0000:80.32;59.0000 2.0000 31.7000 70.0000 0.0000:63.17;59.0000 2.0000 31.7000 70.0000 0.0000:65.44;59.0000 2.0000 31.7000 70.0000 0.0000:53.71"
"A","2","2","[06:00:00 08:00:00)","2016-08-16","71.0000 3.0000 35.8000 47.0000 0.0000:72.51;71.0000 3.0000 35.8000 47.0000 0.0000:59.68;71.0000 3.0000 35.8000 47.0000 0.0000:46.51;71.0000 3.0000 35.8000 47.0000 0.0000:66.39;71.0000 3.0000 35.8000 47.0000 0.0000:54.91;71.0000 3.0000 35.8000 47.0000 0.0000:42.36"
"A","2","2","[06:00:00 08:00:00)","2016-08-23","289.0000 1.7000 32.9000 66.0000 0.0000:33.19;289.0000 1.7000 32.9000 66.0000 0.0000:75.15;289.0000 1.7000 32.9000 66.0000 0.0000:30.01;289.0000 1.7000 32.9000 66.0000 0.0000:47.14;289.0000 1.7000 32.9000 66.0000 0.0000:62.99;289.0000 1.7000 32.9000 66.0000 0.0000:47.7"
"A","2","2","[06:00:00 08:00:00)","2016-08-30","341.0000 3.9000 30.9000 34.0000 0.0000:38.03;341.0000 3.9000 30.9000 34.0000 0.0000:40.01;341.0000 3.9000 30.9000 34.0000 0.0000:86.8;341.0000 3.9000 30.9000 34.0000 0.0000:75.09;341.0000 3.9000 30.9000 34.0000 0.0000:88.13"
"A","2","2","[06:00:00 08:00:00)","2016-09-06","9.0000 4.2000 25.0000 70.0000 0.0000:48.21;9.0000 4.2000 25.0000 70.0000 0.0000:57.18;9.0000 4.2000 25.0000 70.0000 0.0000:74.89;9.0000 4.2000 25.0000 70.0000 0.0000:61.34;9.0000 4.2000 25.0000 70.0000 0.0000:41.67"
"A","2","2","[06:00:00 08:00:00)","2016-09-13","66.0000 2.4000 25.8000 68.0000 0.0000:46.57;66.0000 2.4000 25.8000 68.0000 0.0000:75.59;66.0000 2.4000 25.8000 68.0000 0.0000:55.45;66.0000 2.4000 25.8000 68.0000 0.0000:53.82;66.0000 2.4000 25.8000 68.0000 0.0000:69.86;66.0000 2.4000 25.8000 68.0000 0.0000:73.05"
"A","2","2","[06:00:00 08:00:00)","2016-09-20","7.0000 4.6000 26.9000 43.0000 0.0000:93.19;7.0000 4.6000 26.9000 43.0000 0.0000:52.35;7.0000 4.6000 26.9000 43.0000 0.0000:62.0;7.0000 4.6000 26.9000 43.0000 0.0000:57.02;7.0000 4.6000 26.9000 43.0000 0.0000:64.3"
"A","2","2","[06:00:00 08:00:00)","2016-09-27","96.0000 3.6000 31.1000 63.0000 0.0000:44.23;96.0000 3.6000 31.1000 63.0000 0.0000:57.25;96.0000 3.6000 31.1000 63.0000 0.0000:76.94;96.0000 3.6000 31.1000 63.0000 0.0000:63.41;96.0000 3.6000 31.1000 63.0000 0.0000:60.54"
"A","2","2","[06:00:00 08:00:00)","2016-10-04","329.0000 1.3000 24.5000 71.0000 0.0000:72.51;329.0000 1.3000 24.5000 71.0000 0.0000:44.88;329.0000 1.3000 24.5000 71.0000 0.0000:49.28;329.0000 1.3000 24.5000 71.0000 0.0000:48.98;329.0000 1.3000 24.5000 71.0000 0.0000:66.33;329.0000 1.3000 24.5000 71.0000 0.0000:47.28"
"A","2","2","[06:00:00 08:00:00)","2016-10-11","64.0000 3.0000 23.8000 50.0000 0.0000:44.41;64.0000 3.0000 23.8000 50.0000 0.0000:32.56;64.0000 3.0000 23.8000 50.0000 0.0000:63.51;64.0000 3.0000 23.8000 50.0000 0.0000:65.71;64.0000 3.0000 23.8000 50.0000 0.0000:60.31;64.0000 3.0000 23.8000 50.0000 0.0000:50.97"
"A","2","2","[15:00:00 17:00:00)","2016-07-19","202.0000 1.5000 29.0000 80.0000 0.0000:79.42;202.0000 1.5000 29.0000 80.0000 0.0000:72.31;202.0000 1.5000 29.0000 80.0000 0.0000:58.74;202.0000 1.5000 29.0000 80.0000 0.0000:59.64;202.0000 1.5000 29.0000 80.0000 0.0000:51.97;202.0000 1.5000 29.0000 80.0000 0.0000:61.6"
"A","2","2","[15:00:00 17:00:00)","2016-07-26","352.0000 0.7000 31.5000 61.0000 0.0000:52.42;352.0000 0.7000 31.5000 61.0000 0.0000:54.43;352.0000 0.7000 31.5000 61.0000 0.0000:59.02;352.0000 0.7000 31.5000 61.0000 0.0000:76.39;352.0000 0.7000 31.5000 61.0000 0.0000:63.53;352.0000 0.7000 31.5000 61.0000 0.0000:89.77"
"A","2","2","[15:00:00 17:00:00)","2016-08-02","310.0000 3.1000 24.5000 94.0000 4.8000:93.56;310.0000 3.1000 24.5000 94.0000 4.8000:78.4;310.0000 3.1000 24.5000 94.0000 4.8000:54.94;310.0000 3.1000 24.5000 94.0000 4.8000:62.88;310.0000 3.1000 24.5000 94.0000 4.8000:70.06;310.0000 3.1000 24.5000 94.0000 4.8000:64.11"
"A","2","2","[15:00:00 17:00:00)","2016-08-09","93.0000 2.1000 28.2000 89.0000 0.0000:66.68;93.0000 2.1000 28.2000 89.0000 0.0000:63.18;93.0000 2.1000 28.2000 89.0000 0.0000:70.81;93.0000 2.1000 28.2000 89.0000 0.0000:81.21;93.0000 2.1000 28.2000 89.0000 0.0000:64.88;93.0000 2.1000 28.2000 89.0000 0.0000:61.75"
"A","2","2","[15:00:00 17:00:00)","2016-08-16","88.0000 2.2000 30.2000 79.0000 0.0000:40.87;88.0000 2.2000 30.2000 79.0000 0.0000:37.39;88.0000 2.2000 30.2000 79.0000 0.0000:78.02;88.0000 2.2000 30.2000 79.0000 0.0000:51.15;88.0000 2.2000 30.2000 79.0000 0.0000:75.59;88.0000 2.2000 30.2000 79.0000 0.0000:72.5"
"A","2","2","[15:00:00 17:00:00)","2016-08-23","94.0000 3.2000 29.7000 71.0000 0.0000:69.76;94.0000 3.2000 29.7000 71.0000 0.0000:52.78;94.0000 3.2000 29.7000 71.0000 0.0000:39.86;94.0000 3.2000 29.7000 71.0000 0.0000:55.02;94.0000 3.2000 29.7000 71.0000 0.0000:53.6;94.0000 3.2000 29.7000 71.0000 0.0000:41.44"
"A","2","2","[15:00:00 17:00:00)","2016-08-30","204.0000 1.6000 23.4000 60.0000 0.0000:64.17;204.0000 1.6000 23.4000 60.0000 0.0000:74.48;204.0000 1.6000 23.4000 60.0000 0.0000:84.73;204.0000 1.6000 23.4000 60.0000 0.0000:84.26;204.0000 1.6000 23.4000 60.0000 0.0000:39.57;204.0000 1.6000 23.4000 60.0000 0.0000:84.96"
"A","2","2","[15:00:00 17:00:00)","2016-09-06","302.0000 2.5000 21.6000 92.0000 0.0000:59.38;302.0000 2.5000 21.6000 92.0000 0.0000:56.35;302.0000 2.5000 21.6000 92.0000 0.0000:56.22;302.0000 2.5000 21.6000 92.0000 0.0000:75.58;302.0000 2.5000 21.6000 92.0000 0.0000:42.77;302.0000 2.5000 21.6000 92.0000 0.0000:75.19"
"A","2","2","[15:00:00 17:00:00)","2016-09-13","227.0000 1.6000 19.9000 95.0000 2.5000:72.3;227.0000 1.6000 19.9000 95.0000 2.5000:77.62;227.0000 1.6000 19.9000 95.0000 2.5000:77.07;227.0000 1.6000 19.9000 95.0000 2.5000:56.13;227.0000 1.6000 19.9000 95.0000 2.5000:91.48;227.0000 1.6000 19.9000 95.0000 2.5000:73.34"
"A","2","2","[15:00:00 17:00:00)","2016-09-20","326.0000 2.2000 20.5000 65.0000 0.0000:57.14;326.0000 2.2000 20.5000 65.0000 0.0000:72.09;326.0000 2.2000 20.5000 65.0000 0.0000:69.3;326.0000 2.2000 20.5000 65.0000 0.0000:74.42;326.0000 2.2000 20.5000 65.0000 0.0000:93.9;326.0000 2.2000 20.5000 65.0000 0.0000:70.52"
"A","2","2","[15:00:00 17:00:00)","2016-09-27","70.0000 3.1000 27.1000 87.0000 0.0000:64.58;70.0000 3.1000 27.1000 87.0000 0.0000:50.21;70.0000 3.1000 27.1000 87.0000 0.0000:68.7;70.0000 3.1000 27.1000 87.0000 0.0000:95.24;70.0000 3.1000 27.1000 87.0000 0.0000:109.61;70.0000 3.1000 27.1000 87.0000 0.0000:228.34"
"A","2","2","[15:00:00 17:00:00)","2016-10-04","310.0000 1.5000 22.6000 80.0000 0.0000:63.23;310.0000 1.5000 22.6000 80.0000 0.0000:57.29;310.0000 1.5000 22.6000 80.0000 0.0000:50.72;310.0000 1.5000 22.6000 80.0000 0.0000:68.32;310.0000 1.5000 22.6000 80.0000 0.0000:63.96;310.0000 1.5000 22.6000 80.0000 0.0000:68.37"
"A","2","2","[15:00:00 17:00:00)","2016-10-11","45.0000 2.8000 20.3000 66.0000 0.0000:72.36;45.0000 2.8000 20.3000 66.0000 0.0000:61.45;45.0000 2.8000 20.3000 66.0000 0.0000:80.86;45.0000 2.8000 20.3000 66.0000 0.0000:66.97;45.0000 2.8000 20.3000 66.0000 0.0000:85.57;45.0000 2.8000 20.3000 66.0000 0.0000:65.04"
"A","2","3","[06:00:00 08:00:00)","2016-07-20","199.0000 4.7000 37.1000 41.0000 0.0000:44.1;199.0000 4.7000 37.1000 41.0000 0.0000:59.87;199.0000 4.7000 37.1000 41.0000 0.0000:88.81;199.0000 4.7000 37.1000 41.0000 0.0000:77.85;199.0000 4.7000 37.1000 41.0000 0.0000:94.92;199.0000 4.7000 37.1000 41.0000 0.0000:73.68"
"A","2","3","[06:00:00 08:00:00)","2016-07-27","189.0000 1.7000 38.6000 42.0000 0.0000:23.06;189.0000 1.7000 38.6000 42.0000 0.0000:77.4;189.0000 1.7000 38.6000 42.0000 0.0000:74.66;189.0000 1.7000 38.6000 42.0000 0.0000:91.73;189.0000 1.7000 38.6000 42.0000 0.0000:79.57;189.0000 1.7000 38.6000 42.0000 0.0000:94.0"
"A","2","3","[06:00:00 08:00:00)","2016-08-03","334.0000 2.7000 33.0000 62.0000 0.0000:52.53;334.0000 2.7000 33.0000 62.0000 0.0000:72.27;334.0000 2.7000 33.0000 62.0000 0.0000:70.32;334.0000 2.7000 33.0000 62.0000 0.0000:64.97;334.0000 2.7000 33.0000 62.0000 0.0000:61.73;334.0000 2.7000 33.0000 62.0000 0.0000:82.31"
"A","2","3","[06:00:00 08:00:00)","2016-08-10","58.0000 3.2000 33.9000 62.0000 0.0000:49.54;58.0000 3.2000 33.9000 62.0000 0.0000:69.68;58.0000 3.2000 33.9000 62.0000 0.0000:100.77;58.0000 3.2000 33.9000 62.0000 0.0000:72.75;58.0000 3.2000 33.9000 62.0000 0.0000:70.26;58.0000 3.2000 33.9000 62.0000 0.0000:71.95"
"A","2","3","[06:00:00 08:00:00)","2016-08-17","100.0000 2.9000 36.0000 51.0000 0.0000:34.4;100.0000 2.9000 36.0000 51.0000 0.0000:44.49;100.0000 2.9000 36.0000 51.0000 0.0000:75.18;100.0000 2.9000 36.0000 51.0000 0.0000:64.24;100.0000 2.9000 36.0000 51.0000 0.0000:67.77"
"A","2","3","[06:00:00 08:00:00)","2016-08-24","160.0000 2.3000 34.6000 51.0000 0.0000:50.01;160.0000 2.3000 34.6000 51.0000 0.0000:46.0;160.0000 2.3000 34.6000 51.0000 0.0000:42.11;160.0000 2.3000 34.6000 51.0000 0.0000:55.7;160.0000 2.3000 34.6000 51.0000 0.0000:46.95;160.0000 2.3000 34.6000 51.0000 0.0000:79.73"
"A","2","3","[06:00:00 08:00:00)","2016-08-31","219.0000 4.3000 32.4000 31.0000 0.0000:49.38;219.0000 4.3000 32.4000 31.0000 0.0000:54.83;219.0000 4.3000 32.4000 31.0000 0.0000:72.23;219.0000 4.3000 32.4000 31.0000 0.0000:65.81;219.0000 4.3000 32.4000 31.0000 0.0000:63.92;219.0000 4.3000 32.4000 31.0000 0.0000:101.65"
"A","2","3","[06:00:00 08:00:00)","2016-09-07","335.0000 2.1000 23.0000 83.0000 0.0000:57.09;335.0000 2.1000 23.0000 83.0000 0.0000:17.18;335.0000 2.1000 23.0000 83.0000 0.0000:66.75;335.0000 2.1000 23.0000 83.0000 0.0000:59.27;335.0000 2.1000 23.0000 83.0000 0.0000:60.75;335.0000 2.1000 23.0000 83.0000 0.0000:105.39"
"A","2","3","[06:00:00 08:00:00)","2016-09-14","343.0000 3.3000 21.5000 97.0000 0.8000:47.0;343.0000 3.3000 21.5000 97.0000 0.8000:69.52;343.0000 3.3000 21.5000 97.0000 0.8000:67.45;343.0000 3.3000 21.5000 97.0000 0.8000:75.1;343.0000 3.3000 21.5000 97.0000 0.8000:52.62;343.0000 3.3000 21.5000 97.0000 0.8000:64.9"
"A","2","3","[06:00:00 08:00:00)","2016-09-21","328.0000 3.0000 26.2000 56.0000 0.0000:59.69;328.0000 3.0000 26.2000 56.0000 0.0000:54.68;328.0000 3.0000 26.2000 56.0000 0.0000:49.19;328.0000 3.0000 26.2000 56.0000 0.0000:61.19;328.0000 3.0000 26.2000 56.0000 0.0000:123.57;328.0000 3.0000 26.2000 56.0000 0.0000:59.09"
"A","2","3","[06:00:00 08:00:00)","2016-09-28","92.0000 7.5000 26.2000 94.0000 5.5000:46.83;92.0000 7.5000 26.2000 94.0000 5.5000:56.36;92.0000 7.5000 26.2000 94.0000 5.5000:51.61;92.0000 7.5000 26.2000 94.0000 5.5000:47.5;92.0000 7.5000 26.2000 94.0000 5.5000:75.28;92.0000 7.5000 26.2000 94.0000 5.5000:65.2"
"A","2","3","[06:00:00 08:00:00)","2016-10-05","126.0000 1.5000 26.5000 64.0000 0.0000:40.65;126.0000 1.5000 26.5000 64.0000 0.0000:48.34;126.0000 1.5000 26.5000 64.0000 0.0000:42.72;126.0000 1.5000 26.5000 64.0000 0.0000:45.89;126.0000 1.5000 26.5000 64.0000 0.0000:51.41;126.0000 1.5000 26.5000 64.0000 0.0000:45.3"
"A","2","3","[06:00:00 08:00:00)","2016-10-12","100.0000 3.1000 22.1000 59.0000 0.0000:49.68;100.0000 3.1000 22.1000 59.0000 0.0000:45.53;100.0000 3.1000 22.1000 59.0000 0.0000:69.16;100.0000 3.1000 22.1000 59.0000 0.0000:52.01;100.0000 3.1000 22.1000 59.0000 0.0000:58.42;100.0000 3.1000 22.1000 59.0000 0.0000:63.15"
"A","2","3","[15:00:00 17:00:00)","2016-07-20","208.0000 2.1000 30.6000 63.0000 0.0000:62.18;208.0000 2.1000 30.6000 63.0000 0.0000:64.33;208.0000 2.1000 30.6000 63.0000 0.0000:70.33;208.0000 2.1000 30.6000 63.0000 0.0000:67.11;208.0000 2.1000 30.6000 63.0000 0.0000:82.79;208.0000 2.1000 30.6000 63.0000 0.0000:52.87"
"A","2","3","[15:00:00 17:00:00)","2016-07-27","221.0000 2.0000 30.8000 58.0000 0.0000:55.41;221.0000 2.0000 30.8000 58.0000 0.0000:71.56;221.0000 2.0000 30.8000 58.0000 0.0000:90.56;221.0000 2.0000 30.8000 58.0000 0.0000:51.73;221.0000 2.0000 30.8000 58.0000 0.0000:87.2;221.0000 2.0000 30.8000 58.0000 0.0000:80.88"
"A","2","3","[15:00:00 17:00:00)","2016-08-03","266.0000 1.8000 26.7000 86.0000 0.0000:61.0;266.0000 1.8000 26.7000 86.0000 0.0000:79.88;266.0000 1.8000 26.7000 86.0000 0.0000:58.06;266.0000 1.8000 26.7000 86.0000 0.0000:55.19;266.0000 1.8000 26.7000 86.0000 0.0000:57.05;266.0000 1.8000 26.7000 86.0000 0.0000:57.66"
"A","2","3","[15:00:00 17:00:00)","2016-08-10","98.0000 1.8000 29.4000 82.0000 0.0000:52.12;98.0000 1.8000 29.4000 82.0000 0.0000:86.62;98.0000 1.8000 29.4000 82.0000 0.0000:64.87;98.0000 1.8000 29.4000 82.0000 0.0000:81.11;98.0000 1.8000 29.4000 82.0000 0.0000:67.63;98.0000 1.8000 29.4000 82.0000 0.0000:69.18"
"A","2","3","[15:00:00 17:00:00)","2016-08-17","70.0000 1.5000 30.7000 73.0000 0.0000:178.55;70.0000 1.5000 30.7000 73.0000 0.0000:70.82;70.0000 1.5000 30.7000 73.0000 0.0000:59.4;70.0000 1.5000 30.7000 73.0000 0.0000:47.58;70.0000 1.5000 30.7000 73.0000 0.0000:58.84;70.0000 1.5000 30.7000 73.0000 0.0000:49.57"
"A","2","3","[15:00:00 17:00:00)","2016-08-24","109.0000 3.0000 28.6000 70.0000 0.0000:67.5;109.0000 3.0000 28.6000 70.0000 0.0000:50.7;109.0000 3.0000 28.6000 70.0000 0.0000:66.11;109.0000 3.0000 28.6000 70.0000 0.0000:53.15;109.0000 3.0000 28.6000 70.0000 0.0000:43.74;109.0000 3.0000 28.6000 70.0000 0.0000:50.8"
