"intersection_id","tollgate_id","time_window","avg_travel_time","mid_time"
"B","3","[2016-07-19 11:20:00,2016-07-19 11:40:00)","84.36","89.50999999999999"
"B","3","[2016-07-19 11:40:00,2016-07-19 12:00:00)","96.54","110.87"
"B","3","[2016-07-19 12:00:00,2016-07-19 12:20:00)","144.87","144.87"
"B","3","[2016-07-19 12:20:00,2016-07-19 12:40:00)","136.36","136.36"
"B","3","[2016-07-19 12:40:00,2016-07-19 13:00:00)","129.5","134.41"
"B","3","[2016-07-19 13:00:00,2016-07-19 13:20:00)","116.47","127.315"
"B","3","[2016-07-19 13:20:00,2016-07-19 13:40:00)","119.37","122.165"
"B","3","[2016-07-19 13:40:00,2016-07-19 14:00:00)","176.65","176.65"
"B","3","[2016-07-19 14:00:00,2016-07-19 14:20:00)","159.46","159.46499999999997"
"B","3","[2016-07-19 14:20:00,2016-07-19 14:40:00)","129.48","140.20999999999998"
"B","3","[2016-07-19 14:40:00,2016-07-19 15:00:00)","120.24","131.445"
"B","3","[2016-07-19 15:00:00,2016-07-19 15:20:00)","115.29","98.33"
"B","3","[2016-07-19 15:20:00,2016-07-19 15:40:00)","129.47","132.95499999999998"
"B","3","[2016-07-19 15:40:00,2016-07-19 16:00:00)","120.76","114.605"
"B","3","[2016-07-19 16:00:00,2016-07-19 16:20:00)","116.07","120.685"
"B","3","[2016-07-19 16:20:00,2016-07-19 16:40:00)","152.5","159.515"
"B","3","[2016-07-19 16:40:00,2016-07-19 17:00:00)","101.66","103.47"
"B","3","[2016-07-19 17:00:00,2016-07-19 17:20:00)","139.36","161.025"
"B","3","[2016-07-19 17:20:00,2016-07-19 17:40:00)","103.67","107.22500000000001"
"B","3","[2016-07-19 17:40:00,2016-07-19 18:00:00)","109.3","109.3"
"B","3","[2016-07-19 18:00:00,2016-07-19 18:20:00)","108.3","108.3"
"B","3","[2016-07-19 18:20:00,2016-07-19 18:40:00)","91.94","91.935"
"B","3","[2016-07-19 18:40:00,2016-07-19 19:00:00)","106.92","97.41"
"B","3","[2016-07-19 19:20:00,2016-07-19 19:40:00)","115.99","120.87"
"B","3","[2016-07-19 19:40:00,2016-07-19 20:00:00)","209.49","209.49"
"B","3","[2016-07-19 20:00:00,2016-07-19 20:20:00)","112.25","112.255"
"B","3","[2016-07-19 20:40:00,2016-07-19 21:00:00)","83.36","86.58"
"B","3","[2016-07-19 21:20:00,2016-07-19 21:40:00)","133.02","133.02499999999998"
"B","3","[2016-07-19 21:40:00,2016-07-19 22:00:00)","96.96","67.21000000000001"
"B","3","[2016-07-19 22:00:00,2016-07-19 22:20:00)","149.31","149.315"
"B","3","[2016-07-19 22:20:00,2016-07-19 22:40:00)","100.55","100.55"
"B","3","[2016-07-19 23:00:00,2016-07-19 23:20:00)","97.07","97.07"
"B","3","[2016-07-19 23:40:00,2016-07-20 00:00:00)","121.11","121.11"
"B","3","[2016-07-20 01:00:00,2016-07-20 01:20:00)","93.17","93.17499999999998"
"B","3","[2016-07-20 01:40:00,2016-07-20 02:00:00)","33.25","33.25"
"B","3","[2016-07-20 02:20:00,2016-07-20 02:40:00)","127.48","127.48"
"B","3","[2016-07-20 02:40:00,2016-07-20 03:00:00)","157.13","157.13"
"B","3","[2016-07-20 03:00:00,2016-07-20 03:20:00)","125.75","125.75"
"B","3","[2016-07-20 03:20:00,2016-07-20 03:40:00)","104.71","104.71"
"B","3","[2016-07-20 03:40:00,2016-07-20 04:00:00)","148.14","148.14"
"B","3","[2016-07-20 04:00:00,2016-07-20 04:20:00)","113.72","113.715"
"B","3","[2016-07-20 04:20:00,2016-07-20 04:40:00)","129.63","129.63"
"B","3","[2016-07-20 04:40:00,2016-07-20 05:00:00)","59.88","59.879999999999995"
"B","3","[2016-07-20 06:00:00,2016-07-20 06:20:00)","112.36","112.355"
"B","3","[2016-07-20 06:20:00,2016-07-20 06:40:00)","386.44","386.44"
"B","3","[2016-07-20 06:40:00,2016-07-20 07:00:00)","130.59","125.50999999999999"
"B","3","[2016-07-20 07:00:00,2016-07-20 07:20:00)","122.35","122.35"
"B","3","[2016-07-20 07:20:00,2016-07-20 07:40:00)","115.89","116.52000000000001"
"B","3","[2016-07-20 07:40:00,2016-07-20 08:00:00)","137.98","159.42000000000002"
"B","3","[2016-07-20 08:00:00,2016-07-20 08:20:00)","182.66","143.76"
"B","3","[2016-07-20 08:20:00,2016-07-20 08:40:00)","127.68","102.84"
"B","3","[2016-07-20 08:40:00,2016-07-20 09:00:00)","134.42","143.25"
"B","3","[2016-07-20 09:00:00,2016-07-20 09:20:00)","114.74","114.74000000000001"
"B","3","[2016-07-20 09:20:00,2016-07-20 09:40:00)","142.06","96.07"
"B","3","[2016-07-20 09:40:00,2016-07-20 10:00:00)","170.11","186.17"
"B","3","[2016-07-20 10:20:00,2016-07-20 10:40:00)","146.52","135.26"
"B","3","[2016-07-20 10:40:00,2016-07-20 11:00:00)","119.25","117.07"
"B","3","[2016-07-20 11:00:00,2016-07-20 11:20:00)","126.27","133.79000000000002"
"B","3","[2016-07-20 11:20:00,2016-07-20 11:40:00)","157.7","162.17000000000002"
"B","3","[2016-07-20 11:40:00,2016-07-20 12:00:00)","80.52","81.86"
"B","3","[2016-07-20 12:00:00,2016-07-20 12:20:00)","111.79","103.72999999999999"
"B","3","[2016-07-20 12:20:00,2016-07-20 12:40:00)","47.27","54.39"
"B","3","[2016-07-20 12:40:00,2016-07-20 13:00:00)","82.82","90.77000000000001"
"B","3","[2016-07-20 13:00:00,2016-07-20 13:20:00)","92.57","92.76"
"B","3","[2016-07-20 13:20:00,2016-07-20 13:40:00)","65.45","64.52"
"B","3","[2016-07-20 13:40:00,2016-07-20 14:00:00)","127.1","122.48"
"B","3","[2016-07-20 14:00:00,2016-07-20 14:20:00)","95.36","87.7"
"B","3","[2016-07-20 14:40:00,2016-07-20 15:00:00)","128.78","127.72"
"B","3","[2016-07-20 15:00:00,2016-07-20 15:20:00)","54.23","54.225"
"B","3","[2016-07-20 15:20:00,2016-07-20 15:40:00)","134.65","167.96"
"B","3","[2016-07-20 15:40:00,2016-07-20 16:00:00)","174.75","174.75"
"B","3","[2016-07-20 16:00:00,2016-07-20 16:20:00)","130.69","130.685"
"B","3","[2016-07-20 16:20:00,2016-07-20 16:40:00)","98.28","98.28"
"B","3","[2016-07-20 16:40:00,2016-07-20 17:00:00)","98.73","103.81"
"B","3","[2016-07-20 17:00:00,2016-07-20 17:20:00)","114.94","111.465"
"B","3","[2016-07-20 17:20:00,2016-07-20 17:40:00)","131.36","140.12"
"B","3","[2016-07-20 17:40:00,2016-07-20 18:00:00)","134.24","132.14"
"B","3","[2016-07-20 18:00:00,2016-07-20 18:20:00)","101.55","101.8"
"B","3","[2016-07-20 18:20:00,2016-07-20 18:40:00)","113.77","135.29"
"B","3","[2016-07-20 18:40:00,2016-07-20 19:00:00)","89.67","84.93"
"B","3","[2016-07-20 19:00:00,2016-07-20 19:20:00)","114.53","113.47"
"B","3","[2016-07-20 19:20:00,2016-07-20 19:40:00)","90.8","92.46000000000001"
"B","3","[2016-07-20 19:40:00,2016-07-20 20:00:00)","103.43","101.93"
"B","3","[2016-07-20 20:00:00,2016-07-20 20:20:00)","91.33","79.64"
"B","3","[2016-07-20 20:20:00,2016-07-20 20:40:00)","156.44","156.445"
"B","3","[2016-07-20 20:40:00,2016-07-20 21:00:00)","78.35","78.35499999999999"
"B","3","[2016-07-20 21:00:00,2016-07-20 21:20:00)","85.88","82.16"
"B","3","[2016-07-20 21:40:00,2016-07-20 22:00:00)","111.47","90.53"
"B","3","[2016-07-20 22:00:00,2016-07-20 22:20:00)","91.52","91.515"
"B","3","[2016-07-20 23:00:00,2016-07-20 23:20:00)","137.86","137.86"
"B","3","[2016-07-20 23:40:00,2016-07-21 00:00:00)","112.89","120.18"
"B","3","[2016-07-21 00:00:00,2016-07-21 00:20:00)","85.0","85.005"
"B","3","[2016-07-21 01:20:00,2016-07-21 01:40:00)","65.78","65.785"
"B","3","[2016-07-21 04:20:00,2016-07-21 04:40:00)","393.05","393.05"
"B","3","[2016-07-21 06:00:00,2016-07-21 06:20:00)","166.81","166.805"
"B","3","[2016-07-21 06:20:00,2016-07-21 06:40:00)","136.67","136.67000000000002"
"B","3","[2016-07-21 06:40:00,2016-07-21 07:00:00)","55.92","55.92"
"B","3","[2016-07-21 07:00:00,2016-07-21 07:20:00)","206.59","206.59"
"B","3","[2016-07-21 07:20:00,2016-07-21 07:40:00)","113.78","135.1"
"B","3","[2016-07-21 07:40:00,2016-07-21 08:00:00)","146.58","155.355"
"B","3","[2016-07-21 08:00:00,2016-07-21 08:20:00)","107.11","107.115"
"B","3","[2016-07-21 10:40:00,2016-07-21 11:00:00)","180.26","181.235"
"B","3","[2016-07-21 11:00:00,2016-07-21 11:20:00)","54.8","63.93"
"B","3","[2016-07-21 11:20:00,2016-07-21 11:40:00)","108.52","108.52000000000001"
"B","3","[2016-07-21 11:40:00,2016-07-21 12:00:00)","168.37","168.37"
"B","3","[2016-07-21 12:00:00,2016-07-21 12:20:00)","61.47","61.47"
"B","3","[2016-07-21 12:20:00,2016-07-21 12:40:00)","132.24","150.37"
"B","3","[2016-07-21 12:40:00,2016-07-21 13:00:00)","113.74","107.005"
"B","3","[2016-07-21 13:00:00,2016-07-21 13:20:00)","56.73","56.730000000000004"
"B","3","[2016-07-21 13:20:00,2016-07-21 13:40:00)","144.33","144.32999999999998"
"B","3","[2016-07-21 13:40:00,2016-07-21 14:00:00)","99.39","79.15"
"B","3","[2016-07-21 14:00:00,2016-07-21 14:20:00)","103.31","95.05"
"B","3","[2016-07-21 14:20:00,2016-07-21 14:40:00)","51.84","51.835"
"B","3","[2016-07-21 14:40:00,2016-07-21 15:00:00)","111.76","114.925"
"B","3","[2016-07-21 15:00:00,2016-07-21 15:20:00)","114.77","114.77"
"B","3","[2016-07-21 15:20:00,2016-07-21 15:40:00)","116.49","121.96000000000001"
"B","3","[2016-07-21 15:40:00,2016-07-21 16:00:00)","75.82","76.17"
"B","3","[2016-07-21 16:00:00,2016-07-21 16:20:00)","97.67","93.55"
"B","3","[2016-07-21 16:20:00,2016-07-21 16:40:00)","140.7","174.49"
"B","3","[2016-07-21 16:40:00,2016-07-21 17:00:00)","115.48","120.68"
"B","3","[2016-07-21 17:20:00,2016-07-21 17:40:00)","125.52","137.875"
"B","3","[2016-07-21 17:40:00,2016-07-21 18:00:00)","110.95","110.94500000000001"
"B","3","[2016-07-21 18:00:00,2016-07-21 18:20:00)","95.16","95.16"
"B","3","[2016-07-21 18:20:00,2016-07-21 18:40:00)","131.44","125.91"
"B","3","[2016-07-21 18:40:00,2016-07-21 19:00:00)","169.79","169.79"
"B","3","[2016-07-21 19:00:00,2016-07-21 19:20:00)","105.57","111.55"
"B","3","[2016-07-21 19:20:00,2016-07-21 19:40:00)","96.17","96.17"
"B","3","[2016-07-21 19:40:00,2016-07-21 20:00:00)","119.58","119.58"
"B","3","[2016-07-21 20:00:00,2016-07-21 20:20:00)","101.76","94.285"
"B","3","[2016-07-21 20:20:00,2016-07-21 20:40:00)","117.65","107.86"
"B","3","[2016-07-21 20:40:00,2016-07-21 21:00:00)","124.2","124.56"
"B","3","[2016-07-21 21:00:00,2016-07-21 21:20:00)","93.9","93.89500000000001"
"B","3","[2016-07-21 21:20:00,2016-07-21 21:40:00)","93.98","93.98"
"B","3","[2016-07-21 22:00:00,2016-07-21 22:20:00)","105.9","105.9"
"B","3","[2016-07-21 22:20:00,2016-07-21 22:40:00)","118.73","121.39"
"B","3","[2016-07-21 23:00:00,2016-07-21 23:20:00)","127.51","169.45999999999998"
"B","3","[2016-07-21 23:20:00,2016-07-21 23:40:00)","86.59","86.59"
"B","3","[2016-07-21 23:40:00,2016-07-22 00:00:00)","142.16","137.82"
"B","3","[2016-07-22 01:00:00,2016-07-22 01:20:00)","165.66","165.66"
"B","3","[2016-07-22 03:00:00,2016-07-22 03:20:00)","12.75","12.75"
"B","3","[2016-07-22 04:40:00,2016-07-22 05:00:00)","195.47","195.465"
"B","3","[2016-07-22 05:00:00,2016-07-22 05:20:00)","96.23","96.22999999999999"
"B","3","[2016-07-22 05:20:00,2016-07-22 05:40:00)","154.3","154.3"
"B","3","[2016-07-22 05:40:00,2016-07-22 06:00:00)","195.81","195.81"
"B","3","[2016-07-22 06:00:00,2016-07-22 06:20:00)","189.33","189.32999999999998"
"B","3","[2016-07-22 06:20:00,2016-07-22 06:40:00)","75.94","75.94"
"B","3","[2016-07-22 06:40:00,2016-07-22 07:00:00)","72.47","72.475"
"B","3","[2016-07-22 07:00:00,2016-07-22 07:20:00)","90.79","72.97999999999999"
"B","3","[2016-07-22 07:20:00,2016-07-22 07:40:00)","88.86","88.865"
"B","3","[2016-07-22 07:40:00,2016-07-22 08:00:00)","180.59","180.59"
"B","3","[2016-07-22 08:00:00,2016-07-22 08:20:00)","126.73","118.1"
"B","3","[2016-07-22 08:20:00,2016-07-22 08:40:00)","217.6","217.6"
"B","3","[2016-07-22 08:40:00,2016-07-22 09:00:00)","121.92","121.91"
"B","3","[2016-07-22 09:00:00,2016-07-22 09:20:00)","161.56","161.2"
"B","3","[2016-07-22 09:20:00,2016-07-22 09:40:00)","113.62","132.45"
"B","3","[2016-07-22 09:40:00,2016-07-22 10:00:00)","137.22","134.41"
"B","3","[2016-07-22 10:00:00,2016-07-22 10:20:00)","133.78","122.115"
"B","3","[2016-07-22 10:40:00,2016-07-22 11:00:00)","146.2","134.87"
"B","3","[2016-07-22 11:00:00,2016-07-22 11:20:00)","112.08","97.49"
"B","3","[2016-07-22 11:20:00,2016-07-22 11:40:00)","99.19","94.85"
"B","3","[2016-07-22 11:40:00,2016-07-22 12:00:00)","63.65","63.239999999999995"
"B","3","[2016-07-22 12:00:00,2016-07-22 12:20:00)","124.93","124.93"
"B","3","[2016-07-22 12:20:00,2016-07-22 12:40:00)","82.83","82.825"
"B","3","[2016-07-22 12:40:00,2016-07-22 13:00:00)","200.47","165.365"
"B","3","[2016-07-22 13:00:00,2016-07-22 13:20:00)","101.82","96.68"
"B","3","[2016-07-22 13:20:00,2016-07-22 13:40:00)","56.98","55.57"
"B","3","[2016-07-22 13:40:00,2016-07-22 14:00:00)","88.79","92.7"
"B","3","[2016-07-22 14:00:00,2016-07-22 14:20:00)","117.05","129.08499999999998"
"B","3","[2016-07-22 14:20:00,2016-07-22 14:40:00)","90.71","90.70500000000001"
"B","3","[2016-07-22 14:40:00,2016-07-22 15:00:00)","128.29","109.58"
"B","3","[2016-07-22 15:00:00,2016-07-22 15:20:00)","129.11","141.73"
"B","3","[2016-07-22 15:20:00,2016-07-22 15:40:00)","101.98","105.16"
"B","3","[2016-07-22 15:40:00,2016-07-22 16:00:00)","101.56","110.91"
"B","3","[2016-07-22 16:00:00,2016-07-22 16:20:00)","130.6","132.15"
"B","3","[2016-07-22 16:20:00,2016-07-22 16:40:00)","113.65","113.65"
"B","3","[2016-07-22 16:40:00,2016-07-22 17:00:00)","84.49","73.4"
"B","3","[2016-07-22 17:00:00,2016-07-22 17:20:00)","115.19","115.185"
"B","3","[2016-07-22 17:20:00,2016-07-22 17:40:00)","136.99","140.935"
"B","3","[2016-07-22 17:40:00,2016-07-22 18:00:00)","191.51","215.43"
"B","3","[2016-07-22 18:00:00,2016-07-22 18:20:00)","105.54","108.825"
"B","3","[2016-07-22 18:20:00,2016-07-22 18:40:00)","82.42","90.57"
"B","3","[2016-07-22 18:40:00,2016-07-22 19:00:00)","91.96","81.155"
"B","3","[2016-07-22 19:00:00,2016-07-22 19:20:00)","111.78","104.53"
"B","3","[2016-07-22 19:20:00,2016-07-22 19:40:00)","113.59","113.59"
"B","3","[2016-07-22 19:40:00,2016-07-22 20:00:00)","125.72","125.715"
"B","3","[2016-07-22 20:00:00,2016-07-22 20:20:00)","137.06","137.065"
"B","3","[2016-07-22 20:20:00,2016-07-22 20:40:00)","143.25","143.25"
"B","3","[2016-07-22 20:40:00,2016-07-22 21:00:00)","109.69","97.41"
"B","3","[2016-07-22 21:00:00,2016-07-22 21:20:00)","83.7","83.7"
"B","3","[2016-07-22 21:40:00,2016-07-22 22:00:00)","141.53","141.525"
"B","3","[2016-07-22 22:00:00,2016-07-22 22:20:00)","118.17","118.57"
"B","3","[2016-07-22 22:20:00,2016-07-22 22:40:00)","66.34","66.34"
"B","3","[2016-07-22 22:40:00,2016-07-22 23:00:00)","118.93","118.93"
"B","3","[2016-07-22 23:00:00,2016-07-22 23:20:00)","62.51","62.510000000000005"
"B","3","[2016-07-22 23:20:00,2016-07-22 23:40:00)","154.56","154.56"
"B","3","[2016-07-22 23:40:00,2016-07-23 00:00:00)","136.23","136.23"
"B","3","[2016-07-23 00:20:00,2016-07-23 00:40:00)","141.81","141.815"
"B","3","[2016-07-23 00:40:00,2016-07-23 01:00:00)","129.47","149.36"
"B","3","[2016-07-23 01:20:00,2016-07-23 01:40:00)","175.45","175.45"
"B","3","[2016-07-23 01:40:00,2016-07-23 02:00:00)","129.42","129.41500000000002"
"B","3","[2016-07-23 02:40:00,2016-07-23 03:00:00)","140.77","140.76999999999998"
"B","3","[2016-07-23 03:40:00,2016-07-23 04:00:00)","115.58","115.575"
"B","3","[2016-07-23 04:40:00,2016-07-23 05:00:00)","133.78","133.785"
"B","3","[2016-07-23 05:20:00,2016-07-23 05:40:00)","162.52","162.52"
"B","3","[2016-07-23 06:00:00,2016-07-23 06:20:00)","46.66","46.66"
"B","3","[2016-07-23 06:20:00,2016-07-23 06:40:00)","95.37","95.37"
"B","3","[2016-07-23 06:40:00,2016-07-23 07:00:00)","161.2","161.2"
"B","3","[2016-07-23 07:00:00,2016-07-23 07:20:00)","130.15","136.575"
"B","3","[2016-07-23 07:20:00,2016-07-23 07:40:00)","63.18","76.46000000000001"
"B","3","[2016-07-23 07:40:00,2016-07-23 08:00:00)","100.59","83.05"
"B","3","[2016-07-23 08:00:00,2016-07-23 08:20:00)","157.78","141.57"
"B","3","[2016-07-23 08:20:00,2016-07-23 08:40:00)","60.5","60.5"
"B","3","[2016-07-23 08:40:00,2016-07-23 09:00:00)","92.48","92.485"
"B","3","[2016-07-23 09:00:00,2016-07-23 09:20:00)","153.16","150.775"
"B","3","[2016-07-23 09:20:00,2016-07-23 09:40:00)","144.09","150.16"
"B","3","[2016-07-23 10:00:00,2016-07-23 10:20:00)","125.13","115.62"
"B","3","[2016-07-23 10:20:00,2016-07-23 10:40:00)","141.22","141.22"
"B","3","[2016-07-23 10:40:00,2016-07-23 11:00:00)","132.74","131.19"
"B","3","[2016-07-23 11:00:00,2016-07-23 11:20:00)","151.06","144.92000000000002"
"B","3","[2016-07-23 11:20:00,2016-07-23 11:40:00)","94.56","94.56"
"B","3","[2016-07-23 11:40:00,2016-07-23 12:00:00)","111.91","105.625"
"B","3","[2016-07-23 12:00:00,2016-07-23 12:20:00)","101.03","107.23"
"B","3","[2016-07-23 12:20:00,2016-07-23 12:40:00)","79.68","80.56"
"B","3","[2016-07-23 12:40:00,2016-07-23 13:00:00)","98.16","95.07"
"B","3","[2016-07-23 13:00:00,2016-07-23 13:20:00)","113.68","110.78"
"B","3","[2016-07-23 13:20:00,2016-07-23 13:40:00)","101.43","95.34"
"B","3","[2016-07-23 13:40:00,2016-07-23 14:00:00)","123.31","112.48"
"B","3","[2016-07-23 14:00:00,2016-07-23 14:20:00)","112.96","108.73"
"B","3","[2016-07-23 14:20:00,2016-07-23 14:40:00)","137.47","150.42000000000002"
"B","3","[2016-07-23 14:40:00,2016-07-23 15:00:00)","139.25","145.99"
"B","3","[2016-07-23 15:00:00,2016-07-23 15:20:00)","106.79","88.83"
"B","3","[2016-07-23 15:20:00,2016-07-23 15:40:00)","135.79","135.79000000000002"
"B","3","[2016-07-23 15:40:00,2016-07-23 16:00:00)","116.87","117.00999999999999"
"B","3","[2016-07-23 16:00:00,2016-07-23 16:20:00)","126.47","132.23"
"B","3","[2016-07-23 16:20:00,2016-07-23 16:40:00)","145.74","146.29500000000002"
"B","3","[2016-07-23 16:40:00,2016-07-23 17:00:00)","120.62","123.185"
"B","3","[2016-07-23 17:00:00,2016-07-23 17:20:00)","116.16","122.89"
"B","3","[2016-07-23 17:20:00,2016-07-23 17:40:00)","122.16","144.29000000000002"
"B","3","[2016-07-23 17:40:00,2016-07-23 18:00:00)","124.94","135.4"
"B","3","[2016-07-23 18:00:00,2016-07-23 18:20:00)","140.63","145.655"
"B","3","[2016-07-23 18:20:00,2016-07-23 18:40:00)","63.35","63.35"
"B","3","[2016-07-23 18:40:00,2016-07-23 19:00:00)","126.81","138.72"
"B","3","[2016-07-23 19:00:00,2016-07-23 19:20:00)","103.21","103.21"
"B","3","[2016-07-23 19:20:00,2016-07-23 19:40:00)","78.76","76.77"
"B","3","[2016-07-23 19:40:00,2016-07-23 20:00:00)","161.56","171.08499999999998"
"B","3","[2016-07-23 20:00:00,2016-07-23 20:20:00)","199.56","199.56"
"B","3","[2016-07-23 20:20:00,2016-07-23 20:40:00)","140.22","142.37"
"B","3","[2016-07-23 20:40:00,2016-07-23 21:00:00)","89.31","96.17"
"B","3","[2016-07-23 21:00:00,2016-07-23 21:20:00)","110.15","139.21"
"B","3","[2016-07-23 21:20:00,2016-07-23 21:40:00)","102.53","107.81"
"B","3","[2016-07-23 21:40:00,2016-07-23 22:00:00)","142.98","165.60500000000002"
"B","3","[2016-07-23 22:00:00,2016-07-23 22:20:00)","95.51","97.63499999999999"
"B","3","[2016-07-23 22:20:00,2016-07-23 22:40:00)","125.84","148.53"
"B","3","[2016-07-23 22:40:00,2016-07-23 23:00:00)","99.16","99.9"
"B","3","[2016-07-23 23:00:00,2016-07-23 23:20:00)","107.84","115.62"
"B","3","[2016-07-23 23:20:00,2016-07-23 23:40:00)","114.79","127.92"
"B","3","[2016-07-23 23:40:00,2016-07-24 00:00:00)","143.38","180.81"
"B","3","[2016-07-24 00:00:00,2016-07-24 00:20:00)","120.79","128.31"
"B","3","[2016-07-24 00:40:00,2016-07-24 01:00:00)","70.16","70.155"
"B","3","[2016-07-24 01:00:00,2016-07-24 01:20:00)","153.09","159.81"
"B","3","[2016-07-24 01:20:00,2016-07-24 01:40:00)","175.41","175.41"
"B","3","[2016-07-24 01:40:00,2016-07-24 02:00:00)","94.39","94.39"
"B","3","[2016-07-24 02:20:00,2016-07-24 02:40:00)","72.42","70.94"
"B","3","[2016-07-24 02:40:00,2016-07-24 03:00:00)","123.95","124.93"
"B","3","[2016-07-24 03:00:00,2016-07-24 03:20:00)","87.88","77.32"
"B","3","[2016-07-24 03:20:00,2016-07-24 03:40:00)","107.02","100.84"
"B","3","[2016-07-24 03:40:00,2016-07-24 04:00:00)","105.51","105.50999999999999"
"B","3","[2016-07-24 04:00:00,2016-07-24 04:20:00)","110.32","92.25"
"B","3","[2016-07-24 04:20:00,2016-07-24 04:40:00)","124.14","129.31"
"B","3","[2016-07-24 04:40:00,2016-07-24 05:00:00)","107.53","107.53"
"B","3","[2016-07-24 05:00:00,2016-07-24 05:20:00)","121.83","121.83"
"B","3","[2016-07-24 06:00:00,2016-07-24 06:20:00)","62.89","62.89"
"B","3","[2016-07-24 06:20:00,2016-07-24 06:40:00)","102.01","102.00999999999999"
"B","3","[2016-07-24 06:40:00,2016-07-24 07:00:00)","144.59","144.585"
"B","3","[2016-07-24 07:00:00,2016-07-24 07:20:00)","70.05","70.05"
"B","3","[2016-07-24 07:20:00,2016-07-24 07:40:00)","106.57","89.31"
"B","3","[2016-07-24 07:40:00,2016-07-24 08:00:00)","115.18","109.45"
"B","3","[2016-07-24 08:00:00,2016-07-24 08:20:00)","36.31","36.31"
"B","3","[2016-07-24 08:20:00,2016-07-24 08:40:00)","149.99","157.26"
"B","3","[2016-07-24 08:40:00,2016-07-24 09:00:00)","16.61","16.61"
"B","3","[2016-07-24 09:00:00,2016-07-24 09:20:00)","98.77","89.455"
"B","3","[2016-07-24 09:20:00,2016-07-24 09:40:00)","101.02","92.535"
"B","3","[2016-07-24 09:40:00,2016-07-24 10:00:00)","272.87","272.87"
"B","3","[2016-07-24 10:00:00,2016-07-24 10:20:00)","181.31","167.51999999999998"
"B","3","[2016-07-24 10:20:00,2016-07-24 10:40:00)","115.27","125.38499999999999"
"B","3","[2016-07-24 10:40:00,2016-07-24 11:00:00)","154.54","159.57999999999998"
"B","3","[2016-07-24 11:00:00,2016-07-24 11:20:00)","153.08","144.885"
"B","3","[2016-07-24 11:20:00,2016-07-24 11:40:00)","140.98","140.98"
"B","3","[2016-07-24 11:40:00,2016-07-24 12:00:00)","123.75","144.35500000000002"
"B","3","[2016-07-24 12:00:00,2016-07-24 12:20:00)","90.95","89.27000000000001"
"B","3","[2016-07-24 12:20:00,2016-07-24 12:40:00)","95.36","101.065"
"B","3","[2016-07-24 12:40:00,2016-07-24 13:00:00)","123.38","123.38"
"B","3","[2016-07-24 13:00:00,2016-07-24 13:20:00)","131.47","143.5"
"B","3","[2016-07-24 13:20:00,2016-07-24 13:40:00)","83.6","83.6"
"B","3","[2016-07-24 13:40:00,2016-07-24 14:00:00)","107.08","107.08000000000001"
"B","3","[2016-07-24 14:00:00,2016-07-24 14:20:00)","122.22","122.595"
"B","3","[2016-07-24 14:20:00,2016-07-24 14:40:00)","150.78","161.54500000000002"
"B","3","[2016-07-24 14:40:00,2016-07-24 15:00:00)","185.07","185.07"
"B","3","[2016-07-24 15:00:00,2016-07-24 15:20:00)","143.98","143.03"
"B","3","[2016-07-24 15:20:00,2016-07-24 15:40:00)","125.73","129.16"
