"time_window","link_100","link_101","link_102","link_103","link_104","link_105","link_106","link_107","link_108","link_109","link_110","link_111","link_112","link_113","link_114","link_115","link_116","link_117","link_118","link_119","link_120","link_121","link_122","link_123"
"[2016-07-19 04:00:00,2016-07-19 04:20:00)","6.9","0","0","4.27","0","16.16","0","2.92","4.65","0","8.32","21.14","0","0","0","0","0","27.13","0","0","1.14","0","45.17","4.51"
"[2016-07-19 04:20:00,2016-07-19 04:40:00)","5.63","7.04","0","4.85","0","8.58","1.53","4.18","5.98","0","11.99","11.06","0","27.06","0","0","15.11","27.77","0","0","0.93","12.07","23.15","6.69"
"[2016-07-19 04:40:00,2016-07-19 05:00:00)","4.93","10.3","8.29","5.67","23.18","4.88","1.12","3.04","4.13","11.66","8.52","9.34","37.94","48.3","17.46","12.46","10.49","23.12","19.88","0.83","0.85","8.85","28.26","5.2"
"[2016-07-19 05:00:00,2016-07-19 05:20:00)","9.61","0","0","125.2","0","13.73","0","4.03","4.98","0","9.25","34.85","0","0","0","0","0","23.36","0","0","0.77","0","24.66","4.9"
"[2016-07-19 05:20:00,2016-07-19 05:40:00)","4.06","4.39","0","1.9","0","7.94","1.14","3.74","4.8","0","15.5","8.5","0","20.98","16.09","0","11.02","21.98","73.03","0.78","0.77","6.7","56.36","6.46"
"[2016-07-19 05:40:00,2016-07-19 06:00:00)","4.87","4.54","0","5.02","0","4.09","1.34","3.43","4.43","0","10.47","19.75","0","27.83","0","0","12.59","27.8","0","0","0.7","6.95","0","6.79"
"[2016-07-19 06:00:00,2016-07-19 06:20:00)","6.96","8.46","8.62","22.77","19.28","11.75","3.1","3.85","4.55","8.88","12.04","14.35","13.09","59.23","19.19","11.94","22.48","17.56","60.31","0.84","0.75","11.88","32.09","5.97"
"[2016-07-19 06:20:00,2016-07-19 06:40:00)","8.11","0","10.11","2.84","22.04","8.73","0","4.71","4.41","9.9","10.95","23.77","18.81","0","16.99","8.34","0","18.59","20.12","0.88","0.78","0","39.19","7.52"
"[2016-07-19 06:40:00,2016-07-19 07:00:00)","6.01","6.0","11.61","2.07","18.68","7.79","1.83","3.52","4.56","10.43","13.45","56.76","15.09","17.56","21.05","10.52","12.85","41.39","36.96","1.09","0.73","9.31","49.01","6.16"
"[2016-07-19 07:00:00,2016-07-19 07:20:00)","5.65","6.54","5.81","2.35","12.99","9.62","1.17","4.55","5.96","5.99","11.61","54.07","8.82","10.41","17.9","4.75","14.01","34.48","22.81","0.97","1.34","9.18","36.61","5.62"
"[2016-07-19 07:20:00,2016-07-19 07:40:00)","5.87","0","7.7","2.1","26.23","8.29","0","4.95","5.36","9.32","14.19","61.64","57.27","0","17.07","7.3","0","50.08","30.95","1.26","1.19","0","25.4","7.32"
"[2016-07-19 07:40:00,2016-07-19 08:00:00)","5.48","9.4","16.42","3.68","36.72","9.96","1.68","4.99","5.33","16.92","13.06","35.25","24.94","16.11","19.54","8.06","20.13","25.64","21.52","1.25","1.01","13.2","22.3","8.06"
"[2016-07-19 08:00:00,2016-07-19 08:20:00)","12.93","5.75","8.61","2.21","28.09","17.62","1.2","5.77","6.16","12.69","14.65","34.18","19.85","29.39","21.61","8.46","12.26","45.89","51.16","1.73","1.15","8.74","28.31","7.16"
"[2016-07-19 08:20:00,2016-07-19 08:40:00)","7.13","10.36","11.74","4.27","25.84","10.21","1.08","4.93","8.4","11.9","13.59","46.67","16.05","10.43","32.01","9.97","22.19","43.56","54.56","1.61","1.26","14.06","47.26","8.01"
"[2016-07-19 08:40:00,2016-07-19 09:00:00)","4.99","6.39","0","4.83","0","8.0","1.65","4.99","5.72","0","15.62","65.55","0","18.23","21.98","0","12.8","29.14","49.25","1.22","1.02","9.99","33.98","8.18"
"[2016-07-19 09:00:00,2016-07-19 09:20:00)","10.18","6.38","12.54","2.7","29.89","13.17","1.14","5.84","7.36","13.28","16.63","54.58","42.53","24.49","25.85","8.36","16.02","38.05","88.34","0.83","0.95","10.34","28.08","8.63"
"[2016-07-19 09:20:00,2016-07-19 09:40:00)","7.77","7.14","9.15","3.06","23.45","10.26","1.17","4.61","5.0","9.36","15.62","16.25","16.05","13.42","26.4","8.7","15.17","32.37","51.37","1.0","0.84","33.88","54.52","6.79"
"[2016-07-19 09:40:00,2016-07-19 10:00:00)","6.3","0","7.99","4.41","21.03","10.98","0","4.57","4.95","7.68","10.58","41.83","14.09","0","16.05","8.33","0","42.16","53.83","0.8","0.8","0","32.94","5.63"
"[2016-07-19 10:00:00,2016-07-19 10:20:00)","9.9","8.52","8.73","5.28","25.23","13.44","1.56","5.51","5.32","8.45","12.78","32.36","18.59","38.13","15.29","9.08","18.69","47.16","30.81","0.92","0.99","14.64","24.49","6.86"
"[2016-07-19 10:20:00,2016-07-19 10:40:00)","8.4","6.93","9.04","4.91","25.0","11.41","1.3","4.56","5.02","8.9","12.3","50.71","20.09","27.8","29.77","8.64","19.45","31.05","32.29","1.49","0.83","16.93","32.11","6.43"
"[2016-07-19 10:40:00,2016-07-19 11:00:00)","5.71","4.84","18.28","2.1","40.89","8.07","0.95","4.53","6.72","18.84","12.42","27.17","27.77","13.43","23.01","14.93","79.97","41.6","42.0","1.2","0.83","7.47","28.23","6.56"
"[2016-07-19 11:00:00,2016-07-19 11:20:00)","4.21","3.91","3.59","1.35","8.04","6.75","0.7","4.56","5.21","3.7","11.73","33.85","5.46","6.71","16.93","2.94","8.38","40.56","26.21","0.9","0.84","5.5","33.48","6.5"
"[2016-07-19 11:20:00,2016-07-19 11:40:00)","6.44","6.83","12.42","2.66","42.15","10.21","1.22","3.86","4.09","12.79","10.86","23.94","38.36","34.16","13.82","10.14","14.64","17.69","18.35","0.72","0.63","9.6","32.24","5.92"
"[2016-07-19 11:40:00,2016-07-19 12:00:00)","5.0","80.56","10.12","1.6","22.5","15.58","0.57","3.93","3.36","10.31","8.78","36.05","15.28","5.46","14.54","8.26","13.83","27.98","26.62","0.74","0.5","4.48","23.78","4.52"
"[2016-07-19 12:00:00,2016-07-19 12:20:00)","11.5","7.96","0","4.0","0","15.27","21.32","5.07","4.35","0","10.98","43.44","0","36.29","15.65","0","15.65","31.62","21.36","0.7","0.83","11.5","48.45","6.37"
"[2016-07-19 12:20:00,2016-07-19 12:40:00)","8.66","7.23","12.34","1.88","26.67","9.93","1.27","3.27","5.43","12.5","12.31","10.29","23.38","14.62","14.66","12.46","14.46","19.53","17.66","0.81","0.8","9.54","23.62","5.14"
"[2016-07-19 12:40:00,2016-07-19 13:00:00)","5.26","4.46","10.7","5.07","23.71","11.64","0.98","3.79","4.52","9.83","9.67","49.31","18.04","25.39","25.38","9.35","10.13","26.71","18.81","0.96","0.85","6.62","31.66","5.71"
"[2016-07-19 13:00:00,2016-07-19 13:20:00)","6.67","6.07","8.84","6.12","21.48","9.88","1.18","3.32","4.34","9.46","9.62","35.22","16.14","16.32","16.28","9.06","12.12","33.52","22.32","0.81","0.77","8.99","39.75","5.59"
"[2016-07-19 13:20:00,2016-07-19 13:40:00)","8.57","5.93","14.81","3.52","33.73","11.63","1.16","4.05","4.94","9.53","11.77","38.38","27.12","27.41","15.74","17.61","12.85","25.42","20.21","0.76","0.97","8.65","38.92","6.2"
"[2016-07-19 13:40:00,2016-07-19 14:00:00)","7.21","8.11","7.07","2.07","27.95","8.51","1.48","3.99","9.77","8.4","10.98","11.61","14.78","26.72","14.24","5.23","16.11","32.76","23.42","0.75","0.78","11.09","29.13","6.47"
"[2016-07-19 14:00:00,2016-07-19 14:20:00)","6.54","14.34","11.19","5.29","25.68","9.47","2.51","4.81","5.61","11.46","13.51","64.26","18.36","20.98","17.84","11.34","38.5","27.57","20.22","1.13","0.94","32.35","30.35","9.49"
"[2016-07-19 14:20:00,2016-07-19 14:40:00)","10.93","6.46","9.88","4.85","26.07","15.02","1.44","5.71","5.93","10.52","12.52","53.11","33.97","43.22","18.23","8.8","21.6","38.12","23.89","1.18","0.94","21.47","33.53","6.61"
"[2016-07-19 14:40:00,2016-07-19 15:00:00)","8.37","5.07","8.09","3.17","22.88","11.91","1.04","4.23","5.86","7.43","10.96","45.23","57.13","17.8","17.84","8.77","10.92","35.83","28.87","1.0","1.03","7.61","40.29","5.57"
"[2016-07-19 15:00:00,2016-07-19 15:20:00)","8.59","7.18","9.12","4.83","23.2","10.65","1.12","5.95","5.09","8.43","12.0","41.0","17.87","27.53","14.82","9.11","14.77","48.0","17.59","0.81","0.77","8.91","42.58","6.27"
"[2016-07-19 15:20:00,2016-07-19 15:40:00)","7.87","7.87","10.34","16.23","24.73","9.71","1.27","5.72","6.08","10.02","12.36","45.16","29.65","8.4","16.38","10.4","17.06","36.81","19.7","0.93","0.97","11.32","31.04","7.09"
"[2016-07-19 15:40:00,2016-07-19 16:00:00)","9.91","6.33","0","6.56","0","17.49","1.03","5.37","5.05","0","11.28","42.11","0","21.01","20.04","0","14.11","27.94","36.71","1.56","0.78","8.35","27.2","6.47"
"[2016-07-19 16:00:00,2016-07-19 16:20:00)","9.03","5.71","10.41","10.02","25.3","13.66","1.27","3.24","4.17","10.27","10.13","32.66","19.58","13.2","18.6","9.29","13.74","34.64","48.25","0.94","0.79","8.02","41.27","5.16"
"[2016-07-19 16:20:00,2016-07-19 16:40:00)","8.44","7.84","9.73","4.3","31.17","13.14","1.85","4.06","4.87","10.15","12.4","44.06","27.85","39.05","16.54","9.06","16.14","22.84","20.3","0.72","0.78","11.26","55.1","5.44"
"[2016-07-19 16:40:00,2016-07-19 17:00:00)","5.71","6.01","9.67","3.44","24.3","10.37","1.15","4.29","5.06","9.72","12.42","39.89","17.15","21.93","15.68","10.45","14.34","31.24","39.52","0.75","0.81","12.65","30.28","6.41"
"[2016-07-19 17:00:00,2016-07-19 17:20:00)","7.16","9.91","9.84","3.61","23.88","12.05","1.87","5.79","6.4","11.27","12.59","40.07","19.76","22.78","19.17","8.8","21.23","64.39","37.48","1.43","1.58","14.49","33.38","7.27"
"[2016-07-19 17:20:00,2016-07-19 17:40:00)","5.48","6.71","10.11","2.65","23.7","5.72","1.2","4.32","5.88","10.25","10.91","56.61","17.27","11.5","18.78","8.99","14.38","47.11","42.76","1.69","1.21","9.43","27.28","6.34"
"[2016-07-19 17:40:00,2016-07-19 18:00:00)","4.43","7.73","8.92","2.0","21.49","8.68","1.57","4.5","5.09","8.49","12.94","24.34","17.1","12.25","19.93","7.92","16.16","34.98","20.52","0.92","0.86","11.09","26.32","7.61"
"[2016-07-19 18:00:00,2016-07-19 18:20:00)","8.64","7.12","14.32","2.07","43.18","10.54","1.27","5.39","6.25","14.61","12.8","31.1","27.56","12.21","20.18","11.42","15.26","51.7","25.48","1.91","1.0","10.0","25.32","7.14"
"[2016-07-19 18:20:00,2016-07-19 18:40:00)","38.45","26.82","17.04","5.1","39.94","22.44","1.49","5.51","5.03","16.69","12.22","55.16","74.17","15.44","20.07","16.01","71.07","20.57","28.9","1.12","0.77","12.09","29.05","6.4"
"[2016-07-19 18:40:00,2016-07-19 19:00:00)","8.24","7.59","10.62","3.27","23.46","12.04","1.36","5.22","6.21","10.96","14.69","40.04","47.06","9.36","34.06","9.46","16.27","30.3","17.53","2.23","1.11","10.67","29.35","7.94"
"[2016-07-19 19:00:00,2016-07-19 19:20:00)","10.12","9.63","13.9","2.94","29.93","13.62","4.35","4.68","5.42","13.96","9.65","17.61","61.02","124.36","17.23","11.33","22.3","35.2","18.39","0.63","1.32","32.75","38.77","6.1"
"[2016-07-19 19:20:00,2016-07-19 19:40:00)","7.52","0","11.27","2.88","30.23","9.6","0","4.08","5.78","12.39","10.77","66.9","47.76","0","17.44","9.44","0","49.65","33.25","0.86","1.15","0","36.0","6.05"
"[2016-07-19 19:40:00,2016-07-19 20:00:00)","6.6","0","0","2.42","0","8.23","0","5.74","6.74","0","14.7","52.16","0","41.0","19.74","0","14.61","48.09","34.84","1.09","1.55","0","50.36","8.32"
"[2016-07-19 20:00:00,2016-07-19 20:20:00)","6.17","7.13","13.65","3.48","27.43","9.11","1.5","9.0","4.98","13.41","13.01","31.16","17.53","27.28","17.91","12.32","16.09","45.34","29.5","1.05","1.1","10.51","39.84","6.63"
"[2016-07-19 20:20:00,2016-07-19 20:40:00)","0","0","12.54","2.8","44.02","0","0","3.42","4.85","11.52","11.34","114.59","25.63","0","21.33","13.34","0","18.79","23.56","0.75","0.69","0","34.95","5.72"
"[2016-07-19 20:40:00,2016-07-19 21:00:00)","7.7","0","0","6.03","0","8.37","0","4.33","5.08","0","11.42","28.14","0","0","21.32","0","0","27.66","23.47","1.55","0.79","0","28.73","14.29"
"[2016-07-19 21:00:00,2016-07-19 21:20:00)","8.48","6.88","8.9","27.25","24.86","11.9","1.79","4.4","4.79","8.35","12.02","13.16","18.05","58.46","19.74","9.62","20.25","34.23","42.19","1.71","0.75","10.49","35.68","7.05"
"[2016-07-19 21:20:00,2016-07-19 21:40:00)","7.28","7.98","0","17.18","0","11.21","1.97","3.98","4.49","0","16.58","47.19","0","47.63","14.89","0","15.72","25.46","21.47","0.68","0.7","8.75","35.64","6.47"
"[2016-07-19 21:40:00,2016-07-19 22:00:00)","6.29","13.99","10.82","4.31","32.71","8.08","0.62","4.1","5.31","10.12","12.08","36.92","34.61","5.93","0","13.07","19.16","22.58","0","0","0.92","62.61","31.22","6.56"
"[2016-07-19 22:00:00,2016-07-19 22:20:00)","12.18","0","0","11.64","0","17.13","0","3.37","4.41","0","10.62","53.84","0","0","23.32","0","0","17.76","32.58","1.01","0.62","0","48.96","5.89"
"[2016-07-19 22:20:00,2016-07-19 22:40:00)","5.36","0","0","15.08","0","20.82","0","4.69","5.8","0","16.26","11.18","0","0","17.7","0","0","48.35","22.25","0.72","1.16","0","30.07","7.31"
"[2016-07-19 22:40:00,2016-07-19 23:00:00)","0","11.1","15.02","3.27","33.41","0","3.04","2.7","3.48","14.06","7.7","21.33","51.08","71.51","0","15.59","25.58","28.69","0","0","0.52","17.84","0","4.16"
"[2016-07-19 23:00:00,2016-07-19 23:20:00)","4.85","0","0","0.87","0","8.27","0","3.58","5.66","0","11.39","64.61","0","0","0","0","0","26.93","0","0","0.82","0","18.07","5.82"
"[2016-07-19 23:20:00,2016-07-19 23:40:00)","0","0","10.62","5.45","33.01","0","0","6.72","5.52","10.95","14.97","107.12","50.55","0","0","16.9","0","20.49","0","0","0.82","0","46.82","6.79"
"[2016-07-19 23:40:00,2016-07-20 00:00:00)","6.17","0","0","11.29","0","9.6","0","3.65","4.47","0","10.49","51.11","0","0","9.34","0","0","17.92","18.88","0.42","0.78","0","40.43","6.46"
"[2016-07-20 00:00:00,2016-07-20 00:20:00)","0","0","0","0","0","0","0","2.35","2.76","0","7.52","0","0","0","16.93","0","0","0","18.55","0.62","0","0","28.05","4.07"
"[2016-07-20 00:20:00,2016-07-20 00:40:00)","0","0","0","0","0","0","0","2.66","3.23","0","9.11","0","0","0","12.85","0","0","14.89","16.43","0.7","0.54","0","16.65","4.58"
"[2016-07-20 00:40:00,2016-07-20 01:00:00)","0","0","0","0","0","0","0","2.26","4.87","0","14.05","0","0","0","0","0","0","58.66","0","0","0.88","0","0","2.54"
"[2016-07-20 01:00:00,2016-07-20 01:20:00)","10.62","0","0","4.46","0","14.29","0","4.39","5.17","0","14.08","23.29","0","0","0","0","0","25.64","0","0","0.78","0","37.17","7.62"
"[2016-07-20 01:20:00,2016-07-20 01:40:00)","0","5.7","7.78","1.76","17.35","0","1.67","4.59","6.75","7.24","11.93","9.72","13.52","42.02","18.13","8.83","11.56","24.12","24.13","0.92","0.93","8.19","29.17","6.12"
"[2016-07-20 01:40:00,2016-07-20 02:00:00)","5.13","0","0","1.31","0","6.89","0","3.16","4.13","0","8.78","7.88","0","0","17.15","0","0","18.5","26.52","0.72","0.53","0","33.13","4.8"
"[2016-07-20 02:00:00,2016-07-20 02:20:00)","0","0","0","0","0","0","0","2.93","3.45","0","5.98","0","0","0","0","0","0","32.12","0","0","0.52","0","0","4.62"
"[2016-07-20 02:20:00,2016-07-20 02:40:00)","5.49","0","0","3.04","0","8.92","0","2.33","3.15","0","9.09","75.69","0","0","15.05","0","0","6.68","16.69","0.84","0.29","0","29.35","4.42"
"[2016-07-20 02:40:00,2016-07-20 03:00:00)","4.9","6.7","0","1.99","0","8.7","1.63","2.62","2.93","0","8.39","58.75","0","31.45","0","0","13.31","14.89","0","0","0.45","10.79","31.13","4.54"
"[2016-07-20 03:00:00,2016-07-20 03:20:00)","5.95","8.24","10.33","3.62","25.78","10.66","1.47","2.7","3.17","11.88","9.22","45.58","17.51","20.46","0","8.39","29.82","40.67","0","0","0.48","11.57","47.75","4.68"
"[2016-07-20 03:20:00,2016-07-20 03:40:00)","9.09","0","0","3.1","0","15.51","0","2.38","2.8","0","8.05","33.71","0","0","16.94","0","0","6.59","26.72","0.73","0.29","0","35.42","4.14"
"[2016-07-20 03:40:00,2016-07-20 04:00:00)","9.02","0","0","62.93","0","11.81","0","8.93","10.5","0","28.62","38.69","0","0","0","0","0","35.71","0","0","1.58","0","24.14","15.49"
"[2016-07-20 04:00:00,2016-07-20 04:20:00)","6.67","0","0","2.21","0","11.02","0","3.12","3.97","0","10.68","60.44","0","0","17.88","0","0","17.01","78.62","1.03","0.83","0","27.83","5.3"
"[2016-07-20 04:20:00,2016-07-20 04:40:00)","7.01","0","0","2.38","0","8.43","0","4.04","4.72","0","11.93","77.7","0","0","14.73","0","0","30.32","17.91","0.73","1.03","0","27.93","5.51"
"[2016-07-20 04:40:00,2016-07-20 05:00:00)","6.76","0","8.6","18.68","16.91","9.82","0","1.86","2.19","7.69","34.38","12.66","12.82","0","0","4.42","0","7.4","0","0","0.33","0","44.88","3.24"
"[2016-07-20 05:00:00,2016-07-20 05:20:00)","0","0","0","0","0","0","0","3.44","4.45","0","10.16","0","0","0","0","0","0","25.85","0","0","0.7","0","0","5.08"
"[2016-07-20 05:20:00,2016-07-20 05:40:00)","0","0","0","0","0","0","0","4.33","5.74","0","12.86","0","0","0","15.78","0","0","24.67","23.81","0.72","1.01","0","40.32","7.0"
"[2016-07-20 05:40:00,2016-07-20 06:00:00)","0","0","10.25","1.8","22.92","0","0","3.7","4.42","10.56","12.37","9.47","15.57","0","23.67","8.37","0","19.77","80.74","1.08","0.66","0","30.94","5.88"
"[2016-07-20 06:00:00,2016-07-20 06:20:00)","6.75","8.82","0","4.05","0","9.73","0.8","4.08","4.76","0","11.54","37.4","0","7.68","18.34","0","21.68","16.09","40.55","0.72","0.94","42.93","35.4","4.58"
"[2016-07-20 06:20:00,2016-07-20 06:40:00)","28.12","5.63","0","3.97","0","9.24","1.42","4.83","6.32","0","13.09","18.23","0","18.86","0","0","11.03","27.32","0","0","1.01","8.55","248.44","7.06"
"[2016-07-20 06:40:00,2016-07-20 07:00:00)","8.86","9.32","0","4.39","0","13.33","6.96","8.59","6.97","0","25.63","37.76","0","71.51","13.9","0","19.4","26.81","17.5","0.88","0.64","14.87","36.91","12.79"
"[2016-07-20 07:00:00,2016-07-20 07:20:00)","14.2","9.34","15.32","5.92","43.78","21.53","1.54","6.07","6.24","15.79","15.86","25.88","32.28","14.12","17.7","27.73","36.8","41.85","43.23","1.23","1.23","23.0","41.9","8.59"
"[2016-07-20 07:20:00,2016-07-20 07:40:00)","9.9","8.72","13.74","3.42","30.62","10.83","1.76","5.33","6.08","14.11","15.88","33.6","20.8","24.7","23.67","11.66","18.84","56.84","34.45","1.74","1.2","12.83","28.59","9.23"
"[2016-07-20 07:40:00,2016-07-20 08:00:00)","5.67","6.14","9.47","1.95","22.3","8.79","1.86","5.48","6.08","9.75","15.59","48.11","18.03","24.84","22.8","14.11","14.29","35.68","41.81","1.82","1.04","9.95","40.2","8.14"
"[2016-07-20 08:00:00,2016-07-20 08:20:00)","14.42","52.93","10.82","8.71","23.45","18.35","2.7","4.57","5.18","9.69","12.84","55.41","15.51","25.85","25.25","10.93","30.21","29.81","48.37","1.14","0.89","33.43","40.24","6.97"
"[2016-07-20 08:20:00,2016-07-20 08:40:00)","5.7","39.33","13.09","4.23","28.66","8.87","2.66","4.59","6.89","13.4","12.72","56.24","33.89","25.51","48.74","5.82","78.18","300.76","68.01","1.8","1.04","26.84","35.46","7.42"
"[2016-07-20 08:40:00,2016-07-20 09:00:00)","7.94","8.67","10.67","6.51","25.7","11.6","1.55","13.47","11.57","11.01","23.2","51.66","20.53","14.86","73.87","9.54","18.57","17.99","82.03","2.97","0.8","12.17","42.11","17.6"
"[2016-07-20 09:00:00,2016-07-20 09:20:00)","9.11","10.37","10.79","3.01","114.52","18.15","1.79","8.09","14.67","11.11","19.01","30.48","13.5","34.88","58.47","9.34","19.86","15.93","76.47","3.15","0.71","12.63","41.17","14.47"
"[2016-07-20 09:20:00,2016-07-20 09:40:00)","6.96","11.44","13.68","3.89","30.59","9.2","2.1","22.36","18.27","14.1","32.4","21.21","20.78","35.99","53.22","11.17","22.52","0","61.02","11.28","0","16.38","42.52","23.47"
"[2016-07-20 09:40:00,2016-07-20 10:00:00)","10.7","7.55","8.46","2.53","20.48","12.04","1.4","13.07","11.5","8.45","25.32","51.11","15.94","12.89","40.29","8.59","16.87","6.79","79.45","3.93","0.33","10.96","43.4","19.75"
"[2016-07-20 10:00:00,2016-07-20 10:20:00)","6.64","9.86","14.04","2.05","27.62","8.29","1.92","46.78","22.04","14.03","16.18","14.0","18.31","47.81","27.52","11.85","17.06","158.04","71.41","1.53","3.74","12.98","29.1","18.48"
"[2016-07-20 10:20:00,2016-07-20 10:40:00)","5.18","0","0","15.66","0","8.08","0","5.17","5.72","0","12.11","80.45","0","0","17.83","0","0","35.14","33.12","0.96","1.0","0","41.03","8.14"
"[2016-07-20 10:40:00,2016-07-20 11:00:00)","8.2","7.33","12.93","4.8","33.94","13.08","1.04","5.83","6.97","13.72","16.91","32.85","29.8","10.11","18.11","11.19","17.74","47.67","28.92","0.82","1.11","8.16","37.67","9.76"
"[2016-07-20 11:00:00,2016-07-20 11:20:00)","6.34","8.62","8.94","1.73","28.68","8.91","1.54","4.9","4.39","10.64","9.72","52.95","32.97","14.78","13.91","8.26","18.47","21.45","29.27","0.82","0.69","12.11","38.82","4.95"
"[2016-07-20 11:20:00,2016-07-20 11:40:00)","7.51","5.49","8.43","4.23","18.02","10.69","0.96","4.19","4.82","7.84","15.83","43.12","19.1","26.16","35.95","8.39","10.33","19.54","22.85","1.08","0.85","9.45","38.54","6.33"
"[2016-07-20 11:40:00,2016-07-20 12:00:00)","5.75","7.83","8.62","3.61","18.67","7.54","1.37","4.76","8.92","8.2","11.89","23.57","16.23","28.7","18.35","8.95","17.35","21.6","32.78","0.79","0.82","12.22","31.45","6.33"
"[2016-07-20 12:00:00,2016-07-20 12:20:00)","6.4","13.12","10.09","7.05","22.57","9.95","2.34","3.41","4.42","10.4","10.03","34.05","22.45","28.53","17.32","8.24","28.1","31.7","35.68","1.07","0.69","18.42","37.44","5.63"
"[2016-07-20 12:20:00,2016-07-20 12:40:00)","6.66","5.65","11.24","21.45","24.17","9.66","21.12","4.27","4.81","10.97","11.2","15.54","17.88","9.35","16.2","10.69","11.92","22.43","44.37","1.03","0.72","7.95","19.37","6.04"
"[2016-07-20 12:40:00,2016-07-20 13:00:00)","4.97","8.64","13.48","13.34","30.15","8.34","1.54","4.24","4.8","13.89","15.18","23.78","20.48","14.82","30.36","10.66","18.52","22.66","24.19","1.3","0.72","12.14","28.92","7.73"
"[2016-07-20 13:00:00,2016-07-20 13:20:00)","5.9","10.17","10.89","16.65","26.14","6.41","3.24","4.01","4.85","9.46","10.27","36.79","19.98","46.02","15.75","11.53","21.66","54.18","17.23","0.79","0.83","22.24","46.25","5.82"
"[2016-07-20 13:20:00,2016-07-20 13:40:00)","5.17","5.65","7.0","6.04","26.9","8.05","1.15","4.48","4.68","7.17","11.28","17.2","27.35","17.59","14.82","6.07","10.6","23.27","39.9","0.84","0.75","8.55","38.43","5.78"
"[2016-07-20 13:40:00,2016-07-20 14:00:00)","5.28","24.93","10.67","4.14","26.51","6.41","0.93","4.43","5.17","10.9","12.57","35.4","33.57","8.9","17.72","9.95","32.43","41.96","23.06","0.96","0.81","40.8","41.51","7.07"
"[2016-07-20 14:00:00,2016-07-20 14:20:00)","13.2","14.25","7.87","3.37","22.52","17.9","1.83","4.58","4.26","7.76","12.08","36.97","32.66","29.33","16.6","10.46","22.83","32.22","21.66","0.98","0.82","19.11","32.33","6.95"
"[2016-07-20 14:20:00,2016-07-20 14:40:00)","16.46","8.54","8.11","2.41","18.97","22.13","1.7","4.18","4.56","7.76","10.71","40.92","31.78","27.53","0","7.13","18.4","31.33","0","0","0.71","13.19","36.64","5.77"
"[2016-07-20 14:40:00,2016-07-20 15:00:00)","7.96","9.74","10.71","2.45","27.32","9.55","0.68","5.86","5.05","10.99","11.73","37.57","19.8","6.53","23.12","9.9","22.62","23.07","32.01","1.19","0.84","23.01","49.88","7.02"
"[2016-07-20 15:00:00,2016-07-20 15:20:00)","6.27","6.98","13.26","2.61","28.18","10.29","1.41","5.45","5.33","13.17","13.3","24.33","36.74","15.36","23.27","11.78","15.56","20.15","19.02","0.87","0.66","10.9","29.21","8.41"
"[2016-07-20 15:20:00,2016-07-20 15:40:00)","6.86","7.35","11.95","1.55","28.53","10.93","1.31","8.58","4.73","11.69","10.55","57.98","20.05","19.61","14.58","15.7","15.73","29.22","20.64","0.73","0.81","10.31","27.97","6.32"
