"tollgate_id","time_window","direction","volume","etc","model_1","model_2","model_3","model_4","model_5","model_6","model_7","type_0","type_1"
"2","[2016-09-19 12:40:00,2016-09-19 13:00:00)","0","69","14","57","12","0","0","0","0","0","0","0"
"2","[2016-09-19 13:00:00,2016-09-19 13:20:00)","0","81","26","68","9","1","3","0","0","0","0","0"
"2","[2016-09-19 13:20:00,2016-09-19 13:40:00)","0","95","29","77","9","2","7","0","0","0","0","0"
"2","[2016-09-19 13:40:00,2016-09-19 14:00:00)","0","67","20","52","13","1","0","0","0","1","0","0"
"2","[2016-09-19 14:00:00,2016-09-19 14:20:00)","0","66","12","52","13","1","0","0","0","0","0","0"
"2","[2016-09-19 14:20:00,2016-09-19 14:40:00)","0","62","16","54","6","1","1","0","0","0","0","0"
"2","[2016-09-19 14:40:00,2016-09-19 15:00:00)","0","79","21","70","6","2","1","0","0","0","0","0"
"2","[2016-09-19 15:00:00,2016-09-19 15:20:00)","0","77","19","59","17","0","1","0","0","0","0","0"
"2","[2016-09-19 15:20:00,2016-09-19 15:40:00)","0","67","15","58","9","0","0","0","0","0","0","0"
"2","[2016-09-19 15:40:00,2016-09-19 16:00:00)","0","74","14","62","12","0","0","0","0","0","0","0"
"2","[2016-09-19 16:00:00,2016-09-19 16:20:00)","0","76","16","66","10","0","0","0","0","0","0","0"
"2","[2016-09-19 16:20:00,2016-09-19 16:40:00)","0","86","23","85","1","0","0","0","0","0","0","0"
"2","[2016-09-19 16:40:00,2016-09-19 17:00:00)","0","99","22","86","12","1","0","0","0","0","0","0"
"2","[2016-09-19 17:00:00,2016-09-19 17:20:00)","0","85","17","74","8","1","2","0","0","0","0","0"
"2","[2016-09-19 17:20:00,2016-09-19 17:40:00)","0","72","23","65","6","1","0","0","0","0","0","0"
"2","[2016-09-19 17:40:00,2016-09-19 18:00:00)","0","53","15","47","6","0","0","0","0","0","0","0"
"2","[2016-09-19 18:00:00,2016-09-19 18:20:00)","0","55","18","49","6","0","0","0","0","0","0","0"
"2","[2016-09-19 18:20:00,2016-09-19 18:40:00)","0","50","15","48","2","0","0","0","0","0","0","0"
"2","[2016-09-19 18:40:00,2016-09-19 19:00:00)","0","49","13","44","3","0","1","0","0","1","0","0"
"2","[2016-09-19 19:00:00,2016-09-19 19:20:00)","0","44","12","41","3","0","0","0","0","0","0","0"
"2","[2016-09-19 19:20:00,2016-09-19 19:40:00)","0","49","12","41","8","0","0","0","0","0","0","0"
"2","[2016-09-19 19:40:00,2016-09-19 20:00:00)","0","41","7","29","12","0","0","0","0","0","0","0"
"2","[2016-09-19 20:00:00,2016-09-19 20:20:00)","0","56","9","43","12","0","1","0","0","0","0","0"
"2","[2016-09-19 20:20:00,2016-09-19 20:40:00)","0","21","4","16","5","0","0","0","0","0","0","0"
"2","[2016-09-19 20:40:00,2016-09-19 21:00:00)","0","35","9","27","8","0","0","0","0","0","0","0"
"2","[2016-09-19 21:00:00,2016-09-19 21:20:00)","0","29","6","21","8","0","0","0","0","0","0","0"
"2","[2016-09-19 21:20:00,2016-09-19 21:40:00)","0","20","6","15","5","0","0","0","0","0","0","0"
"2","[2016-09-19 21:40:00,2016-09-19 22:00:00)","0","24","4","20","4","0","0","0","0","0","0","0"
"2","[2016-09-19 22:00:00,2016-09-19 22:20:00)","0","21","5","16","5","0","0","0","0","0","0","0"
"2","[2016-09-19 22:20:00,2016-09-19 22:40:00)","0","12","2","7","5","0","0","0","0","0","0","0"
"2","[2016-09-19 22:40:00,2016-09-19 23:00:00)","0","24","6","11","13","0","0","0","0","0","0","0"
"2","[2016-09-19 23:00:00,2016-09-19 23:20:00)","0","16","4","13","3","0","0","0","0","0","0","0"
"2","[2016-09-19 23:20:00,2016-09-19 23:40:00)","0","6","1","0","5","0","1","0","0","0","0","0"
"2","[2016-09-19 23:40:00,2016-09-20 00:00:00)","0","12","3","8","4","0","0","0","0","0","0","0"
"2","[2016-09-20 00:20:00,2016-09-20 00:40:00)","0","2","2","2","0","0","0","0","0","0","0","0"
"2","[2016-09-20 00:40:00,2016-09-20 01:00:00)","0","2","2","2","0","0","0","0","0","0","0","0"
"2","[2016-09-20 01:20:00,2016-09-20 01:40:00)","0","1","1","1","0","0","0","0","0","0","0","0"
"2","[2016-09-20 05:00:00,2016-09-20 05:20:00)","0","5","0","4","1","0","0","0","0","0","0","0"
"2","[2016-09-20 05:20:00,2016-09-20 05:40:00)","0","18","3","11","6","0","1","0","0","0","0","0"
"2","[2016-09-20 05:40:00,2016-09-20 06:00:00)","0","21","4","13","8","0","0","0","0","0","0","0"
"2","[2016-09-20 06:00:00,2016-09-20 06:20:00)","0","33","3","29","4","0","0","0","0","0","0","0"
"2","[2016-09-20 06:20:00,2016-09-20 06:40:00)","0","31","7","26","5","0","0","0","0","0","0","0"
"2","[2016-09-20 06:40:00,2016-09-20 07:00:00)","0","54","13","48","6","0","0","0","0","0","0","0"
"2","[2016-09-20 07:00:00,2016-09-20 07:20:00)","0","79","28","71","7","0","1","0","0","0","0","0"
"2","[2016-09-20 07:20:00,2016-09-20 07:40:00)","0","86","34","78","7","1","0","0","0","0","0","0"
"2","[2016-09-20 07:40:00,2016-09-20 08:00:00)","0","93","36","81","12","0","0","0","0","0","0","0"
"2","[2016-09-20 08:00:00,2016-09-20 08:20:00)","0","112","33","103","9","0","0","0","0","0","0","0"
"2","[2016-09-20 08:20:00,2016-09-20 08:40:00)","0","111","39","104","6","1","0","0","0","0","0","0"
"2","[2016-09-20 08:40:00,2016-09-20 09:00:00)","0","112","33","104","8","0","0","0","0","0","0","0"
"2","[2016-09-20 09:00:00,2016-09-20 09:20:00)","0","105","26","95","8","1","1","0","0","0","0","0"
"2","[2016-09-20 09:20:00,2016-09-20 09:40:00)","0","99","25","85","13","0","0","0","0","1","0","0"
"2","[2016-09-20 09:40:00,2016-09-20 10:00:00)","0","87","24","74","12","1","0","0","0","0","0","0"
"2","[2016-09-20 10:00:00,2016-09-20 10:20:00)","0","85","20","71","14","0","0","0","0","0","0","0"
"2","[2016-09-20 10:20:00,2016-09-20 10:40:00)","0","76","16","67","8","0","0","0","0","1","0","0"
"2","[2016-09-20 10:40:00,2016-09-20 11:00:00)","0","80","20","74","6","0","0","0","0","0","0","0"
"2","[2016-09-20 11:00:00,2016-09-20 11:20:00)","0","63","12","50","13","0","0","0","0","0","0","0"
"2","[2016-09-20 11:20:00,2016-09-20 11:40:00)","0","46","7","38","8","0","0","0","0","0","0","0"
"2","[2016-09-20 11:40:00,2016-09-20 12:00:00)","0","55","9","49","6","0","0","0","0","0","0","0"
"2","[2016-09-20 12:00:00,2016-09-20 12:20:00)","0","73","14","62","11","0","0","0","0","0","0","0"
"2","[2016-09-20 12:20:00,2016-09-20 12:40:00)","0","88","25","79","9","0","0","0","0","0","0","0"
"2","[2016-09-20 12:40:00,2016-09-20 13:00:00)","0","80","21","75","4","1","0","0","0","0","0","0"
"2","[2016-09-20 13:00:00,2016-09-20 13:20:00)","0","75","24","64","7","2","1","0","0","1","0","0"
"2","[2016-09-20 13:20:00,2016-09-20 13:40:00)","0","96","23","87","5","3","0","0","0","1","0","0"
"2","[2016-09-20 13:40:00,2016-09-20 14:00:00)","0","69","19","58","10","1","0","0","0","0","0","0"
"2","[2016-09-20 14:00:00,2016-09-20 14:20:00)","0","81","22","70","10","1","0","0","0","0","0","0"
"2","[2016-09-20 14:20:00,2016-09-20 14:40:00)","0","72","19","63","8","0","0","0","0","1","0","0"
"2","[2016-09-20 14:40:00,2016-09-20 15:00:00)","0","70","11","58","10","0","1","0","0","1","0","0"
"2","[2016-09-20 15:00:00,2016-09-20 15:20:00)","0","62","15","52","9","0","1","0","0","0","0","0"
"2","[2016-09-20 15:20:00,2016-09-20 15:40:00)","0","69","16","64","5","0","0","0","0","0","0","0"
"2","[2016-09-20 15:40:00,2016-09-20 16:00:00)","0","69","10","59","10","0","0","0","0","0","0","0"
"2","[2016-09-20 16:00:00,2016-09-20 16:20:00)","0","82","18","68","11","0","2","0","0","1","0","0"
"2","[2016-09-20 16:20:00,2016-09-20 16:40:00)","0","76","16","69","7","0","0","0","0","0","0","0"
"2","[2016-09-20 16:40:00,2016-09-20 17:00:00)","0","64","20","55","6","0","2","0","0","1","0","0"
"2","[2016-09-20 17:00:00,2016-09-20 17:20:00)","0","82","12","76","6","0","0","0","0","0","0","0"
"2","[2016-09-20 17:20:00,2016-09-20 17:40:00)","0","86","20","74","11","1","0","0","0","0","0","0"
"2","[2016-09-20 17:40:00,2016-09-20 18:00:00)","0","85","19","75","8","0","2","0","0","0","0","0"
"2","[2016-09-20 18:00:00,2016-09-20 18:20:00)","0","77","24","69","7","0","1","0","0","0","0","0"
"2","[2016-09-20 18:20:00,2016-09-20 18:40:00)","0","60","18","52","8","0","0","0","0","0","0","0"
"2","[2016-09-20 18:40:00,2016-09-20 19:00:00)","0","56","19","53","2","0","1","0","0","0","0","0"
"2","[2016-09-20 19:00:00,2016-09-20 19:20:00)","0","61","19","57","4","0","0","0","0","0","0","0"
"2","[2016-09-20 19:20:00,2016-09-20 19:40:00)","0","27","5","24","3","0","0","0","0","0","0","0"
"2","[2016-09-20 19:40:00,2016-09-20 20:00:00)","0","40","11","27","13","0","0","0","0","0","0","0"
"2","[2016-09-20 20:00:00,2016-09-20 20:20:00)","0","35","5","28","7","0","0","0","0","0","0","0"
"2","[2016-09-20 20:20:00,2016-09-20 20:40:00)","0","31","8","25","6","0","0","0","0","0","0","0"
"2","[2016-09-20 20:40:00,2016-09-20 21:00:00)","0","30","9","23","7","0","0","0","0","0","0","0"
"2","[2016-09-20 21:00:00,2016-09-20 21:20:00)","0","27","6","19","8","0","0","0","0","0","0","0"
"2","[2016-09-20 21:20:00,2016-09-20 21:40:00)","0","21","14","18","3","0","0","0","0","0","0","0"
"2","[2016-09-20 21:40:00,2016-09-20 22:00:00)","0","5","5","5","0","0","0","0","0","0","0","0"
"2","[2016-09-20 22:00:00,2016-09-20 22:20:00)","0","5","5","5","0","0","0","0","0","0","0","0"
"2","[2016-09-20 22:20:00,2016-09-20 22:40:00)","0","6","6","6","0","0","0","0","0","0","0","0"
"2","[2016-09-20 23:00:00,2016-09-20 23:20:00)","0","5","1","4","1","0","0","0","0","0","0","0"
"2","[2016-09-20 23:20:00,2016-09-20 23:40:00)","0","7","1","5","2","0","0","0","0","0","0","0"
"2","[2016-09-20 23:40:00,2016-09-21 00:00:00)","0","5","1","3","2","0","0","0","0","0","0","0"
"2","[2016-09-21 00:00:00,2016-09-21 00:20:00)","0","2","2","2","0","0","0","0","0","0","0","0"
"2","[2016-09-21 00:20:00,2016-09-21 00:40:00)","0","2","2","2","0","0","0","0","0","0","0","0"
"2","[2016-09-21 00:40:00,2016-09-21 01:00:00)","0","2","2","1","0","0","0","0","0","1","0","0"
"2","[2016-09-21 01:20:00,2016-09-21 01:40:00)","0","1","1","1","0","0","0","0","0","0","0","0"
"2","[2016-09-21 01:40:00,2016-09-21 02:00:00)","0","1","1","1","0","0","0","0","0","0","0","0"
"2","[2016-09-21 05:00:00,2016-09-21 05:20:00)","0","1","1","1","0","0","0","0","0","0","0","0"
"2","[2016-09-21 05:20:00,2016-09-21 05:40:00)","0","5","5","4","1","0","0","0","0","0","0","0"
"2","[2016-09-21 05:40:00,2016-09-21 06:00:00)","0","6","6","6","0","0","0","0","0","0","0","0"
"2","[2016-09-21 06:00:00,2016-09-21 06:20:00)","0","6","6","6","0","0","0","0","0","0","0","0"
"2","[2016-09-21 06:20:00,2016-09-21 06:40:00)","0","9","9","9","0","0","0","0","0","0","0","0"
"2","[2016-09-21 06:40:00,2016-09-21 07:00:00)","0","14","14","13","0","0","1","0","0","0","0","0"
"2","[2016-09-21 07:00:00,2016-09-21 07:20:00)","0","42","42","40","1","0","1","0","0","0","0","0"
"2","[2016-09-21 07:20:00,2016-09-21 07:40:00)","0","37","37","35","2","0","0","0","0","0","0","0"
"2","[2016-09-21 07:40:00,2016-09-21 08:00:00)","0","44","44","43","1","0","0","0","0","0","0","0"
"2","[2016-09-21 08:00:00,2016-09-21 08:20:00)","0","37","37","37","0","0","0","0","0","0","0","0"
"2","[2016-09-21 08:20:00,2016-09-21 08:40:00)","0","30","30","26","1","1","2","0","0","0","0","0"
"2","[2016-09-21 08:40:00,2016-09-21 09:00:00)","0","66","28","61","3","2","0","0","0","0","0","0"
"2","[2016-09-21 09:00:00,2016-09-21 09:20:00)","0","104","31","90","13","1","0","0","0","0","0","0"
"2","[2016-09-21 09:20:00,2016-09-21 09:40:00)","0","100","17","86","13","0","0","0","0","1","0","0"
"2","[2016-09-21 09:40:00,2016-09-21 10:00:00)","0","80","18","68","11","0","0","0","0","0","0","0"
"2","[2016-09-21 10:00:00,2016-09-21 10:20:00)","0","72","11","61","11","0","0","0","0","0","0","0"
"2","[2016-09-21 10:20:00,2016-09-21 10:40:00)","0","67","10","58","9","0","0","0","0","0","0","0"
"2","[2016-09-21 10:40:00,2016-09-21 11:00:00)","0","74","14","57","17","0","0","0","0","0","0","0"
"2","[2016-09-21 11:00:00,2016-09-21 11:20:00)","0","45","8","39","6","0","0","0","0","0","0","0"
"2","[2016-09-21 11:20:00,2016-09-21 11:40:00)","0","58","11","45","13","0","0","0","0","0","0","0"
"2","[2016-09-21 11:40:00,2016-09-21 12:00:00)","0","50","8","36","14","0","0","0","0","0","0","0"
"2","[2016-09-21 12:00:00,2016-09-21 12:20:00)","0","63","13","56","6","0","1","0","0","0","0","0"
"2","[2016-09-21 12:20:00,2016-09-21 12:40:00)","0","42","10","36","6","0","0","0","0","0","0","0"
"2","[2016-09-21 12:40:00,2016-09-21 13:00:00)","0","55","13","45","10","0","0","0","0","0","0","0"
"2","[2016-09-21 13:00:00,2016-09-21 13:20:00)","0","82","22","74","7","1","0","0","0","0","0","0"
"2","[2016-09-21 13:20:00,2016-09-21 13:40:00)","0","72","22","55","14","2","0","0","0","1","0","0"
"2","[2016-09-21 13:40:00,2016-09-21 14:00:00)","0","62","23","55","6","1","0","0","0","0","0","0"
"2","[2016-09-21 14:00:00,2016-09-21 14:20:00)","0","78","21","61","15","1","1","0","0","0","0","0"
"2","[2016-09-21 14:20:00,2016-09-21 14:40:00)","0","79","14","68","10","1","0","0","0","0","0","0"
"2","[2016-09-21 14:40:00,2016-09-21 15:00:00)","0","66","11","56","9","1","0","0","0","0","0","0"
"2","[2016-09-21 15:00:00,2016-09-21 15:20:00)","0","63","18","56","6","0","1","0","0","0","0","0"
"2","[2016-09-21 15:20:00,2016-09-21 15:40:00)","0","81","18","66","13","0","1","0","0","1","0","0"
"2","[2016-09-21 15:40:00,2016-09-21 16:00:00)","0","77","16","62","14","0","1","0","0","0","0","0"
"2","[2016-09-21 16:00:00,2016-09-21 16:20:00)","0","66","16","58","8","0","0","0","0","0","0","0"
"2","[2016-09-21 16:20:00,2016-09-21 16:40:00)","0","81","14","65","15","1","0","0","0","0","0","0"
"2","[2016-09-21 16:40:00,2016-09-21 17:00:00)","0","99","22","87","11","0","1","0","0","0","0","0"
"2","[2016-09-21 17:00:00,2016-09-21 17:20:00)","0","88","18","82","6","0","0","0","0","0","0","0"
"2","[2016-09-21 17:20:00,2016-09-21 17:40:00)","0","77","21","71","6","0","0","0","0","0","0","0"
"2","[2016-09-21 17:40:00,2016-09-21 18:00:00)","0","83","21","77","6","0","0","0","0","0","0","0"
"2","[2016-09-21 18:00:00,2016-09-21 18:20:00)","0","58","18","51","6","1","0","0","0","0","0","0"
"2","[2016-09-21 18:20:00,2016-09-21 18:40:00)","0","72","27","70","2","0","0","0","0","0","0","0"
"2","[2016-09-21 18:40:00,2016-09-21 19:00:00)","0","49","15","39","9","0","1","0","0","0","0","0"
"2","[2016-09-21 19:00:00,2016-09-21 19:20:00)","0","47","12","45","2","0","0","0","0","0","0","0"
"2","[2016-09-21 19:20:00,2016-09-21 19:40:00)","0","35","6","30","4","1","0","0","0","0","0","0"
"2","[2016-09-21 19:40:00,2016-09-21 20:00:00)","0","38","6","32","6","0","0","0","0","0","0","0"
"2","[2016-09-21 20:00:00,2016-09-21 20:20:00)","0","38","10","29","9","0","0","0","0","0","0","0"
"2","[2016-09-21 20:20:00,2016-09-21 20:40:00)","0","18","5","15","3","0","0","0","0","0","0","0"
"2","[2016-09-21 20:40:00,2016-09-21 21:00:00)","0","24","6","19","5","0","0","0","0","0","0","0"
"2","[2016-09-21 21:00:00,2016-09-21 21:20:00)","0","27","8","25","2","0","0","0","0","0","0","0"
"2","[2016-09-21 21:20:00,2016-09-21 21:40:00)","0","32","11","24","7","0","1","0","0","0","0","0"
"2","[2016-09-21 21:40:00,2016-09-21 22:00:00)","0","26","2","17","9","0","0","0","0","0","0","0"
"2","[2016-09-21 22:00:00,2016-09-21 22:20:00)","0","24","4","18","6","0","0","0","0","0","0","0"
"2","[2016-09-21 22:20:00,2016-09-21 22:40:00)","0","21","4","10","11","0","0","0","0","0","0","0"
"2","[2016-09-21 22:40:00,2016-09-21 23:00:00)","0","16","6","11","5","0","0","0","0","0","0","0"
"2","[2016-09-21 23:00:00,2016-09-21 23:20:00)","0","7","4","6","1","0","0","0","0","0","0","0"
"2","[2016-09-21 23:20:00,2016-09-21 23:40:00)","0","1","1","1","0","0","0","0","0","0","0","0"
"2","[2016-09-21 23:40:00,2016-09-22 00:00:00)","0","1","1","1","0","0","0","0","0","0","0","0"
"2","[2016-09-22 00:00:00,2016-09-22 00:20:00)","0","1","1","1","0","0","0","0","0","0","0","0"
"2","[2016-09-22 00:20:00,2016-09-22 00:40:00)","0","1","1","1","0","0","0","0","0","0","0","0"
"2","[2016-09-22 05:00:00,2016-09-22 05:20:00)","0","18","0","5","13","0","0","0","0","0","0","0"
"2","[2016-09-22 05:20:00,2016-09-22 05:40:00)","0","20","1","9","11","0","0","0","0","0","0","0"
"2","[2016-09-22 05:40:00,2016-09-22 06:00:00)","0","21","5","12","9","0","0","0","0","0","0","0"
"2","[2016-09-22 06:00:00,2016-09-22 06:20:00)","0","30","5","24","6","0","0","0","0","0","0","0"
"2","[2016-09-22 06:20:00,2016-09-22 06:40:00)","0","31","2","25","6","0","0","0","0","0","0","0"
"2","[2016-09-22 06:40:00,2016-09-22 07:00:00)","0","38","9","30","8","0","0","0","0","0","0","0"
"2","[2016-09-22 07:00:00,2016-09-22 07:20:00)","0","72","33","63","7","1","1","0","0","0","0","0"
"2","[2016-09-22 07:20:00,2016-09-22 07:40:00)","0","79","36","76","2","1","0","0","0","0","0","0"
"2","[2016-09-22 07:40:00,2016-09-22 08:00:00)","0","100","42","94","4","0","2","0","0","0","0","0"
"2","[2016-09-22 08:00:00,2016-09-22 08:20:00)","0","108","34","98","10","0","0","0","0","0","0","0"
"2","[2016-09-22 08:20:00,2016-09-22 08:40:00)","0","110","34","99","10","1","0","0","0","0","0","0"
"2","[2016-09-22 08:40:00,2016-09-22 09:00:00)","0","101","32","87","14","0","0","0","0","0","0","0"
"2","[2016-09-22 09:00:00,2016-09-22 09:20:00)","0","96","28","83","10","1","0","0","0","2","0","0"
"2","[2016-09-22 09:20:00,2016-09-22 09:40:00)","0","81","20","70","11","0","0","0","0","0","0","0"
"2","[2016-09-22 09:40:00,2016-09-22 10:00:00)","0","65","12","58","7","0","0","0","0","0","0","0"
"2","[2016-09-22 10:00:00,2016-09-22 10:20:00)","0","83","19","70","12","0","0","0","0","1","0","0"
"2","[2016-09-22 10:20:00,2016-09-22 10:40:00)","0","48","14","44","4","0","0","0","0","0","0","0"
"2","[2016-09-22 10:40:00,2016-09-22 11:00:00)","0","44","15","39","4","0","0","0","0","1","0","0"
"2","[2016-09-22 11:00:00,2016-09-22 11:20:00)","0","60","13","49","11","0","0","0","0","0","0","0"
"2","[2016-09-22 11:20:00,2016-09-22 11:40:00)","0","52","17","47","4","0","1","0","0","0","0","0"
"2","[2016-09-22 11:40:00,2016-09-22 12:00:00)","0","45","8","32","13","0","0","0","0","0","0","0"
"2","[2016-09-22 12:00:00,2016-09-22 12:20:00)","0","63","8","45","17","0","1","0","0","0","0","0"
"2","[2016-09-22 12:20:00,2016-09-22 12:40:00)","0","61","12","48","13","0","0","0","0","0","0","0"
"2","[2016-09-22 12:40:00,2016-09-22 13:00:00)","0","59","12","46","13","0","0","0","0","0","0","0"
"2","[2016-09-22 13:00:00,2016-09-22 13:20:00)","0","59","23","48","9","2","0","0","0","0","0","0"
"2","[2016-09-22 13:20:00,2016-09-22 13:40:00)","0","76","20","64","8","2","1","0","0","1","0","0"
"2","[2016-09-22 13:40:00,2016-09-22 14:00:00)","0","75","24","62","12","1","0","0","0","0","0","0"
"2","[2016-09-22 14:00:00,2016-09-22 14:20:00)","0","61","12","55","6","0","0","0","0","0","0","0"
"2","[2016-09-22 14:20:00,2016-09-22 14:40:00)","0","68","14","56","11","1","0","0","0","0","0","0"
"2","[2016-09-22 14:40:00,2016-09-22 15:00:00)","0","83","16","75","8","0","0","0","0","0","0","0"
"2","[2016-09-22 15:00:00,2016-09-22 15:20:00)","0","62","13","54","7","0","1","0","0","0","0","0"
"2","[2016-09-22 15:20:00,2016-09-22 15:40:00)","0","73","15","65","8","0","0","0","0","0","0","0"
"2","[2016-09-22 15:40:00,2016-09-22 16:00:00)","0","71","13","62","8","0","1","0","0","0","0","0"
"2","[2016-09-22 16:00:00,2016-09-22 16:20:00)","0","51","8","43","8","0","0","0","0","0","0","0"
"2","[2016-09-22 16:20:00,2016-09-22 16:40:00)","0","93","21","81","11","0","1","0","0","0","0","0"
"2","[2016-09-22 16:40:00,2016-09-22 17:00:00)","0","96","19","89","7","0","0","0","0","0","0","0"
"2","[2016-09-22 17:00:00,2016-09-22 17:20:00)","0","71","19","66","5","0","0","0","0","0","0","0"
"2","[2016-09-22 17:20:00,2016-09-22 17:40:00)","0","76","25","65","9","1","1","0","0","0","0","0"
"2","[2016-09-22 17:40:00,2016-09-22 18:00:00)","0","70","16","66","4","0","0","0","0","0","0","0"
"2","[2016-09-22 18:00:00,2016-09-22 18:20:00)","0","83","21","77","5","0","1","0","0","0","0","0"
"2","[2016-09-22 18:20:00,2016-09-22 18:40:00)","0","63","18","57","6","0","0","0","0","0","0","0"
"2","[2016-09-22 18:40:00,2016-09-22 19:00:00)","0","53","15","46","6","0","1","0","0","0","0","0"
"2","[2016-09-22 19:00:00,2016-09-22 19:20:00)","0","39","8","35","4","0","0","0","0","0","0","0"
"2","[2016-09-22 19:20:00,2016-09-22 19:40:00)","0","31","10","27","3","0","1","0","0","0","0","0"
"2","[2016-09-22 19:40:00,2016-09-22 20:00:00)","0","29","9","23","6","0","0","0","0","0","0","0"
"2","[2016-09-22 20:00:00,2016-09-22 20:20:00)","0","30","12","27","3","0","0","0","0","0","0","0"
"2","[2016-09-22 20:20:00,2016-09-22 20:40:00)","0","45","12","35","10","0","0","0","0","0","0","0"
"2","[2016-09-22 20:40:00,2016-09-22 21:00:00)","0","30","9","25","4","0","0","0","0","1","0","0"
"2","[2016-09-22 21:00:00,2016-09-22 21:20:00)","0","18","4","18","0","0","0","0","0","0","0","0"
"2","[2016-09-22 21:20:00,2016-09-22 21:40:00)","0","28","8","20","8","0","0","0","0","0","0","0"
"2","[2016-09-22 21:40:00,2016-09-22 22:00:00)","0","16","3","14","2","0","0","0","0","0","0","0"
"2","[2016-09-22 22:00:00,2016-09-22 22:20:00)","0","20","3","16","4","0","0","0","0","0","0","0"
"2","[2016-09-22 22:20:00,2016-09-22 22:40:00)","0","13","4","10","3","0","0","0","0","0","0","0"
"2","[2016-09-22 22:40:00,2016-09-22 23:00:00)","0","18","4","14","4","0","0","0","0","0","0","0"
"2","[2016-09-22 23:00:00,2016-09-22 23:20:00)","0","12","4","8","4","0","0","0","0","0","0","0"
"2","[2016-09-22 23:20:00,2016-09-22 23:40:00)","0","11","1","7","4","0","0","0","0","0","0","0"
"2","[2016-09-22 23:40:00,2016-09-23 00:00:00)","0","7","0","6","1","0","0","0","0","0","0","0"
"2","[2016-09-23 00:20:00,2016-09-23 00:40:00)","0","4","4","4","0","0","0","0","0","0","0","0"
"2","[2016-09-23 00:40:00,2016-09-23 01:00:00)","0","1","1","1","0","0","0","0","0","0","0","0"
"2","[2016-09-23 01:20:00,2016-09-23 01:40:00)","0","1","1","1","0","0","0","0","0","0","0","0"
"2","[2016-09-23 04:40:00,2016-09-23 05:00:00)","0","1","0","1","0","0","0","0","0","0","0","0"
"2","[2016-09-23 05:00:00,2016-09-23 05:20:00)","0","8","1","3","5","0","0","0","0","0","0","0"
"2","[2016-09-23 05:20:00,2016-09-23 05:40:00)","0","17","3","9","8","0","0","0","0","0","0","0"
"2","[2016-09-23 05:40:00,2016-09-23 06:00:00)","0","26","5","17","9","0","0","0","0","0","0","0"
