"date","hour"
"2016-10-01","18"
"2016-10-01","21"
"2016-10-02","0"
"2016-10-02","3"
"2016-10-02","6"
"2016-10-02","9"
"2016-10-02","12"
"2016-10-02","15"
"2016-10-02","18"
"2016-10-02","21"
"2016-10-03","0"
"2016-10-03","3"
"2016-10-03","6"
"2016-10-03","9"
"2016-10-03","12"
"2016-10-03","15"
"2016-10-03","18"
"2016-10-03","21"
"2016-10-04","0"
"2016-10-04","3"
"2016-10-04","6"
"2016-10-04","9"
"2016-10-04","12"
"2016-10-04","15"
"2016-10-04","18"
"2016-10-04","21"
"2016-10-05","0"
"2016-10-05","3"
"2016-10-05","6"
"2016-10-05","9"
"2016-10-05","12"
"2016-10-05","15"
"2016-10-05","18"
"2016-10-05","21"
"2016-10-06","0"
"2016-10-06","3"
"2016-10-06","6"
"2016-10-06","9"
"2016-10-06","12"
"2016-10-06","15"
"2016-10-06","18"
"2016-10-06","21"
"2016-10-07","0"
"2016-10-07","3"
"2016-10-07","6"
"2016-10-07","9"
"2016-10-07","12"
"2016-10-07","15"
"2016-10-07","18"
"2016-10-07","21"
"2016-10-08","0"
"2016-10-08","3"
"2016-10-08","6"
"2016-10-08","9"
"2016-10-08","12"
"2016-10-08","15"
"2016-10-08","18"
"2016-10-08","21"
"2016-10-09","0"
"2016-10-09","3"
"2016-10-09","6"
"2016-10-09","9"
"2016-10-09","12"
"2016-10-09","15"
"2016-10-09","18"
"2016-10-09","21"
"2016-10-10","0"
"2016-10-10","3"
"2016-10-10","6"
"2016-10-10","9"
"2016-10-10","12"
"2016-10-10","15"
"2016-10-10","18"
"2016-10-10","21"
"2016-10-11","0"
"2016-10-11","3"
"2016-10-11","6"
"2016-10-11","9"
"2016-10-11","12"
"2016-10-11","15"
"2016-10-11","18"
"2016-10-11","21"
"2016-10-12","0"
"2016-10-12","3"
"2016-10-12","6"
"2016-10-12","9"
"2016-10-12","12"
"2016-10-12","15"
"2016-10-12","18"
"2016-10-12","21"
"2016-10-13","0"
"2016-10-13","3"
"2016-10-13","6"
"2016-10-13","9"
"2016-10-13","12"
"2016-10-13","15"
"2016-10-13","18"
"2016-10-13","21"
"2016-10-14","0"
"2016-10-14","3"
"2016-10-14","6"
"2016-10-14","9"
"2016-10-14","12"
"2016-10-14","15"
"2016-10-14","18"
"2016-10-14","21"
"2016-10-15","0"
"2016-10-15","3"
"2016-10-15","6"
"2016-10-15","9"
"2016-10-15","12"
"2016-10-15","15"
"2016-10-15","18"
"2016-10-15","21"
"2016-10-16","0"
"2016-10-16","3"
"2016-10-16","6"
"2016-10-16","9"
"2016-10-16","12"
"2016-10-16","15"
"2016-10-16","18"
"2016-10-16","21"
"2016-10-17","0"
"2016-10-17","3"
"2016-10-17","6"
"2016-10-17","9"
"2016-10-17","12"
"2016-10-17","15"
"2016-10-17","18"
"2016-10-17","21"
"2016-10-18","0"
"2016-10-18","3"
"2016-10-18","6"
"2016-10-18","9"
"2016-10-18","12"
"2016-10-18","15"
"2016-10-18","18"
"2016-10-18","21"
"2016-10-19","0"
"2016-10-19","3"
"2016-10-19","6"
"2016-10-19","9"
"2016-10-19","12"
"2016-10-19","15"
"2016-10-19","18"
"2016-10-19","21"
"2016-10-20","0"
"2016-10-20","3"
"2016-10-20","6"
"2016-10-20","9"
"2016-10-20","12"
"2016-10-20","15"
"2016-10-20","18"
"2016-10-20","21"
"2016-10-21","0"
"2016-10-21","3"
"2016-10-21","6"
"2016-10-21","9"
"2016-10-21","12"
"2016-10-21","15"
"2016-10-21","18"
"2016-10-21","21"
"2016-10-22","0"
"2016-10-22","3"
"2016-10-22","6"
"2016-10-22","9"
"2016-10-22","12"
"2016-10-22","15"
"2016-10-22","18"
"2016-10-22","21"
"2016-10-23","0"
"2016-10-23","3"
"2016-10-23","6"
"2016-10-23","9"
"2016-10-23","12"
"2016-10-23","15"
"2016-10-23","18"
"2016-10-23","21"
"2016-10-24","0"
"2016-10-24","3"
"2016-10-24","6"
"2016-10-24","9"
"2016-10-24","12"
"2016-10-24","15"
"2016-10-24","18"
"2016-10-24","21"
