"intersection_id","tollgate_id","time_window(%H:%M:%S)","weekday","weather:aveTravelTime"
"A","2","[08:20:00 08:40:00)","5","220.0000 3.6000 37.6000 45.0000 0.0000 77.43;27.0000 2.4000 38.3000 43.0000 0.0000 160.99;88.0000 1.6000 33.7000 57.0000 0.0000 77.32;50.0000 2.1000 34.2000 60.0000 0.0000 76.43;156.0000 2.1000 37.9000 43.0000 0.0000 74.57;9.0000 4.3000 34.4000 51.0000 0.0000 85.31;124.0000 2.1000 34.2000 38.0000 0.0000 114.32;86.0000 2.1000 31.2000 50.0000 0.0000 65.48;211.0000 2.0000 27.2000 81.0000 0.0000 61.95;90.0000 2.5000 29.5000 53.0000 0.0000 63.91;164.0000 1.0000 24.7000 80.0000 0.0000 101.35;299.0000 2.5000 20.0000 96.0000 0.0000 51.68;359.0000 1.9000 18.5000 84.0000 0.0000 110.15"
"A","2","[08:20:00 08:40:00)","6","206.0000 1.8000 38.3000 42.0000 0.0000 89.38;50.0000 4.0000 37.0000 47.0000 0.0000 71.31;999017.0000 0.0000 28.1000 88.0000 2.0000 75.58;137.0000 1.4000 35.1000 58.0000 0.0000 124.48;356.0000 2.6000 39.0000 43.0000 0.0000 108.61;310.0000 4.1000 29.3000 50.0000 0.0000 61.81;104.0000 3.4000 33.8000 26.0000 0.0000 62.61;105.0000 1.9000 28.1000 54.0000 0.0000 74.92;348.0000 5.0000 27.6000 64.0000 0.0000 67.52;54.0000 3.8000 29.6000 55.0000 0.0000 60.53;222.0000 1.4000 27.3000 75.0000 0.0000 56.9;17.0000 3.6000 22.1000 72.0000 0.0000 61.65;334.0000 1.5000 20.3000 96.0000 0.1000 78.04"
"A","2","[08:20:00 08:40:00)","7","285.0000 1.7000 38.8000 40.0000 0.0000 62.11;39.0000 3.4000 35.8000 49.0000 0.0000 70.68;92.0000 3.9000 34.9000 53.0000 0.0000 60.67;52.0000 3.4000 35.2000 51.0000 0.0000 73.93;320.0000 2.0000 34.5000 61.0000 0.0000 60.75;4.0000 5.9000 31.0000 29.0000 0.0000 48.31;86.0000 2.9000 31.4000 52.0000 0.0000 56.8;174.0000 2.8000 22.2000 73.0000 0.0000 76.61;7.0000 4.4000 27.9000 57.0000 0.0000 55.8;85.0000 2.9000 29.9000 58.0000 0.0000 73.42;208.0000 2.3000 32.8000 52.0000 0.0000 63.67;54.0000 3.5000 21.7000 49.0000 0.0000 77.26;301.0000 1.8000 26.8000 67.0000 0.0000 78.61"
"A","2","[08:20:00 08:40:00)","1","198.0000 2.0000 38.8000 43.0000 0.0000 199.17;65.0000 2.5000 34.4000 56.0000 0.0000 149.23;86.0000 4.1000 34.7000 50.0000 0.0000 121.2;94.0000 1.5000 36.0000 52.0000 0.0000 99.86;97.0000 4.8000 34.2000 60.0000 0.0000 65.83;333.0000 2.0000 30.1000 35.0000 0.0000 141.33;98.0000 3.2000 30.4000 57.0000 0.0000 55.09;325.0000 1.0000 28.0000 56.0000 0.0000 81.77;12.0000 6.2000 26.8000 56.0000 0.0000 61.68;37.0000 4.1000 30.3000 56.0000 0.0000 118.74;35.0000 2.6000 25.4000 72.0000 0.0000 49.8;81.0000 1.2000 21.3000 79.0000 0.0000 108.33"
"A","2","[08:40:00 09:00:00)","2","239.0000 1.9000 31.8000 64.0000 0.0000 63.45;254.0000 2.2000 38.4000 43.0000 0.0000 94.51;216.0000 2.8000 37.3000 44.0000 0.0000 77.5;71.0000 3.0000 35.8000 47.0000 0.0000 59.0;289.0000 1.7000 32.9000 66.0000 0.0000 50.02;341.0000 3.9000 30.9000 34.0000 0.0000 70.11;9.0000 4.2000 25.0000 70.0000 0.0000 53.77;66.0000 2.4000 25.8000 68.0000 0.0000 76.81;7.0000 4.6000 26.9000 43.0000 0.0000 77.05;96.0000 3.6000 31.1000 63.0000 0.0000 81.75;329.0000 1.3000 24.5000 71.0000 0.0000 53.26;64.0000 3.0000 23.8000 50.0000 0.0000 75.0"
"A","2","[08:40:00 09:00:00)","3","199.0000 4.7000 37.1000 41.0000 0.0000 50.99;189.0000 1.7000 38.6000 42.0000 0.0000 215.36;334.0000 2.7000 33.0000 62.0000 0.0000 75.22;58.0000 3.2000 33.9000 62.0000 0.0000 81.96;100.0000 2.9000 36.0000 51.0000 0.0000 97.89;160.0000 2.3000 34.6000 51.0000 0.0000 64.7;219.0000 4.3000 32.4000 31.0000 0.0000 173.13;335.0000 2.1000 23.0000 83.0000 0.0000 54.6;343.0000 3.3000 21.5000 97.0000 0.8000 68.27;328.0000 3.0000 26.2000 56.0000 0.0000 64.25;92.0000 7.5000 26.2000 94.0000 5.5000 58.42;126.0000 1.5000 26.5000 64.0000 0.0000 52.98;100.0000 3.1000 22.1000 59.0000 0.0000 90.04"
"A","2","[08:40:00 09:00:00)","4","205.0000 4.7000 37.2000 44.0000 0.0000 88.42;202.0000 3.3000 38.6000 43.0000 0.0000 92.61;302.0000 2.3000 34.8000 53.0000 0.0000 61.15;27.0000 3.6000 34.2000 58.0000 0.0000 85.51;212.0000 3.1000 36.7000 46.0000 0.0000 80.0;62.0000 4.5000 35.2000 45.0000 0.0000 60.55;220.0000 4.8000 30.4000 46.0000 0.0000 125.49;138.0000 2.0000 28.7000 56.0000 0.0000 66.09;67.0000 5.2000 24.5000 95.0000 2.8000 132.68;117.0000 2.3000 28.7000 54.0000 0.0000 65.26;355.0000 6.9000 21.0000 95.0000 0.1000 129.67;59.0000 1.5000 23.9000 82.0000 0.8000 59.72;48.0000 2.3000 21.6000 63.0000 0.0000 98.21"
"A","2","[08:40:00 09:00:00)","5","220.0000 3.6000 37.6000 45.0000 0.0000 70.94;27.0000 2.4000 38.3000 43.0000 0.0000 90.35;88.0000 1.6000 33.7000 57.0000 0.0000 79.57;50.0000 2.1000 34.2000 60.0000 0.0000 73.24;156.0000 2.1000 37.9000 43.0000 0.0000 77.09;9.0000 4.3000 34.4000 51.0000 0.0000 56.43;124.0000 2.1000 34.2000 38.0000 0.0000 89.9;86.0000 2.1000 31.2000 50.0000 0.0000 98.68;211.0000 2.0000 27.2000 81.0000 0.0000 87.17;90.0000 2.5000 29.5000 53.0000 0.0000 86.29;164.0000 1.0000 24.7000 80.0000 0.0000 85.54;299.0000 2.5000 20.0000 96.0000 0.0000 51.59;359.0000 1.9000 18.5000 84.0000 0.0000 68.47"
"A","2","[08:40:00 09:00:00)","6","206.0000 1.8000 38.3000 42.0000 0.0000 115.88;50.0000 4.0000 37.0000 47.0000 0.0000 85.16;999017.0000 0.0000 28.1000 88.0000 2.0000 80.08;137.0000 1.4000 35.1000 58.0000 0.0000 120.45;356.0000 2.6000 39.0000 43.0000 0.0000 72.87;310.0000 4.1000 29.3000 50.0000 0.0000 137.77;104.0000 3.4000 33.8000 26.0000 0.0000 75.29;105.0000 1.9000 28.1000 54.0000 0.0000 91.58;348.0000 5.0000 27.6000 64.0000 0.0000 76.63;54.0000 3.8000 29.6000 55.0000 0.0000 66.74;222.0000 1.4000 27.3000 75.0000 0.0000 56.31;17.0000 3.6000 22.1000 72.0000 0.0000 60.65;334.0000 1.5000 20.3000 96.0000 0.1000 141.31"
"A","2","[08:40:00 09:00:00)","7","285.0000 1.7000 38.8000 40.0000 0.0000 71.68;39.0000 3.4000 35.8000 49.0000 0.0000 68.48;92.0000 3.9000 34.9000 53.0000 0.0000 60.13;52.0000 3.4000 35.2000 51.0000 0.0000 89.45;320.0000 2.0000 34.5000 61.0000 0.0000 67.26;4.0000 5.9000 31.0000 29.0000 0.0000 57.66;86.0000 2.9000 31.4000 52.0000 0.0000 57.57;174.0000 2.8000 22.2000 73.0000 0.0000 90.98;7.0000 4.4000 27.9000 57.0000 0.0000 66.17;85.0000 2.9000 29.9000 58.0000 0.0000 74.7;208.0000 2.3000 32.8000 52.0000 0.0000 69.04;54.0000 3.5000 21.7000 49.0000 0.0000 63.36;301.0000 1.8000 26.8000 67.0000 0.0000 91.12"
"A","2","[08:40:00 09:00:00)","1","198.0000 2.0000 38.8000 43.0000 0.0000 122.65;65.0000 2.5000 34.4000 56.0000 0.0000 101.7;86.0000 4.1000 34.7000 50.0000 0.0000 62.88;94.0000 1.5000 36.0000 52.0000 0.0000 69.56;97.0000 4.8000 34.2000 60.0000 0.0000 87.64;333.0000 2.0000 30.1000 35.0000 0.0000 228.31;98.0000 3.2000 30.4000 57.0000 0.0000 130.06;325.0000 1.0000 28.0000 56.0000 0.0000 73.35;12.0000 6.2000 26.8000 56.0000 0.0000 76.21;37.0000 4.1000 30.3000 56.0000 0.0000 108.1;35.0000 2.6000 25.4000 72.0000 0.0000 54.35;81.0000 1.2000 21.3000 79.0000 0.0000 84.31"
"A","2","[09:00:00 09:20:00)","2","218.0000 2.0000 31.5000 69.0000 0.0000 78.05;291.0000 1.5000 38.8000 42.0000 0.0000 120.26;51.0000 1.7000 34.8000 56.0000 0.0000 85.54;59.0000 3.2000 28.6000 88.0000 2.7000 83.79;73.0000 3.8000 35.3000 53.0000 0.0000 110.4;94.0000 1.2000 33.9000 54.0000 0.0000 56.07;335.0000 5.3000 30.6000 32.0000 0.0000 61.5;340.0000 2.1000 24.2000 77.0000 0.0000 59.53;218.0000 1.0000 23.7000 88.0000 0.4000 64.56;11.0000 4.5000 25.4000 42.0000 0.0000 83.06;104.0000 4.2000 28.7000 72.0000 0.0000 72.47;327.0000 1.5000 23.9000 75.0000 0.0000 47.87;87.0000 2.4000 23.0000 56.0000 0.0000 69.75"
"A","2","[09:00:00 09:20:00)","3","217.0000 3.4000 37.0000 40.0000 0.0000 44.94;240.0000 2.8000 38.2000 42.0000 0.0000 86.85;28.0000 1.7000 32.2000 63.0000 0.0000 72.89;102.0000 4.5000 32.3000 73.0000 0.0000 80.57;98.0000 3.7000 34.6000 55.0000 0.0000 61.62;114.0000 2.7000 34.2000 48.0000 0.0000 59.1;237.0000 1.8000 32.2000 34.0000 0.0000 64.17;240.0000 0.9000 23.0000 85.0000 0.0000 63.37;338.0000 2.6000 22.1000 97.0000 0.5000 61.7;348.0000 1.5000 24.9000 67.0000 0.0000 108.22;53.0000 5.1000 24.7000 93.0000 1.3000 70.54;52.0000 2.8000 26.5000 64.0000 0.0000 52.44;39.0000 3.7000 21.2000 57.0000 0.0000 67.48"
"A","2","[09:00:00 09:20:00)","4","195.0000 3.2000 37.6000 42.0000 0.0000 71.47;128.0000 2.0000 38.0000 44.0000 0.0000 78.45;177.0000 2.3000 28.1000 84.0000 0.7000 147.29;81.0000 3.4000 32.7000 63.0000 0.0000 88.02;113.0000 4.3000 36.5000 52.0000 0.0000 88.96;100.0000 2.7000 34.5000 42.0000 0.0000 54.81;212.0000 5.5000 29.6000 45.0000 0.0000 64.5;125.0000 2.1000 28.9000 59.0000 0.0000 74.6;62.0000 2.0000 23.8000 95.0000 7.3000 164.51;91.0000 2.6000 26.8000 57.0000 0.0000 66.88;356.0000 4.0000 20.6000 96.0000 1.4000 90.4;64.0000 3.2000 23.0000 69.0000 0.0000 57.64;46.0000 2.3000 21.3000 61.0000 0.0000 75.1"
"A","2","[09:00:00 09:20:00)","5","226.0000 1.9000 37.2000 45.0000 0.0000 69.42;82.0000 5.4000 38.0000 44.0000 0.0000 69.62;999017.0000 0.0000 32.5000 64.0000 0.0000 83.75;76.0000 5.3000 33.2000 69.0000 0.0000 64.51;337.0000 4.1000 34.1000 58.0000 0.0000 18.54;359.0000 7.3000 30.9000 65.0000 0.0000 62.13;96.0000 3.7000 33.5000 32.0000 0.0000 94.45;92.0000 4.1000 29.1000 57.0000 0.0000 60.71;224.0000 2.8000 25.1000 92.0000 0.1000 73.97;96.0000 4.5000 27.2000 61.0000 0.0000 73.52;16.0000 3.5000 24.1000 81.0000 0.0000 66.62;310.0000 1.5000 20.4000 97.0000 0.0000 44.28;349.0000 2.0000 18.2000 81.0000 0.0000 70.43"
"A","2","[09:00:00 09:20:00)","6","236.0000 1.6000 38.0000 45.0000 0.0000 109.43;80.0000 2.8000 36.1000 53.0000 0.0000 85.03;96.0000 1.7000 30.3000 77.0000 0.0000 139.14;89.0000 3.0000 33.3000 70.0000 0.0000 101.36;338.0000 2.3000 31.5000 71.0000 0.0000 78.27;338.0000 5.0000 29.3000 46.0000 0.0000 65.18;93.0000 2.0000 32.7000 25.0000 0.0000 71.54;68.0000 2.3000 28.2000 56.0000 0.0000 86.04;350.0000 4.1000 26.3000 71.0000 0.0000 102.03;78.0000 5.2000 27.8000 64.0000 0.0000 86.92;99.0000 1.1000 28.1000 74.0000 0.0000 79.62;357.0000 3.2000 20.5000 80.0000 0.0000 70.8;333.0000 2.2000 20.3000 96.0000 0.0000 140.5"
"A","2","[09:00:00 09:20:00)","7","177.0000 0.9000 39.4000 38.0000 0.0000 60.73;81.0000 4.9000 34.4000 60.0000 0.0000 61.4;78.0000 6.5000 32.7000 62.0000 0.0000 101.41;107.0000 1.5000 35.3000 54.0000 0.0000 65.47;348.0000 4.9000 27.0000 93.0000 27.2000 74.48;353.0000 4.3000 30.5000 27.0000 0.0000 62.75;113.0000 2.2000 28.5000 74.0000 0.0000 59.02;149.0000 1.9000 21.1000 85.0000 0.3000 75.44;359.0000 5.2000 27.4000 52.0000 0.0000 71.92;57.0000 2.8000 28.9000 57.0000 0.0000 99.63;235.0000 1.4000 29.9000 66.0000 0.0000 54.64;28.0000 5.6000 20.4000 55.0000 0.0000 93.29;10.0000 4.1000 24.9000 74.0000 0.0000 73.68"
"A","2","[09:00:00 09:20:00)","1","79.0000 4.1000 37.6000 50.0000 0.0000 81.54;80.0000 2.1000 34.5000 59.0000 0.0000 57.66;63.0000 4.9000 32.7000 55.0000 0.0000 70.19;74.0000 2.6000 35.4000 56.0000 0.0000 98.71;81.0000 2.0000 34.0000 58.0000 0.0000 59.64;26.0000 4.1000 30.0000 39.0000 0.0000 150.39;65.0000 2.4000 29.4000 61.0000 0.0000 54.64;112.0000 1.9000 27.9000 55.0000 0.0000 104.02;351.0000 5.3000 23.8000 72.0000 0.1000 66.97;81.0000 2.6000 28.9000 66.0000 0.0000 112.43;44.0000 3.6000 24.2000 79.0000 0.0000 20.07;109.0000 1.1000 20.9000 79.0000 0.0000 87.36"
"A","2","[09:20:00 09:40:00)","2","218.0000 2.0000 31.5000 69.0000 0.0000 69.04;291.0000 1.5000 38.8000 42.0000 0.0000 54.53;51.0000 1.7000 34.8000 56.0000 0.0000 150.15;59.0000 3.2000 28.6000 88.0000 2.7000 67.32;73.0000 3.8000 35.3000 53.0000 0.0000 97.98;94.0000 1.2000 33.9000 54.0000 0.0000 60.73;335.0000 5.3000 30.6000 32.0000 0.0000 67.76;340.0000 2.1000 24.2000 77.0000 0.0000 78.64;218.0000 1.0000 23.7000 88.0000 0.4000 101.4;11.0000 4.5000 25.4000 42.0000 0.0000 70.83;104.0000 4.2000 28.7000 72.0000 0.0000 68.74;327.0000 1.5000 23.9000 75.0000 0.0000 63.87;87.0000 2.4000 23.0000 56.0000 0.0000 55.28"
"A","2","[09:20:00 09:40:00)","4","195.0000 3.2000 37.6000 42.0000 0.0000 116.58;177.0000 2.3000 28.1000 84.0000 0.7000 105.16;81.0000 3.4000 32.7000 63.0000 0.0000 87.39;113.0000 4.3000 36.5000 52.0000 0.0000 82.85;100.0000 2.7000 34.5000 42.0000 0.0000 55.76;212.0000 5.5000 29.6000 45.0000 0.0000 88.63;125.0000 2.1000 28.9000 59.0000 0.0000 62.96;62.0000 2.0000 23.8000 95.0000 7.3000 105.71;91.0000 2.6000 26.8000 57.0000 0.0000 75.39;356.0000 4.0000 20.6000 96.0000 1.4000 66.93;64.0000 3.2000 23.0000 69.0000 0.0000 56.33;46.0000 2.3000 21.3000 61.0000 0.0000 75.41"
"A","2","[09:20:00 09:40:00)","5","226.0000 1.9000 37.2000 45.0000 0.0000 78.81;82.0000 5.4000 38.0000 44.0000 0.0000 94.34;999017.0000 0.0000 32.5000 64.0000 0.0000 101.41;76.0000 5.3000 33.2000 69.0000 0.0000 59.51;337.0000 4.1000 34.1000 58.0000 0.0000 108.95;359.0000 7.3000 30.9000 65.0000 0.0000 64.02;96.0000 3.7000 33.5000 32.0000 0.0000 78.88;92.0000 4.1000 29.1000 57.0000 0.0000 90.12;224.0000 2.8000 25.1000 92.0000 0.1000 71.71;96.0000 4.5000 27.2000 61.0000 0.0000 76.72;16.0000 3.5000 24.1000 81.0000 0.0000 62.27;310.0000 1.5000 20.4000 97.0000 0.0000 54.48;349.0000 2.0000 18.2000 81.0000 0.0000 78.67"
"A","2","[09:20:00 09:40:00)","6","236.0000 1.6000 38.0000 45.0000 0.0000 187.89;80.0000 2.8000 36.1000 53.0000 0.0000 107.5;96.0000 1.7000 30.3000 77.0000 0.0000 73.75;89.0000 3.0000 33.3000 70.0000 0.0000 53.31;338.0000 2.3000 31.5000 71.0000 0.0000 146.33;338.0000 5.0000 29.3000 46.0000 0.0000 62.72;93.0000 2.0000 32.7000 25.0000 0.0000 100.29;68.0000 2.3000 28.2000 56.0000 0.0000 113.27;350.0000 4.1000 26.3000 71.0000 0.0000 67.75;78.0000 5.2000 27.8000 64.0000 0.0000 75.89;99.0000 1.1000 28.1000 74.0000 0.0000 73.71;357.0000 3.2000 20.5000 80.0000 0.0000 74.24;333.0000 2.2000 20.3000 96.0000 0.0000 147.66"
"A","2","[09:20:00 09:40:00)","7","177.0000 0.9000 39.4000 38.0000 0.0000 66.59;81.0000 4.9000 34.4000 60.0000 0.0000 75.39;78.0000 6.5000 32.7000 62.0000 0.0000 66.78;107.0000 1.5000 35.3000 54.0000 0.0000 91.29;348.0000 4.9000 27.0000 93.0000 27.2000 63.69;353.0000 4.3000 30.5000 27.0000 0.0000 104.03;113.0000 2.2000 28.5000 74.0000 0.0000 60.81;149.0000 1.9000 21.1000 85.0000 0.3000 65.55;359.0000 5.2000 27.4000 52.0000 0.0000 65.83;57.0000 2.8000 28.9000 57.0000 0.0000 111.74;235.0000 1.4000 29.9000 66.0000 0.0000 55.64;28.0000 5.6000 20.4000 55.0000 0.0000 64.13;10.0000 4.1000 24.9000 74.0000 0.0000 69.42"
"A","2","[09:20:00 09:40:00)","1","79.0000 4.1000 37.6000 50.0000 0.0000 70.12;80.0000 2.1000 34.5000 59.0000 0.0000 55.76;63.0000 4.9000 32.7000 55.0000 0.0000 92.74;74.0000 2.6000 35.4000 56.0000 0.0000 88.14;81.0000 2.0000 34.0000 58.0000 0.0000 51.18;26.0000 4.1000 30.0000 39.0000 0.0000 132.9;65.0000 2.4000 29.4000 61.0000 0.0000 40.5;112.0000 1.9000 27.9000 55.0000 0.0000 76.5;351.0000 5.3000 23.8000 72.0000 0.1000 69.78;81.0000 2.6000 28.9000 66.0000 0.0000 118.77;44.0000 3.6000 24.2000 79.0000 0.0000 19.49;109.0000 1.1000 20.9000 79.0000 0.0000 66.51"
"A","2","[09:20:00 09:40:00)","3","240.0000 2.8000 38.2000 42.0000 0.0000 65.98;28.0000 1.7000 32.2000 63.0000 0.0000 104.43;102.0000 4.5000 32.3000 73.0000 0.0000 75.38;98.0000 3.7000 34.6000 55.0000 0.0000 74.55;114.0000 2.7000 34.2000 48.0000 0.0000 60.37;237.0000 1.8000 32.2000 34.0000 0.0000 223.65;240.0000 0.9000 23.0000 85.0000 0.0000 59.51;338.0000 2.6000 22.1000 97.0000 0.5000 59.49;348.0000 1.5000 24.9000 67.0000 0.0000 61.66;53.0000 5.1000 24.7000 93.0000 1.3000 65.34;52.0000 2.8000 26.5000 64.0000 0.0000 52.22;39.0000 3.7000 21.2000 57.0000 0.0000 69.26"
